isim,Spotify_Isim,Spotify_ID,Takipci,EveryNoise_Tur,Spotify_Tur
Öfkeli Kalabalık,Öfkeli Kalabalık,2M0x5nWkMyJwU4C3Pu5LVM,43374,turkish alternative rock,
Incesaz,Incesaz,78WaEUeSjw3KIq1YVb4ROk,133147,turkish jazz,arabesk
Ekin Beril,Ekin Beril,1sJ90imre0sj4Kj4a8xyXp,137559,turkish alt pop,turkish pop
Şekersiz,Şekersiz,1vMWLVjfrmItWSB4hP1eYf,89517,turkish alt pop,
Serin,Serin,5aV0Tp10AHWP8XG4T9IMko,16950,turkish alt pop,
Doğan Duru,Doğan Duru,4CZGnes6EACvjaBM4kmzeb,24122,turkish alternative,
Barış Kocatürk,Barış Kocatürk,69pUCqegpsMQA4IeuuPUvB,37702,turkish singer-songwriter,
Acil Servis,Acil Servis,5iFyNfYVmpx6tEhF8rfQEb,13376,turkish alternative,anatolian rock
Murat Yılmazyıldırım,Murat Yılmazyıldırım,6mBx5K5N1hDmqMCWfdhIWG,25778,turkish alternative,anatolian rock
Ars Longa,Ars Longa,469bcSDGiMNbVssgFqGMRg,17536,turkish alternative rock,
Öztürk,Öztürk,2B5q9iBkLrBOnegBMCPXau,8516,turkish alternative,anatolian rock
Kaçak,Kaçak,3qTW0QXycTcMj2FphgS1hq,10088,turkish alternative,anatolian rock
Güney Marlen,Güney Marlen,2xi3gDddycZcEFXSdqsd1r,54077,turkish alt pop,
Ufomuo,Ufomuo,0YNw7iPljvVTqcwNfEz6W6,46961,turkish alternative rock,
Pickpocket,Pickpocket,1F6ABYTEvvF6GiMiEu6OL2,23731,turkish metal,anatolian rock
Evrencan Gündüz,Evrencan Gündüz,6rxgxAlUPT4sDElRZeVec6,89541,turkish jazz,turkish pop
Batuhan Mutlugil,Batuhan Mutlugil,73UTp1X3auvO2JT0BuyZUU,18876,turkish rock,anatolian rock
Eski Bando,Eski Bando,7zFO8hMG6PtUIizWkzBimA,38250,turkish alt pop,
Sahte Rakı,Sahte Rakı,3fEsjecrJg9RvgsV6VO3qo,21817,turkish alternative rock,
Feyyaz Yigit,Feyyaz Yigit,2VCSwI1w8ecmlf3CMUd5Wz,51413,turkish alternative rock,anatolian rock
Hardal,Hardal,7qyzljARZ2H0lYjBuRiTM3,30737,turkish alternative,anatolian rock
Marsis,Marsis,77GqfRVHpzF5TqFEkYvuNt,119921,karadeniz turkuleri,karadeniz folk
Gevende,Gevende,2yN5eYpsyyo2FYNCUS0ndf,51633,turkish jazz,
Siyasiyabend,Siyasiyabend,3MyC4bSv74xoTfhRf2hwfp,35905,turkish alternative,anatolian rock
Objektif,Objektif,1dVqwqQyxTM9yID5wLPBuv,12535,turkish alternative,anatolian rock
Harun Tekin,Harun Tekin,3YLtyoQh7TVuUheVE2lNp6,7118,turkish rock,
Hedonutopia,Hedonutopia,1NyTJce3BbQslEhW8uWPc5,47908,turkish electronic,
Üç nokta Bir,Üç nokta Bir,5EEUJzlVPrpm3mY1BR5Dkd,6939,turkish alternative,anatolian rock
İhtiyaç Molası,İhtiyaç Molası,3250UK0T8w9ic4bwakNpPH,6718,turkish alternative,anatolian rock
Güntaç Özdemir,Güntaç Özdemir,22PYw0Eifwjk27N6MrWkKO,10264,turkish rock,
Atlas RB,Atlas RB,6ErGolm7HqWBLd0dZVpNh9,3924,turkish rock,
Fatih Erdemci,Fatih Erdemci,1OhpnvMZLbqa46ZCNdMmwr,4492,turkish rock,turkish pop
Umut Kuzey,Umut Kuzey,6rVs4DcTHKUVdFFNq4CEYo,35751,turkish alternative,anatolian rock
Asli,Asli,7sfUcF4Eh126NF1YD9dks2,29,turkish rock,
Redd,Redd,6SCY6hncB80WWFCcs0uu2y,6755,turkish rock,
Sansar Salvo,Sansar Salvo,6hxb4rGrYXtrAZbUK7uzt9,580016,turkish hip hop,turkish hip hop
Hayki,Hayki,6I65kFgfXDWx56jwnip3TU,259068,turkish hip hop,turkish hip hop
Allame,Allame,25FdziPY37yQIRXSk7ZUmS,462221,turkish hip hop,turkish hip hop
Kamufle,Kamufle,0JnDkp29FlLpGwsnub400t,153001,turkish hip hop,turkish hip hop
Pit10,Pit10,7KNVmvcr2zkla9pKxJSrf3,104471,turkish hip hop,turkish hip hop
Karaçalı,Karaçalı,6wYjLtVey6i2GIUDLZoeJg,88454,turkish hip hop,turkish hip hop
Defkhan,Defkhan,5piE2MZ1wGpBjpDud8kTOS,415581,turkish hip hop,turkish hip hop
