isim,Spotify_Isim,Spotify_ID,Takipci,EveryNoise_Tur,Spotify_Tur
Boş Kemikler,Boş Kemikler,0u1eo6iWHJ0v2jJGBKxLlE,2901,turkish alternative rock,
rehber,rehber,2grj9X679Ov5vqV5ZWhdZD,26740,turkish alternative rock,
Daha İki Durak Var,Daha İki Durak Var,5BsDr7OodfKCA4NhJTkva9,2676,turkish alternative rock,
Lin Pesto,Lin Pesto,37xM7I9e6MS4pyOWpzUqYo,133866,turkish alternative rock,
Karambol,Karambol,27FDgyQe3lWYySeW2AyJy3,8398,turkish alternative rock,
Pagos,Pagos,2zSXEgUGkBrR8dDM15Wn7G,5265,turkish alternative rock,
Eski Kaset,Eski Kaset,5ycj9QJto3SwYTtedrSNyv,3023,turkish alternative rock,
Gözyaşı Çetesi,Gözyaşı Çetesi,1edFNmL29qNUXSAH7kGUrX,5155,turkish alternative rock,anatolian rock
merhababensokak,merhababensokak,3G9IfSbpM10wK68aNR9k4Y,2187,turkish alternative rock,
Journers,Journers,1poI3l63ENJgUiWAKGv2Sp,9743,turkish alternative rock,"anatolian rock, neo-psychedelic, psychedelic rock"
Kafabindünya,Kafabindünya,53yiW8njv96fS94iKrwKsZ,26653,turkish alternative rock,post-rock
Bostancı Dayı,Bostancı Dayı,49R24Ako5Qa6SV3HAR06gS,7054,turkish alternative rock,
üçkuruş,üçkuruş,52j3mRmOcAWQ5BfBAwkoqK,6505,turkish alternative rock,
çatıkatı,çatıkatı,3xQKZ5rXMPQyUiX65rr99T,1938,turkish alternative rock,
Silüet,Silüet,5DqCXW2tZuwkeDlK9sM3r8,2495,turkish alternative rock,
The Away Days,The Away Days,1IOd0nWLYWDqGv3iQn2gio,40834,turkish alternative rock,
Façanga,Façanga,510bXPE1lru3GCPn9wjlQd,5050,turkish alternative rock,
Uzun Zamandır Çalmıyoruz,Uzun Zamandır Çalmıyoruz,1w0dzIbNyadb1NHF5rkwp1,1385,turkish alternative rock,
Bozukçalar,Bozukçalar,27UnVk35f1D6SLcbvt1DEt,4102,turkish alternative rock,
Nihil Piraye,Nihil Piraye,0Ku2blm22kcYKoYoQktaSK,3093,turkish alternative rock,turkish hip hop
Lavinya,Lavinya,3nQN2bebjYCqtvKh18CJCz,1778,turkish alternative rock,
Kirli,Kirli,1xphUgdrqKwGdIpcLVH7ho,13051,turkish alternative rock,
Alarga,Alarga,1yWvmB422TS9OBBf2UaIbH,14889,turkish alternative rock,
40gece,40gece,62YIRVSrkq5UYMDuKa3SqK,1711,turkish alternative rock,
Balina,Balina,6CyEjBTXQOcfy3ahUgTHra,2509,instrumental stoner rock,stoner rock
Taksis,Taksis,0sHizAZws4rmAQTMSpLaVe,1375,turkish alternative rock,
Kök,Kök,3tZOUNvbaeLa7u21SnEh3e,2396,turkish alternative rock,anatolian rock
Al'york,Al'york,6ccuxnLDexwjjnCZbrdGtD,4485,instrumental stoner rock,
NADAS,NADAS,1KjaKyp6qy8fUuHAZVKyUP,2611,turkish alternative rock,
Yerçekimi,Yerçekimi,7Dx8cllpzeNVM565MLk5v8,2440,turkish post-punk,space rock
nekizm,nekizm,0ULrAGrTGjuNAXjreHJt1Z,2498,turkish alternative rock,
Ne Var Ki,Ne Var Ki,0O4CdRGCb8ls9j4ecUpqT9,2822,turkish alternative rock,anatolian rock
Toprak Özcan,Toprak Özcan,6Qttj8ZyqPedJRThqdM3VS,2653,turkish alternative rock,
Akustikadam,Akustikadam,4qukX7GlRl5xXg4OLOi9kT,3799,turkish alternative rock,
Dorian,Dorian,2g8FkuePtQ6mFyubppvy4C,4628,turkish alternative rock,anatolian rock
Cenk Durmazel,Cenk Durmazel,197PC8QqgDfLrbdLXv1uiY,3264,turkish alternative rock,anatolian rock
Anıl Emre Daldal,Anıl Emre Daldal,5MHG3bmjGh0aqT8hS3nPzS,397651,turkish alternative rock,
The Flabbies,The Flabbies,3k7rNgTEFUR9jPM0Ji6qLq,6868,turkish alternative rock,
In Hoodies,In Hoodies,59De6nw0BEkq2VlJheVHmv,4279,turkish alternative rock,turkish hip hop
Vakit Varken,Vakit Varken,7wVoGKe5Az1iVHXODJTrDO,805,turkish alternative rock,
Karma Retro,Karma Retro,4gysYjRYz1aOMAH0ejx4SS,1175,turkish alternative rock,
RockA,RockA,5Dnxo3wz80YtuqxSvvT7RG,7346,turkish alternative,anatolian rock
Sapan,Sapan,5JRmwybNMKYCXuR9eFsnx1,542,turkish alternative rock,
Furkan Karaca,Furkan Karaca,154sxvjuoeibGo8PClKou4,1147,turkish alternative rock,anatolian rock
DEER FROM SPACE,DEER FROM SPACE,3jnwA7Lz25xHnB7wIdlE78,1342,turkish alternative rock,
Sualsiz,Sualsiz,126kcky04GNfvnCvDidT03,380,turkish alternative rock,
Hayvanlar Alemi,Hayvanlar Alemi,3EtvZSyR0g9QXhHEtePXza,3193,drone rock,"space rock, stoner rock, anatolian rock"
6 Saat,6 Saat,0huWFwwHl4vMIqLLYlRExx,833,turkish alternative rock,anatolian rock
Tavana Basma,Tavana Basma,7GoISxmNXyLPdE5nIwXJkB,213,turkish alternative rock,
Help! The Captain Threw Up,Help! The Captain Threw Up,0lsreWHAahsKjDDrVSXa3C,421,turkish alternative rock,post-rock
Serdar Ateşer,Serdar Ateşer,3n6Xy24xiyMnwRpFZYqAPD,2056,turkish alternative rock,anatolian rock
Proudpilot,Proudpilot,5jqvhaGD7eSeulFxAbmSOX,224,turkish alternative rock,"darkwave, post-punk, industrial rock"
Oceans of Noise,Oceans of Noise,21HzqFortyEjD2yOdCZAPY,1926,turkish alternative rock,
Jingle Jungle,Jingle Jungle,6LvuOvTuK7EJMY2yR6ruAl,563,turkish alternative rock,
Change the Password,Change the Password,5CX4oAdkINRzgfLSCpzH4d,462,turkish alternative rock,
Agency,Agency,5KANYu21k8lWz2Hw42qf5i,190,turkish alternative rock,
SilverLiners,SilverLiners,49NG8eC18s1EoijRxwmz34,841,turkish alternative rock,
Vomank,Vomank,3A38r00GmvejyOgc78WL5A,418,turkish alternative rock,
Cape,Cape,2OgKTLbmvfQcRuaPYtpJpJ,5,turkish alternative rock,
Electric Bliss,Electric Bliss,2pDP1w2UnDPHXgQxOUVUq7,216,turkish alternative rock,
Neigh Pupil,Neigh Pupil,5N5HiQmU99k1ACz62BxkYc,130,turkish alternative rock,
The Man Who Mistook His Wife For A Cat,The Man Who Mistook His Wife For A Cat,4ZNnqcp3GvrU8FYqozToCO,61,turkish alternative rock,
To the States,To the States,6nDfN0WeH2QiDfzrViuOGH,413,turkish alternative rock,"cold wave, darkwave, post-punk"
Hakan Akkus,Hakan Akkus,6jtibJgWNPyrA4pIQCAZoh,39592,turkish deep house,deep house
Berat Oz,Berat Oz,3d9HQNZBdTS1yMG7CetZf1,3400,turkish deep house,
Müslüm Arı,Müslüm Arı,0xejVueSLs77ic5Ym7z6oQ,7328,turkish deep house,deep house
Burak Cilt,Burak Cilt,7M7oTl8MZ69Y0fwL4cgoSn,1912,turkish deep house,deep house
Furkan Sert,Furkan Sert,4IzsCody9kpNcm6FKl459I,28471,turkish deep house,
Melih Aydogan,Melih Aydogan,5697sWl951kKEnsCXGZarM,20659,turkish deep house,deep house
Ilkan Gunuc,Ilkan Gunuc,02vT04WkgQ8dO4f1GLMTP9,43678,turkish deep house,
Cut Off,Cut Off,4u6yL1tRulnmL5LimC64x1,20071,turkish deep house,deep house
Ilkay Sencan,Ilkay Sencan,5deLgmgAEgy8UHOfJ9Dj8w,100443,turkish deep house,slap house
Osman Altun,Osman Altun,7EigPF1vVx4DcZzGLpWsrc,3231,turkish deep house,deep house
Mahmut Orhan,Mahmut Orhan,3t8WiyalpvnB9AObcMufiE,727399,turkish deep house,
Ali Bakgor,Ali Bakgor,4Zdbr0JJj9SXMDJfus1mNs,17053,turkish deep house,"melodic techno, deep house"
Can Sezgin,Can Sezgin,1eqqKW8azBmxyYXkXs1DeG,663,turkish deep house,
Ferjo De Gery,Ferjo De Gery,2cpzqDC5Jb4OcwrzUgPvFb,2148,turkish deep house,deep house
Volkan Uca,Volkan Uca,0Qq5ObryXEZSAuOX6Ykqut,6021,turkish deep house,
Ömer Balık,Ömer Balık,4aZ0gNozHDwTmpGQvjM1Hc,66264,turkish deep house,
Ömer Bükülmezoğlu,Ömer Bükülmezoğlu,13RGY36nTZw0ezEedQp7rs,31198,turkish deep house,deep house
Batu Onat,Batu Onat,7aOWtkVztALwRvuLWDPC0p,4147,turkish deep house,tropical house
İsmail Ceylan,İsmail Ceylan,5V5S0UWc13Fo46ujMJwHUa,310,turkish deep house,
Hakan Ismen,Hakan Ismen,6pMoPL1XG4YukugPALZZjm,146,turkish deep house,
ANIL YILDIZ,ANIL YILDIZ,0iP9RMjSaVWiP67LYrIi1H,67,turkish deep house,
Umut Dogan,Umut Dogan,6QxOayTkR8KK5d0D038oxp,1201,turkish deep house,
Murat Özkaya,Murat Özkaya,5oxLLWi9meyUlfGBQ5iBRV,397,turkish deep house,
Acnatro,Acnatro,50ZNmrQ6aYDoAQVjjLX3HS,11767,turkish deep house,turkish pop
Cagri Guzet,Cagri Guzet,0uv5mLHvyo2KqG5mtlKfIx,265,turkish deep house,
Tarık Sarul,Tarık Sarul,4JdRoJiu67IYlzkUNyBGC9,1231,turkish deep house,turkish pop
Ahmet Halici,Ahmet Halici,3POoZ9X4kRCN3dkkB4ngKg,915,turkish deep house,
Berkhan Baser,Berkhan Baser,2mIlDH8qOZpqMrIPlJoArK,375,turkish deep house,
Faruk Sabanci,Faruk Sabanci,7nPbrzSt1apQM9rY5DVqQZ,23264,turkish deep house,"turkish hip hop, slap house, trance, turkish pop"
Sencer Akkus,Sencer Akkus,18zi30hl6Ie8k3kl0PBUII,176,turkish deep house,
Baris Bozan,Baris Bozan,2squ8KqtkAN2tjM63Tb9u7,80,turkish deep house,
CEAUS,CEAUS,16312wc5ERKYDDBVwRSAi4,3517,turkish deep house,"organic house, melodic house"
Malik,Malik,4gKj3VienuRyfNEvyxsHqa,124,turkish deep house,
Deep Eyes,Deep Eyes,3IS8m7jvWkXXXMvLBU8yS2,81,turkish deep house,
Ozan Gullu,Ozan Gullu,1mC99TeAIMfHUxTyT6ST7C,839,turkish deep house,
Ozan Işın,Ozan Işın,7HtAzi8kUOzO1fHABqXCMH,1114,turkish deep house,turkish pop
Alican Sandık,Alican Sandık,4jWMJVthpTxGQq3LAQM8IB,214,turkish deep house,
Onurcan Guneyin,Onurcan Guneyin,6W3000luGK1SJ63akSwjBq,66,turkish deep house,
Orhan Aydın,Orhan Aydın,2AK5MvnLH3WzEf7Rcd4uwU,11,turkish deep house,
Neval,Neval,3xsWhJ3BXOnSewlzawH8RU,4508,turkish deep house,organic house
Dagcan Erdurak,Dagcan Erdurak,6ip6Ij1aqyz6nLkDCvHwK7,308,turkish deep house,
Deprem Gürdal,Deprem Gürdal,3uFw51eUK6Vpx4slKNhQIC,835,turkish deep house,anatolian rock
Batu,Batu,2zV9W5DuDWMgahh14tJWnQ,162,turkish deep house,
Adil İnan,Adil İnan,0BpXj7OV5RDsCwmCoij3zK,39,turkish deep house,
Alper,Alper,7uDWRz4rzQWESXGMC9Vocl,85,turkish deep house,
Dogukan Guler,Dogukan Guler,6Ym6wMlPsy873LEzx28sE5,220,turkish deep house,
Eray Gumus,Eray Gumus,4uar2AsrtphUDzLQaYRVUj,486,turkish deep house,
FURKAN DOGAN,FURKAN DOGAN,2PmeADh0MBTVykawblD0kT,215,turkish deep house,
HBI,HBI,3soO3tXEO1ElZFGQBGhwgD,7,turkish deep house,
Kerem Selek,Kerem Selek,0mxeGvFOTyKSUiScQ3K0zA,31,turkish deep house,indie dance
Toldortunes,Toldortunes,6Ide6olHuLFyGtC24eV0IP,52,turkish deep house,
Jülide Özçelik,Jülide Özçelik,6pGwxFTe6ONT92Rb7v5wx2,23886,turkish jazz,
Gürol Ağırbaş,Gürol Ağırbaş,2T7lkDy5jyZkmDyqCqcT2o,10430,turkish jazz,
Elif Çağlar,Elif Çağlar,4329Rqrv9R9wc832cqQCVv,24069,turkish jazz,
Ilhan Ersahin,Ilhan Ersahin,5aweKNLI0ZyI48q5TmoCxT,28727,turkish jazz,organic house
Doğan Canku,Doğan Canku,7lAMAZizRgc9vwXHQOULe4,34065,turkish jazz,"turkish pop, anatolian rock"
Tülay German,Tülay German,0ieiygH07boIlZyMtupW4Q,46795,turkish jazz,anatolian rock
Kerem Görsev,Kerem Görsev,53jlkJSuETF24W7B0NCFhc,16240,turkish jazz,jazz
Vedat Sakman,Vedat Sakman,6dyj8hW2rSZ30SHlj2KHrT,38880,turkish jazz,turkish pop
Selva Erdener,Selva Erdener,1IKW9Yfrlm7ADQrPx4mqkQ,11702,turkish jazz,
Alp Ersönmez,Alp Ersönmez,2vnmgf7oe9T4gO2FACMrLH,7402,turkish jazz,
Selen Gülün,Selen Gülün,4HlDQ8vm3OLtReb4UgN5mO,5201,turkish modern jazz,
Muammer Ketencoğlu,Muammer Ketencoğlu,2JMABH5A1OWebAVKHzGenc,8139,turkish jazz,
Selim Sesler,Selim Sesler,1H4RsM1SDZVGLVli80d3sd,10399,turkish jazz,oyun havasi
Ediz Hafızoğlu,Ediz Hafızoğlu,3182zWlqIzDv2egT3l09W3,11266,turkish modern jazz,
Sumru Ağıryürüyen,Sumru Ağıryürüyen,6EFwvy9g5Yn2PjyER2Eafs,3354,turkish modern jazz,sufi
Önder Focan,Önder Focan,1GRmh8OowBvjycLKICtrkW,5778,turkish modern jazz,
Sarp Maden,Sarp Maden,0WdjHXkPRTdmtpjfVUXKIY,5393,turkish modern jazz,
Fahir Atakoğlu,Fahir Atakoğlu,6Mj20Zm7PRpGzoNN453mSq,20808,turkish soundtrack,
Cenk Erdoğan,Cenk Erdoğan,5HKrYaVYdN3MyIe2WpVYCo,15948,turkish modern jazz,
Burhan Öçal,Burhan Öçal,4wOEkf10AAMKx0yCGEEnxm,9243,turkish jazz,oyun havasi
Okay Temiz,Okay Temiz,6yajM6C42NTolTtmV0q2cq,10209,turkish modern jazz,"free jazz, anatolian rock, experimental jazz"
Fazıl Say,Fazıl Say,15NSFL63oPhmpXLcZHny2N,172262,turkish classical performance,"classical piano, classical"
Guvenc Dagustun,Guvenc Dagustun,2s71N4gp7Ybok1jP2TV6fr,7147,turkish jazz,
Volkan Öktem,Volkan Öktem,2CKKVhnXg0a9sw0DOXmwLK,4366,turkish modern jazz,jazz fusion
Timur Selçuk,Timur Selçuk,73YEiqiNBK1fdSIHpJFuGO,40564,turkish psych,"anatolian rock, turkish pop"
Tuna Ötenel,Tuna Ötenel,0ERBAHbHTft2KV3r3qYSAj,1776,turkish modern jazz,
Çağrı Sertel,Çağrı Sertel,76Ldoh2j78nY2ThwAuFkBT,7524,turkish modern jazz,
Bilal Karaman,Bilal Karaman,3eUHqeuHIwqR2Byh2JSb7L,9136,turkish modern jazz,
Ferit Odman,Ferit Odman,2CHIQOUR9zhfALE0DyXBMX,7854,turkish modern jazz,jazz
Dilek Türkan,Dilek Türkan,5zcfMCanOQAx92n9sICtNJ,37257,turkish jazz,tango
Orient Expressions,Orient Expressions,43DjO6KKFSAiEZsuTl7IT6,7533,turkish jazz,
Anjelika Akbar,Anjelika Akbar,66dWVSMMxO583sQIhV6t4K,7990,turkish jazz,
Ozan Musluoğlu,Ozan Musluoğlu,7lZ9lK65nq3qXjWXGUY2S5,9435,turkish jazz,
Laço Tayfa,Laço Tayfa,0vqpjQw309uTX5cyt2IcxC,16879,turkish jazz,oyun havasi
Minor Empire,Minor Empire,0zO2Xuo7PZ47P46q2Gu3s7,26870,turkish jazz,"karadeniz folk, anatolian rock"
Kırıka,Kırıka,1PmTj2FlyAnqf48jAdZ3qg,10526,turkish jazz,
Volkan Hürsever,Volkan Hürsever,75ZSIqj8G14KDYC8aQaGHU,591,turkish jazz,free jazz
Aziza Mustafa Zadeh,Aziza Mustafa Zadeh,2TvWRRw5EFTbGryv1IbFM0,25535,turkish jazz,jazz
Ayten Alpman,Ayten Alpman,3ABivHBm6ULD624ig1lgOg,165486,turkish modern jazz,"arabesk, anatolian rock, turkish pop"
Mercan Dede,Mercan Dede,1rwDpyhfCIGcutXf9kmLkY,64849,turkish electronic,sufi
Fatima Spar Und Die Freedom Fries,Fatima Spar Und Die Freedom Fries,6N2ChCdYs8dbKrryUJFTAO,5721,turkish jazz,swing music
Genco Arı,Genco Arı,58PCTeH2HDJNLkLwAwEeMu,4081,turkish jazz,
Bulut Gülen,Bulut Gülen,5JyBBYYX9dTs6rC4cut6aC,2208,turkish modern jazz,
Taksim Trio,Taksim Trio,5rWGIr699je11ELP9xW5T2,50087,turkish instrumental,sufi
Senem Diyici,Senem Diyici,5va15nvxl60qJy5AICFsjQ,1529,turkish modern jazz,jazz pop
Quartet Muartet,Quartet Muartet,5p4B5r0cwfMU0OdIPNpyKh,3860,turkish modern jazz,jazz fusion
Turgut Alp Bekoğlu,Turgut Alp Bekoğlu,6HgC52zrEuMhWkWdEmqTso,1602,turkish jazz,
Barış Demirel - Barıştık Mı,Barış Demirel - Barıştık Mı,68hyI0netn3O9mLpqWlwVd,13468,turkish modern jazz,
Yansımalar,Yansımalar,4jsnmssl9zb8t0liXybjYD,33425,ney,sufi
Çağıl Kaya,Çağıl Kaya,5EM3r7Q75BR9DNqs0K2SuR,2729,turkish modern jazz,
Emin İgüs,Emin İgüs,4cJ92WPs0LBhF2hjw5mkFG,6941,turkish jazz,karadeniz folk
Derya Türkan,Derya Türkan,04e8hX9MAJUSVQNEyBdth0,9338,turkish classical,"sufi, traditional music"
Nükhet Ruacan,Nükhet Ruacan,36mjJp1aQ6cIBJQZA6p6wU,1444,turkish jazz,anatolian rock
Mısırlı Ahmet,Mısırlı Ahmet,2QYEwtEolx2HSYnGsZXquT,2695,darbuka,
Ayşe Tütüncü,Ayşe Tütüncü,6a0HZdbm6DuHSVPNEUxUf1,1681,turkish jazz,free jazz
Hediye Güven,Hediye Güven,5EyyG3doy1bmMXOqRXerai,1903,turkish jazz,indie jazz
Sema Moritz,Sema Moritz,5X7IM4oqPtd9PPnR62zz6t,30630,turkish jazz,"arabesk, anatolian rock"
Baki Duyarlar,Baki Duyarlar,3LBlsHGk4HH1UkufhcoN4H,1433,turkish modern jazz,
Tamer Temel,Tamer Temel,4ELdlYVFyf5cqZk3T7LW3t,1707,turkish modern jazz,
Hüsnü Senlendirici,Hüsnü Senlendirici,3rb0KaOJL3sOZ2MChHR6xF,49985,turkish jazz,"oyun havasi, arabesk"
Cenk Erdoğan Trio,Cenk Erdoğan Trio,5eqEQzIkIicXZ4ExJipYKU,2406,turkish jazz,
Tuluyhan Uğurlu,Tuluyhan Uğurlu,0TEPcOMhR5m9UZgmc5TXrt,5595,turkish jazz,
Ayhan Sicimoğlu,Ayhan Sicimoğlu,6hy0av4iyLkMHQZjoBFmLP,8448,turkish jazz,"electro swing, swing music"
Yavuz Akyazıcı,Yavuz Akyazıcı,6j4NrXhIPC0abk489mzlJc,8776,turkish jazz,
Nekropsi,Nekropsi,3IcnLYy2zfpCZgC13fTORg,28654,turkish experimental,"anatolian rock, progressive rock"
Gökçe Kılınçer,Gökçe Kılınçer,1XDrTgMm3OOlIPOfyxm4xM,84863,turkish alternative,"turkish pop, anatolian rock"
Seyyan Hanim,Seyyan Hanim,5znAcGmK7B5s64oSubVBKq,22906,turkish jazz,"tango, anatolian rock"
Ara Dinkjian,Ara Dinkjian,1yu2nsRarrGq79v5gNCX6X,20598,oud,"sufi, traditional music"
Can Çankaya,Can Çankaya,1EmJ3hl2cNp635fIBKkZuc,1025,turkish jazz,
Cihat Aşkın,Cihat Aşkın,70Pd24dGHmi567doblj8zN,38594,turkish instrumental,
Münir Nurettin Selçuk,Münir Nurettin Selçuk,34SwvNRArpQFhBMIMWiugN,43050,turkish classical,ghazal
Deniz Taşar,Deniz Taşar,2Z7riPm17MlJxHaIFnQwP6,5504,turkish jazz,smooth jazz
Ayyuka,Ayyuka,0wVMkLE2htJSq6K3AYMuig,35084,turkish jazz,anatolian rock
Serenad Bağcan,Serenad Bağcan,6zebrRNZzpUnIQH4irGy82,21294,turkish classical performance,
Melis Sökmen,Melis Sökmen,0H83Ljg3YxbUzWx45WjDWL,11333,turkish modern jazz,turkish pop
123,123,1cy1oWKlBfDuxBvo9ZiodY,14743,turkish modern jazz,
Kolektif İstanbul,Kolektif İstanbul,0AceT0H89PaFKXhOKbblKM,8419,turkish jazz,oyun havasi
Ayşenur Kolivar,Ayşenur Kolivar,4sZoPjQQIl8WXwYanHH6bK,30296,karadeniz turkuleri,karadeniz folk
Mircan Kaya,Mircan Kaya,21Bj5H9sSwheqVpDCKY31y,4032,cocuk sarkilari,
Anıl Şallıel,Anıl Şallıel,7wNfIZCBLC3oT0b9a7qcir,5085,turkish modern jazz,turkish pop
Orhan Osman,Orhan Osman,4fz6aWhJ47l2O7Efe2V050,4476,turkish instrumental,
Arto Tunçboyacıyan,Arto Tunçboyacıyan,13TxYlQsBj3sUlIuyqMz6g,24042,arab folk,sufi
Ece Göksu,Ece Göksu,5uPvze4cAKyuSWBuXtZhzV,2712,turkish modern jazz,
Burçin Büke,Burçin Büke,5ShjOsGQ6HApfiaC9xKeJj,2818,turkish classical performance,
Suzan Kardeş,Suzan Kardeş,5m4JTmo5elWQ9THLDvPYmH,17919,rumeli turkuleri,"oyun havasi, turkish pop"
Collectif Medz Bazar,Collectif Medz Bazar,5IopNiMINROAQ0eldP2AzW,21707,armenian folk,
Mozaik,Mozaik,3wlsG664CvPGQj1C6kN7et,3416,turkish jazz,"art pop, progressive rock, anatolian rock, art rock"
Ahmet Ali Arslan,Ahmet Ali Arslan,2fyKy2t7OhlAGDzFSBTxC9,42034,turkish alternative,
Sevinç Tevs,Sevinç Tevs,6tsSJfi5nLW8qt7m2sSEGF,3222,turkish jazz,anatolian rock
Kolektif,Kolektif,73ndCwlpfZn6oxTIm54GS7,328,turkish jazz,
Defne Şahin,Defne Şahin,2PP0v9hCxnmLASC79DJ9CK,482,turkish jazz,vocal jazz
Şirin Soysal,Şirin Soysal,0cQSDs28d2xyeYFEjrk5X9,4098,turkish modern jazz,
Trio Aksak,Trio Aksak,0zTJYrVTWknRA6ieKniOsG,4740,turkish jazz,anatolian rock
Fasıl-ı Jazz,Fasıl-ı Jazz,1ItbHlpwroC3poTOv3p76M,62126,turkish jazz,"anatolian rock, oyun havasi, turkish pop"
Yolda,Yolda,29QW13aiZrkE9ATvvVoUPk,11072,turkish reggae,
Akatay Project,Akatay Project,1WUV3GRi95kWEpRWGwfquD,463,turkish jazz,native american music
Başak Yavuz,Başak Yavuz,4hBDOSVU7BRpWYI1v9Tx0i,1529,turkish modern jazz,
Luxus,Luxus,7xsTht1gLeohYXWeyeFfQh,9322,turkish jazz,anatolian rock
No Blues,No Blues,6j4ufFak1GgjYxzRDivcjS,44426,arab folk,
Kamil Erdem,Kamil Erdem,3SFGJMyiOemR68DZ4Xo0zQ,1107,turkish modern jazz,
Şirin Pancaroğlu,Şirin Pancaroğlu,4B9vxPxDQUxc9xxSclq8BQ,2329,harp,"tango, musique concrète, electroacoustic, sufi"
Cazyapjazz,Cazyapjazz,29nErF02IhE6nnjTD0E99U,215,turkish jazz,
Sinan Cem Eroglu,Sinan Cem Eroglu,5bAM9ltcPO19tC7yCLH4vr,4705,turkish jazz,
Kazım Tanju Duru,Kazım Tanju Duru,3ByxcnqsFrJFNRmF3HBVRd,1508,turkish modern jazz,
Tamer Temel Quartet,Tamer Temel Quartet,0CfhzudfoI6OzVqFLtKLZv,160,turkish jazz,
Yıldız İbrahimova,Yıldız İbrahimova,0gY2lNJ6Lkkul3emjvqU9j,827,turkish modern jazz,
Salih Korkut Peker,Salih Korkut Peker,0U06Mx18YYHYbjcrxvez2b,4234,turkish jazz,
İstanbul Blues Kumpanyası,İstanbul Blues Kumpanyası,4fjbG5H1T3vTEoo50PB985,752,turkish jazz,anatolian rock
Çiğdem Aslan,Çiğdem Aslan,2ep0fjJI73ZrRbJ5x5eaNV,4572,turkish jazz,
Yasak Helva,Yasak Helva,5Ku0LlBlvSAliBxZvPUJWw,4799,turkish jazz,anatolian rock
Tolgahan Çoğulu,Tolgahan Çoğulu,2lFnAMsapB3UQi6YDHu0fS,8710,microtonal,
Engin Gürkey,Engin Gürkey,6WzP56Szn1cIP72aNbyqNr,156,turkish jazz,
Akın Eldes,Akın Eldes,2RyzcSkInvY2tUVvh0NV8r,8966,turkish modern jazz,
Atmosfer,Atmosfer,1NGcbba7ulMmDCmi9RBrSz,52,turkish jazz,
Aygen Bilge,Aygen Bilge,7nTM6CZ7Q8A4MEDVi6baLY,75,turkish jazz,anatolian rock
Kirika,Kirika,2YRAQL5QR3pDuJMdLrtcdN,719,turkish jazz,
6iant,6iant,1crOmwDhXGwd42WXLHn6ii,41167,turkish trap pop,"turkish hip hop, turkish pop"
KADR,KADR,5IbdRuOxSxGes8BU3lKmBx,276612,turkish trap pop,"turkish pop, turkish hip hop"
Yiğit Mahzuni,Yiğit Mahzuni,1uu0kdfguMxU8HqSz7LxIK,62950,turkish trap pop,"arabesk, turkish pop"
Umut Capone,Umut Capone,6b6UpfFRLIzgID4z8uVh4R,66563,turkish trap pop,turkish pop
Özeren,Özeren,4xKQyuqhyyDy6yTQdGk8qz,858,turkish trap pop,turkish hip hop
Eza,Eza,2gxy3wuy69FehyTu3iuRl2,7001,turkish trap pop,"turkish hip hop, turkish pop"
DEMET ELLOO,DEMET ELLOO,4KscXPzH57nCckPGRKLY6F,64565,turkish trap pop,"turkish pop, arabesk"
Hasibe,Hasibe,1xyNnZuKZlrJqxFRg43JyV,83140,turkish trap pop,turkish pop
Ateş,Ateş,4yY1V7RucVIyiEPWCVHIWw,1843,turkish trap pop,turkish hip hop
Diplomat,Diplomat,40d2ctWKoC0cITzUt8hCjJ,14737,turkish trap pop,turkish hip hop
Ali Katı,Ali Katı,2hc6zS1Ol9v2hSSYo1AcbH,2061,turkish trap pop,turkish hip hop
Nova,Nova,7wpeWtBNO8U6h6vbx9QbEN,791,turkish trap pop,turkish hip hop
Beks,Beks,3RpMzsj1yl2d2tSHYxq2yn,249,turkish trap pop,turkish hip hop
Mil Savior,Mil Savior,0GA06jqGWOXakR3xL1KtJv,8076,turkish trap pop,turkish hip hop
Neocastro,Neocastro,3dpCRBiWkKig7GHk8ima6N,1510,turkish trap pop,turkish hip hop
Dilayda,Dilayda,6eifCZdqlvQzK6FmqsHpwW,928,turkish trap pop,turkish pop
Cüneyt KUZU,Cüneyt KUZU,0hTQIhRgQYf0qb8uzA9wJo,3910,turkish trap pop,"turkish pop, arabesk"
Umut Timur,Umut Timur,650blPhpj24aloFTk941L3,246599,turkish trap pop,"turkish pop, turkish hip hop"
Hünkar Göksu,Hünkar Göksu,6cCJrO94gspaPncQR8DXwe,21193,turkish trap pop,turkish pop
Forza,Forza,06DH4yJZJmzT0KnzqZ9spg,355,turkish trap pop,turkish hip hop
Derya,Derya,6o3bwYRhx8TcXXp77TBz8F,32880,turkish trap pop,turkish pop
Enes,Enes,34pXZVU4JuirBiPGoxfcCP,27190,turkish trap pop,
Onur Bayraktar,Onur Bayraktar,6mkXWBtpiVphWODcVDF4XH,150986,turkish trap pop,"arabesk, turkish pop"
Bora,Bora,0EJe5gUmpf6NraeLEyFF7E,12648,turkish trap pop,turkish hip hop
Başak Çalık,Başak Çalık,7rmp4C7dbpPmlf3Uyt4rAm,1049,turkish trap pop,turkish pop
Ayaz Erdoğan,Ayaz Erdoğan,2Y2hYlVGlZpTHAQ9UMaBCA,319945,turkish trap pop,"turkish hip hop, turkish pop"
Nahide Babashlı,Nahide Babashlı,1mvxj5GtTiRhQ3G3qeVCJj,161412,turkish trap pop,"turkish pop, arabesk"
