isim,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres
adnan fırat,6MQdW6H60npL8SwACXonnJ,Adnan Fırat,223.0,3.0,arabesk
adnan karaduman,65FBHuZ3LMucZdCHpAqLyL,Adnan Karaduman,311.0,2.0,
adnan kisaç,5yBptWsM0J3j0ccnAQW1En,Adnan Kisac,4.0,3.0,
Adnan Koç,52T6lyGxzWcos0cjurEBkT,Adnan Koç,357.0,1.0,traditional music
adnan mungan,6Yv1Q2Jjv24N0RtuQCfRSq,Adnan Mungan,216.0,1.0,
Adnan Pekak,5hsVs2uUvdhNvGWh8l8BoZ,Adnan Pekak,98.0,0.0,arabesk
adnan şeker,77t05itwg1TCOM0UXMFBFU,Adnan Seker,2.0,0.0,
adnan yavuzer,4nMYLDzPLIQVbgrMQfC6wX,Adnan Yavuzer,1094.0,15.0,arabesk
Adytum,20hqfpHlcXzibvfSZBtSbw,Adytum,87.0,0.0,black metal
Aegnor,23sivZkATzLYmfB5J27bvQ,Aegnor,42.0,6.0,
Aeon Void,2NHDVRUYAo1uvuWZs2kgH6,Aeon Void,24.0,0.0,
Aerro,1pJzB49ODjAOHUBRtKQK6A,Aerro,7603.0,44.0,"turkish hip hop, turkish pop"
afel,0uUf0uwMWqfJ0iTeNgWoUk,Afel,1584.0,13.0,turkish hip hop
aferim,1qULuTPvfiQ4SDw9WqVCrE,Aferim,4.0,0.0,
afet serenay,55WLqattap0tagRsBj6xx4,Afet Serenay,458.0,2.0,anatolian rock
Affliction,0436oHPRKl3lRmVBw5YY32,Affliction,7194.0,15.0,hardcore
afgan,4cgBCGxtlfap2g6jveB7du,Afgan,3710557.0,68.0,"indonesian pop, malay, indonesian r&b"
Afi Ares,3X7MpzGDpMYliLysCGcsxL,Afi Ares,269.0,0.0,turkish hip hop
afra,4TofTRvEUQsznrSPnYnHx9,Afra,129707.0,55.0,turkish pop
Afrikalı Ali,0hDueKmHWkwEaQEceJj36w,Afrikalı Ali,84.0,0.0,
Ağaçkesen,6xIhSf5Z6AWfbQyXZQggsa,Ağaçkesen,74.0,0.0,
Against Decay,4V9Y7RRJjDVxi6JMMuvAmF,Against Decay,300.0,1.0,
Age Reform,6pfkUG0nPtD6EpW9SKKoOb,Age Reform,233.0,0.0,"acid house, witch house"
Agency,5KANYu21k8lWz2Hw42qf5i,Agency,191.0,0.0,
Agit Işık,36Y6NXON4fjRnCP5hK0gNY,Agit Işık,5766.0,20.0,
Ah! Kosmos,1PtegeWYDiBNTVmbINxtgD,Ah! Kosmos,16264.0,29.0,dark ambient
ahırkapı büyük roman orkestrası,1mjGxmgfDtE9908Sa0aVwG,Ahirkapi Buyuk Roman Orkestrasi,150.0,1.0,oyun havasi
Ahmed Adnan Saygun,2NN1GRhNwTloFuOz2ybGhK,Ahmed Adnan Saygun,45.0,0.0,
Ahmed Arif,3WXTOxf2V7dP2nApvLR8Cf,Ahmed Arif,19014.0,28.0,
Ahmed Ratip,46rv5NVrmbgkc63Rs6ebNJ,Ahmed Ratip,2.0,0.0,
Ahmet Akkaya,4iDdSflzZxTKMeuMntEvCU,Ahmet Akkaya,146.0,0.0,
ahmet ali arslan,2fyKy2t7OhlAGDzFSBTxC9,Ahmet Ali Arslan,41996.0,29.0,
Ahmet Altınel,7MpuaTlWfzkVN53vbUeUkr,Ahmet Altınel,11.0,0.0,
ahmet aşkın tuna,2LnalBycxgEpc26uBihNt2,Ahmet Aşkın Tuna,11.0,0.0,
ahmet baydaroğlu,7CkCJ4rePx3tgJ3VAPjfKG,Ahmet Baydaroğlu,212.0,1.0,
ahmet bb,0zqPvnza3a3CaQHwpWFRgv,Ahmet BB,156.0,8.0,turkish pop
ahmet bektas,3tOx1v2cXnPpy9bx2r2eWJ,Ahmet Bektas,11.0,1.0,
ahmet bülent ekin,6lT3jEwraHvGcpbKkLYLYc,Ahmet Bülent Ekin,133.0,0.0,sufi
Ahmet Çakar,4wADHT7KK93zjfUZTXNCf8,Ahmet Çakar,26.0,0.0,
ahmet çalışır,2AUtmdGnE6OVnUDc69W8HH,Ahmet Çalışır,285.0,4.0,sufi
Ahmet Cankat,4GDW2xdpI5ZT1bWxfKOZEY,Ahmet Cankat,48.0,0.0,traditional music
ahmet cennetoğlu,6jGc5YUnqnjxiFPBeTUjv8,Ahmet Cennetoğlu,37.0,1.0,
Ahmet Coskun,0jzZesnikJTiSbwELowQi0,Ahmet Coskun,44.0,1.0,
ahmet dumlupınar,31ZhjcyOegmx2I5E24zysK,Ahmet Dumlupınar,178.0,1.0,
ahmet enes,0x9NFyODHLMkQADlYNNBDS,ahmet enes,4125.0,26.0,turkish pop
ahmet erdoğdular,6ombBZa5yHmpYvJxBAtA7A,Ahmet Erdogdular,317.0,4.0,sufi
Ahmet Ertegün,6Z6HnCqAg8vekEhGJsKbLG,Ahmet Ertegun,231.0,0.0,
ahmet gazi ayhan,67RH8SCYfczserIrxWmE0e,Ahmet Gazi Ayhan,370.0,0.0,oyun havasi
Ahmet Güvenç,1lAX52AuvWWi87b4oUEKGb,Ahmet Güvenç,61.0,0.0,
ahmet hatipoğlu,2sOq4hJZRAybcz8AvKjDK4,Ahmet Hatipoğlu,66193.0,47.0,turkish pop
Ahmet Hoşsöyler,2OjPkm0A8kqIpERqdune4L,Ahmet Hoşsöyler,8.0,0.0,arabesk
Ahmet İhvani,436dqiiJ6QehPnIR0qeSYH,Ahmet İhvani,17318.0,28.0,
ahmet kadri rizeli,5mJ9AvwXoInbXVflFPmuZq,Ahmet Kadri Rizeli,391.0,3.0,
Ahmet Kanneci,4R6snc1yIC90u9CZJvnV3o,Ahmet Kanneci,1192.0,6.0,
ahmet karabacak,0Cbbwl9cbGZ5fzuczZkdKm,Ahmet Karabacak,0.0,0.0,
Ahmet Kemal Okuyan,6Kjz7Wnn5j5lhos9PlMXF0,Ahmet Kemal Okuyan,151.0,0.0,
Ahmet Kenan Bilgiç,6p2Yj8GMcYUZl9OzLzd92S,Ahmet Kenan Bilgiç,2741.0,15.0,
ahmet kılıç,5OyOddK42Hm0pENFDWxn39,Ahmet Kilic,46003.0,41.0,"deep house, house"
ahmet koç,5wVcjsv3JvwA0RyYay7HOS,Ahmet Koç,9649.0,30.0,arabesk
Ahmet Kural,2ORDV9WJ0czgHyFCzLKUXB,Ahmet Kural,323.0,18.0,"oyun havasi, turkish pop"
ahmet kuşgöz,4g13ltqWdJlq0FPrjtNf41,Ahmet Kusgoz,200.0,3.0,oyun havasi
ahmet meter,4HyjeDZyJDYBusQaWfOYXi,Ahmet Meter,1236.0,14.0,
ahmet mithat güpgüpoğlu,26ygkNF0jRA3b5U5pbqV1d,Ahmet Mithat Güpgüpoğlu,2.0,0.0,
ahmet muhtar ataman,2byRJFTLT6xZVY5lzKBPhz,Ahmet Muhtar Ataman,0.0,0.0,
Ahmet Ödük,2Emc7PCBfQYm2lK1yXZTGG,Ahmet Ödük,53.0,0.0,traditional music
Ahmet Özden,7j2tndGhKsHXr6b6HdQM9L,Ahmet Özden,212.0,7.0,oyun havasi
ahmet şahin,6n952MYeDgY8CW2aircZs4,Ahmet Şahin,3659.0,9.0,sufi
Ahmet Saraçoğlu,3qDXZUBLJUj0MbiHSva68C,Ahmet Saraçoğlu,217.0,0.0,
ahmet selçuk i̇lkan,1oQWUhY5ph2NKxrdsTPiHk,Ahmet Selçuk İlkan,10821.0,24.0,arabesk
Ahmet Sendil,18mAG9V2Jdp88QW3LlBs22,Ahmet Sendil,4104.0,15.0,"minimal techno, tech house"
ahmet şenyüz,5ZVCBPnrNgDIhaVrDPeJsp,Ahmet Senyüz,713.0,12.0,sufi
ahmet sinan hatipoğlu,2wLOBFvlMcz20tzEs3z5xv,Ahmet Sinan Hatipoğlu,279.0,0.0,
ahmet sipahi,7Gfynai3oNz1odsZo9D0zB,Ahmet Sipahi,179.0,0.0,
Ahmet Sisman,6qnZvMSiuzVyUGsHXlIIM0,Ahmet Sisman,9.0,0.0,
Ahmet Sönmez,5hiMxM4swvD5wyF1Bk8TXF,Ahmet Sönmez,81.0,0.0,
ahmet toz,7L7IjQqWlVFRGufy2q9kvi,Ahmet Toz,3.0,0.0,
ahmet üstün,4xq4oxReJivCJjTGFBRpyJ,Ahmet Üstün,608.0,4.0,arabesk
Ahmet Yamacı,4qt9JTUWWwfNnPmauibDov,Ahmet Yamacı,27.0,0.0,
