isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Velev Ki,,"İstanbul, İstanbul, Turkey",solo,İstanbul
Jaffer,,"İstanbul, İstanbul, Turkey",solo,İstanbul
Hazardous,,"İstanbul, İstanbul, Turkey",grup,İstanbul
Alaattin Perveroğlu,"Erzurum, Erzurum, Turkey",,solo,Erzurum
Snow Signal,,"İstanbul, İstanbul, Turkey",solo,İstanbul
over//cast,,,solo,Bursa
Onat Önol,"İstanbul, Istanbul, Turkey","Glasgow, Glasgow City, United Kingdom",solo,Glasgow City
Hex Bar,,,solo,Bursa
KOP,,,solo,Bursa
a place of beauty,,,solo,Bursa
Feza Doğru,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Paramilitant,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Özgür Yelence,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Beren Gökyıldız,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Fethi Kantarcı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Murat Onuk,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Levent Tülek,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Aren Perdeci,"İstanbul, İstanbul, Turkey",,solo,İstanbul
The Black Sea Orchestra,,,solo,Bursa
"Johnny Dyani, Mongezi Feza & Okay Temiz",,,solo,Bursa
Four Drummers Drumming,,,solo,Bursa
Ela Kazdal,"İstanbul, İstanbul, Turkey","London, Greater London, United Kingdom",solo,Greater London
Vae Victis,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Umut Kırca,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Dilan Akıncı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Bengi İdil Uras,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Başar Alemdar,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ayşe Ünal,"İstanbul, İstanbul, Turkey",,solo,İstanbul
İlksen Başarır,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Sezgin Irmak,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ayşe Tunaboylu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Bestemsu Özdemir,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ferit Edgü,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Cem Yenel,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Funda Dönmez,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Emre Oskay,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Demet Şaşmaz,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Nedim Saban,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Murat Eken,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Burcu Güven,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Hakan Akkus,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Gökhan Tiryaki,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Serap Acar,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mai,,,solo,Bursa
İlker Çavga,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mustafa Kılınç,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Engin Şenkan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ümit Belen,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Hüseyin Karabey,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Neslihan Yeşilyurt,"İstanbul, İstanbul, Turkey",,solo,İstanbul
İlkay Erkök,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Çağlar Tüfekçi,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Sanchos,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Tozlu Kaset,"İstanbul, İstanbul, Turkey",,solo,İstanbul
The Bitmap Workshop,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Yeliz Kuvancı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mert Öner,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Koray Şahin,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Tolga Küçük,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Nuray Erkol,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Doğan Yavuz,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Suat Aydoğan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ender Ergün,,,solo,Bursa
Taner Sayacıoğlu,,,solo,Bursa
Ezo Sunal,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ayşe Şasa,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Loradeniz,"İstanbul, İstanbul, Turkey","Amsterdam, Noord-Holland, Netherlands",solo,Noord-Holland
Nimet Erdem,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mine Çayıroğlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Erman Bostan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Onur Aldoğan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Λάμπρος Λεονταρίδης[Lambros Leontaridis],"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ali Burak Ceylan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Neslihan Yeldan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Cevahir Turan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Serkan Altıntaş,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Dilan Polat,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mehmet Cemal Yeşilçay,"İstanbul, İstanbul, Turkey","München, Bayern, Germany",solo,Bayern
Pera Ensemble,,,solo,Bursa
Paniren,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ferah Nur,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Eytan İpeker,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mehtap Bayrı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Levent Can,"İstanbul, İstanbul, Turkey",,solo,İstanbul
İdil Akkuş,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ali Aydın,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ebrar Alya Demirbilek,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Asli Hünel,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Sami Savni Özer,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Denizhan Akbaba,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ceren Taşçı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Gül Arıcı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Esme Madra,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Levent Ünsal,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Erdal Akkaya,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Turgut Dalar,"İstanbul, İstanbul, Turkey",,solo,İstanbul
