isim,wikidata_id,dogum_yeri,cinsiyet,muzik_turu,Spotify_ID
Berrak Derin,Q135102938,Ankara,kadın,,5eIN6BMpF0peN5W7K6OGI4
Berrin Dağçınar,Q117859335,,,,
Berrin Keklikler,Q16236027,Gelsenkirchen,kadın,,
Berrin Suları,Q827114,Çayırlı,kadın,,
Bertuğ Cemil,Q6101419,Bursa,erkek,rock müziği,
Beser Şahîn,Q6920583,,kadın,,
Bestami Yazgan,Q16189577,Osmaniye,erkek,,
Beste Barkut,Q117379847,Lefkoşa,kadın,,0oAxZzkyZDRmLPWUj5X2mK
Beste Korkmaz,Q117408848,Girne,kadın,,
Besê Aslan,Q6920822,Elbistan,kadın,,5QO3Smfmp3eQ7DOk30N0mg
Beta Berk Bayındır,Q67510088,İstanbul,erkek,,63f9vjw52BL5c3f5TSlg72
Betin Güneş,Q831431,İstanbul,erkek,,
Beto Narme,Q50822134,İstanbul,erkek,,7utK3YsKnx2b1APxEm9vK6
Betül Demir,Q850739,İstanbul,kadın,pop müzik,6aMuEI7xrBQvb2z0lXWwCR
Beyza Doğuç,Q50531137,,kadın,,4dm985QqP4kMyFH7XTvQOn
Beyza Durmaz,Q6057395,İstanbul,kadın,,
Beşir Ayvazoğlu,Q6099060,Sivas,erkek,,
Beşköylü Adem,Q471339,Köprübaşı (Manisa),erkek,,
Bidar,Q97220452,,kadın,,
Bike Öner,Q135438273,İstanbul,kadın,,
Biket İlhan,Q6027564,İzmir,kadın,,
Bilal Sonses,Q97070175,,erkek,,6iBdV6h17D1kOnK9lFyWo3
Bilge Kösebalaban,Q4907705,,erkek,,
Bilge Olgaç,Q6060769,Kırklareli,kadın,,
Bilge Özgen,Q16097273,Viranşehir,erkek,,
Bilgehan Özis,Q95855745,,erkek,,
Bilgen Bengü,Q6841305,İstanbul,kadın,pop müzik,
Bilgesu Erenus,Q6063786,,kadın,,
Bilhan Derin,Q861770,Çaycuma,kadın,,
Bilâl Ercan,Q18704468,,erkek,çağdaş halk müziği,
Bilâl Göregen,Q105197872,Dörtyol,erkek,,
Bilâl Hancı,Q113873880,Trabzon,erkek,,2wswrLV1o19frClh3pHxws
Bimen Şen,Q6049941,Bursa,erkek,,
Binali Selman,Q121200011,Demirözü,erkek,,
Birand Bingül,Q864977,Wickede,erkek,,
Biray Dalkıran,Q6062781,İstanbul,erkek,,
Bircan Pullukçuoğlu,Q23296648,,erkek,çağdaş halk müziği,
Biricik Tonguç,Q135921531,Adana,kadın,,
Birkan Nasuhoğlu,Q116555572,Üsküdar,erkek,,
Birnur Pilavcı,Q20242892,Backnang,kadın,,
Birol Güven,Q6090345,İzmit,erkek,,
Birol Namoğlu,Q6054004,,erkek,,3IzmGNYeQnx285Npwt1Zvh
Birol Topaloğlu,Q554299,Rize,erkek,,
Birsen Kaya,Q31190854,İstanbul,kadın,,
Birsen Tezer,Q12808897,,kadın,,3i5LEBNq1A00tgvcmB97vV
Bora Ayanoğlu,Q31189727,İstanbul,erkek,pop müzik,
Bora Dağtekin,Q112352,Hannover,erkek,,
Bora Dicle,Q19610824,İstanbul,erkek,Klasik Türk müziği,
Bora Duran,Q6084000,İzmir,erkek,,0W0qg2fjQVk63h44Zdn4hI
Bora Ebeoğlu,Q116963123,Ankara,erkek,,
Bora Güler,Q28913606,İstanbul,erkek,,
Bora Tekay,Q17430537,Bursa,erkek,,
Bora Öztoprak,Q6068594,İstanbul,erkek,pop müzik,
Borazan İsmail Çavuş,Q38464906,Pelitköy,erkek,,
Brader,Q6083945,,erkek,bağlama,
Brilliant Dadaşova,Q2925576,Bakü,kadın,"pop müzik, Estrada",
Buddy Bekir,Q12905059,,kadın,,
Bugy,Q50809397,,erkek,,
Buket Alakuş,Q104744,İstanbul,kadın,,
Buket Bengisu,Q1003254,İstanbul,kadın,pop müzik,
Bulut Kırbaş,Q131382684,Samsun,erkek,,
Burak Aksak,Q6068775,İstanbul,erkek,,
Burak Arlıel,Q98457364,İstanbul,erkek,,
Burak Aydos,Q1010187,Ankara,erkek,pop müzik,5q5BVQcA9SxzJ5hRscq8dG
Burak Doğansoysal,Q118929330,Bursa,erkek,,
Burak Dunne,Q129326409,İstanbul,erkek,pop müzik,
Burak Gürpınar,Q4998094,İstanbul,erkek,rock müziği,
Burak Güven,Q4153243,İstanbul,erkek,alternatif rock,5XlHMCmufGiW7KZDuC9MCB
Burak Karataş,Q96624921,,erkek,,
Burak King,Q43303403,Rotterdam,erkek,,
Burak Kut,Q1010201,İstanbul,erkek,pop müzik,3A6DEEgGTMl77LFLCzwc5T
Burak Serbest,Q117861972,,erkek,,
Burak Yeter,Q19668785,Trabzon ili genel seçim sonuçları,erkek,"dance pop, elektro-house, progressive house, synth-pop",4ON1ruy5ijE7ZPQthbrkgI
Burak Çevik,Q51274908,İstanbul,erkek,,
Burak Özdemir,Q63384710,İstanbul,erkek,,
Buray,Q21524546,Lefkoşa,erkek,Türk pop müziği,1qZ684TB9E1BjH58btdtYd
Burcu Biricik,Q17045544,Elmalı,kadın,,
Burcu Durmaz,Q106777025,Kadıköy,kadın,,
Burcu Güneş,Q4998240,İzmir,kadın,pop müzik,7EJB9F3fv0x2ezht730D7F
Burcu Melekoğlu,Q126375124,,kadın,,
Burcu Tatlıses,Q25476476,İstanbul,kadın,,5zSwFVgHcKDAYoVgoOCN07
Burcu Yeşilbaş,Q85969182,Yalova,kadın,,
Burhan Aydemir,Q23920691,İstanbul,erkek,,
Burhan Bayar,Q115691433,Adana,erkek,,
Burhan Berken,Q1028223,Ergani,erkek,,2uby1sznCSfx7tciF7uKBT
Burhan Bolan,Q61466414,İstanbul,erkek,,
Burhan Yılmaz Uysal,Q137505927,,erkek,,
Burhan Çaçan,Q6828273,Eleşkirt,erkek,,0uc6hSyVbXHjRvEqeIpxMn
Burhan Öcal,Q1016279,Kırklareli,erkek,,4wOEkf10AAMKx0yCGEEnxm
Burhânettin Deran,Q16003817,,erkek,,
Buğra Aydınoğlu,Q104987367,Ankara,erkek,,
Buğra Gülsoy,Q5003637,Ankara,erkek,,
Buğra Uğur,Q6079000,İstanbul,erkek,,
Byb Berlin,Q16745200,,kadın,,
Bülent Akıncı,Q1020665,Ankara,erkek,,
Bülent Arel,Q4348516,İstanbul,erkek,,
Bülent Aris,Q99325,İstanbul,erkek,,
Bülent Ateş,Q109650103,,erkek,,
Bülent Ayyıldız,Q52819153,,erkek,,
Bülent Bekar,Q118956609,Çamlıhemşin,erkek,,
Bülent Ersoy,Q467067,İstanbul,trans kadın,,4ZXSO4o28gKUfDbnrwtPmd
Bülent Evcil,Q5005279,İstanbul,erkek,,
Bülent Gükuluç,Q95839407,,erkek,,
Bülent Gündüz,Q47499796,,erkek,,
Bülent Kullukçu,Q1020684,Markt Indersdorf,erkek,,
Bülent Ortaçgil,Q2930183,Ankara,erkek,folk rock,1eY7YyYjc9jGnsHdJka906
Bülent Özbek,Q95896674,,erkek,,
Bülent Öztürk,Q18342966,,erkek,,
Bülent İşbilen,Q116861462,Bursa,erkek,,
Bünyamin Aksungur,Q18720651,Manisa,erkek,,
CAFI feat. Ayla,Q115715051,,erkek,,
Cadyer,Q109330579,,kadın,,
Cafer Ozan Türkyılmaz,Q95273561,Türkiye,erkek,,
Cafer Özgül,Q17045552,,erkek,,
Cahide Sonku,Q12069604,Sana'a,kadın,,
Cahit Berkay,Q6818296,Isparta,erkek,,2NaZUnDZ5k0I6MjUFmVX8T
Cahit Günal,Q124047374,,erkek,,
Cahit Irgat,Q6098122,Lüleburgaz,erkek,,
Cahit Oben,Q6069452,İstanbul,erkek,pop müzik,2O8jY0TevDFs7R9tzkh4SH
Cahîdo,Q6929304,,erkek,,
Can Aksel Akın,Q6083972,İstanbul,erkek,,
Can Atilla,Q1031847,Ankara,erkek,New Age müzik,
Can Aybars,Q122957780,Saratov,erkek,,
Can Bonomo,Q319907,İzmir,erkek,caz,
Can Canatan,Q16218401,Solna Belediyesi,erkek,hip-hop müziği,
Can Candan,Q95797871,,erkek,,
Can Candid,Q1031827,Münih,erkek,,
Can Dündar,Q3478799,Ankara,erkek,,
Can Erdoğan-Sus,Q1031839,Bursa,kadın,,
Can Etili,Q137268466,,erkek,,
Can Gox,Q17045556,,erkek,blues,5Z0rUIkdvlnx6JYqcC4aU0
Can Güney,Q6043739,,erkek,,
Can Güngör,Q49883536,,erkek,,1G2uUovCzQzQTxT5YM7zPN
Can Kazaz,Q85969297,,erkek,,
Can Koç,Q122818318,İstanbul İstatistiki Bölgesi (TR100),erkek,,3O6mcOK5C1hkMfwrSkNPMM
Can Ozan,Q52554862,,erkek,,4MUb8ilmrxyePXwSkG31lC
Can Sarvan,Q6070707,İstanbul,kadın,,
Can Somer,Q96311632,,erkek,,
Can Tanyol,Q134549856,Hamburg,erkek,,
Can Temiz,Q25472214,,erkek,rock müziği,
Can Togay,Q326612,Budapeşte,erkek,,
Can Tutuğ,Q116587771,,erkek,,
Can Uğurluer,Q743959,İstanbul,erkek,pop müzik,
Can Çakmur,Q105258186,Ankara,erkek,,
Can Ülkay,Q47499823,İstanbul,erkek,,
Can Şaban,Q6039843,İstanbul,erkek,,
Canan Anderson,Q138302411,Vicenza,kadın,,
Canan Gerede,Q1032754,New York,kadın,,
Canan Çal,Q23920768,İzmir,kadın,,
Canberk Ulaş,Q132780939,,erkek,,
Candan Erçetin,Q298146,Kırklareli,kadın,pop müzik,51YBtWvwOP37hIGmnxf4yC
Caner Alper,Q111190210,İzmir,erkek,,
Caner Altınbaş,Q19610881,Ankara,erkek,Klasik Türk müziği,
Caner Beklim,Q6100484,,erkek,,
Caner Canerik,Q25663853,Pülümür,erkek,,
Caner Erzincan,Q120798701,Erzurum,erkek,,
Caner Sayan,Q117922010,İstanbul,erkek,,
Caner Özyurtlu,Q26234865,İstanbul,erkek,,
Cansel Elçin,Q1033641,İzmir,erkek,,
Cansever,Q101064387,Köprülü,kadın,,
Cansu Boğuşlu,Q135006427,İstanbul,kadın,,
Cansu Koç,Q65220152,Sivas,kadın,,
Cansu Türedi,Q112657012,Bursa,kadın,,
Cavit Ergün,Q55806708,,erkek,,1bEnAEdb1mp5ynAw7H6ZJB
Cavit Karabey,Q6087350,Bayburt,erkek,,
Cavit Yürüklü,Q61951648,İstanbul,erkek,,
Ceg,Q97211256,,erkek,,
Ceki Benşuşe,Q5057401,İstanbul,erkek,,
Celal Esat Arseven,Q20473986,İstanbul,erkek,,
Celal Çimen,Q20474009,Ankara,erkek,,
Celâl Kılıç,Q111034172,Gölcük,erkek,,
Celâl İnce,Q137505922,,erkek,,
Celâl Şahin,Q6032563,İstanbul,erkek,,
Cem Adrian,Q534514,Edirne,erkek,avangart caz,2AWUCT9xtcvkjpFq1ZgpPj
Cem Adıyaman,Q105061923,Ankara,erkek,,1tcCKME10D4F7uKw457hHx
Cem Aksel,Q95818420,,erkek,,
Cem Aksel,Q6045181,,erkek,caz,
Cem Akın,Q117860677,,erkek,,
Cem Arnold Süzer,Q1053241,Bremen,erkek,,
Cem Arslan,Q95837089,Duisburg,erkek,,
Cem Bahtiyar,Q6060384,,erkek,alternatif rock,
Cem Belevi,Q27983289,İzmir,erkek,"pop müzik, fantastik edebiyat, arabesk müzik",5yhN4qXpv9cghmJglovvmg
Cem Ergül,Q6005070,,erkek,,
Cem Esen,Q72385112,Adana,erkek,,
Cem Görgeç,Q107261898,Eskişehir,erkek,,
Cem Karaca,Q1053260,Bakırköy,erkek,"rock müziği, Anadolu rock, senfonik rock",1lIbZfJvMQRqzhtCQsg5EI
Cem Karcı,Q112265386,Gaziantep,erkek,,
Cem Kaya,Q23747434,Schweinfurt,erkek,,
Cem Kısmet,Q6051356,Trabzon,erkek,,
Cem Oral,Q15438521,Almanya,erkek,,
Cem Stamati,Q5058620,İstanbul,erkek,,
Cem Sultan Ungan,Q1053257,Eskişehir,erkek,,
Cem Tuncer,Q23415507,,erkek,caz,
Cem Yıldız,Q6086786,Erzincan,erkek,,
Cem Yılmaz,Q732915,İstanbul,erkek,,
Cem Özkan,Q6069150,İstanbul,erkek,,
Cem İdiz,Q6099415,Ankara,erkek,,
Cem İkiz,Q6084624,,erkek,,
Cem Şenyücel,Q6025445,,erkek,,
Cemal Can Canseven,Q116555640,İzmir,erkek,,
Cemal Reşit Rey,Q1053284,Kudüs,erkek,klasik müzik,
Cemil Cankat,Q30611087,Şanlıurfa,erkek,türkü,
Cemil Demirbakan,Q6046393,Ankara,erkek,,
Cemil Karikov,Q21706865,Özbekistan,erkek,,
Cemil Özeren,Q6073507,Bandırma,erkek,rock müziği,
Cemile Cevher Çiçek,Q12809047,Maçka,kadın,,
Cemile Naz Şimşek,Q6073318,İzmit,kadın,,
Cemre Kemer,Q6815424,İstanbul,kadın,pop müzik,
Cemre Solmaz,Q117305336,Kocaeli,kadın,,0Mx74d4SO1SvC0odPIGBoZ
Cemîl Qoçgirî,Q111391437,Duisburg,erkek,,5MadmSSl2XHP57nFN7lYHe
Cenan Akın,Q94506,Şebinkarahisar,erkek,,
Cengis Temuçin Asiltürk,Q116555379,Adana,erkek,,
Cengiz Akaygün,Q60710051,Stuttgart,erkek,,
Cengiz Baysal,Q19610905,Ankara,erkek,"alternatif rock, downtempo",1DWPmbPHp5E3mAMI8crVi1
Cengiz Coşkuner,Q125791933,İstanbul,erkek,,
Cengiz Ercümer,Q95873053,,erkek,,
Cengiz Kurt,Q6077375,Kayseri,erkek,,
Cengiz Kurtoğlu,Q5058837,Artvin,erkek,fantastik edebiyat,
Cengiz Onural,Q6093274,İstanbul,erkek,,
Cengiz Tanç,Q20474049,İstanbul,erkek,,
Cengiz Özkan,Q6060875,Divriği,erkek,,
Cengiz Özmaden,Q95791227,,erkek,,
Cenk Durmazel,Q6039969,,erkek,hard rock,
Cenk Erdoğan,Q97220675,İstanbul,erkek,,
Cenk Eren,Q116555538,Ankara,erkek,,
Cenk Ozakinci,Q117860724,,erkek,,
Cenk Sarkuş,Q6019421,,erkek,,
Cenk Taşkan,Q4452963,İstanbul,erkek,dünya müziği,
Cenk Çelebioğlu,Q5058857,,erkek,,
Cenk Ünnü,Q5058862,İstanbul,erkek,heavy metal,
Ceren Akyıldız,Q6018399,,kadın,,
Ceren Ezgi Demir,Q26906882,,kadın,,
Ceren Necipoğlu,Q2476487,İstanbul,kadın,,
Ceren Türkmenoğlu,Q135586958,Ankara,kadın,,
Cevat Okçugil,Q65695466,İstanbul,erkek,,
Cevat Ültanır,Q6017361,Vize,erkek,,
Cevat Şahiner,Q108815302,,erkek,,
Cevdet Bağca,Q6069738,Iğdır,erkek,,
Cevdet Erek,Q21572885,İstanbul,erkek,,
Cevdet Mercan,Q6082082,Gaziantep,erkek,,
Cevdet Öztopal,Q116616109,Fındıklı,erkek,,
Ceyda Aslı Kılıçkıran,Q18044414,İzmir,kadın,,
Ceyda Pirali,Q87417853,İstanbul,kadın,,
Ceyda Torun,Q24672337,İstanbul,kadın,,
Ceyhun Güneş,Q108605424,Ankara,erkek,,2gsIJX4bhdRW1qlqKgsdtt
Ceyhun Kaya,Q125167252,,erkek,,0xNpX9wlap9Lusaa0AwP5e
Ceylan,Q545865,Tunceli,kadın,,396gqBt8a2NN7gXtDWF7AJ
Ceylan Ece,Q23296654,İstanbul,kadın,pop müzik,
Ceylan Ertem,Q6083224,Adapazarı,kadın,,2crPPfVdmrxn5yUHLQVqOI
Ceylan Koynat,Q122238484,İzmir,kadın,pop müzik,4o9kilxirh6nRSrNfOHCXb
Ceylan Özgün Özçelik,Q55721756,Rize,kadın,,
Ceylân Beyoğlu,Q112562974,,kadın,,
Ceynur,Q6093025,İstanbul,kadın,,
Ceza,Q282782,Üsküdar,erkek,"hip-hop müziği, chopper",28Qbi9jTj2eej21P2mImZI
Chefket,Q14077003,Heidenheim an der Brenz,erkek,,5cfZNNUl6K82ZIWoWYSbcw
Chianne,Q107015203,Ankara,kadın,"pop müzik, indie pop",41U7r6HXpvTbskVPsM121n
Chiara Scarpari,Q21524801,Calabria,kadın,pop müzik,
Christian Uğurel,Q106866545,Neuss,erkek,,
Ciguli,Q17045573,Hasköy,erkek,folk-pop,
Cihad Caner,Q125746474,Konstantinopolis,erkek,,
Cihan Güçlü,Q6086272,İzmir,kadın,pop müzik,
Cihan Kaan,Q5119898,Dallas,erkek,techno,
Cihan Mürtezaoğlu,Q65220297,,erkek,,
Cihan Sağlam,Q6080862,,erkek,,
Cihan Türkoğlu,Q115431545,,erkek,,
Cihan Özdemir,Q5119900,Ankara,erkek,hip-hop müziği,
Cihan İnan,Q1091886,Burgdorf,erkek,,
Cihangir Bilgin,Q113027715,Kayseri,erkek,,
Cihat Aşkın,Q6103774,İstanbul,erkek,,
Cimilli İbo,Q116555605,Trabzon,erkek,,
Cinuçen Tanrıkorur,Q2973032,İstanbul,erkek,,
Contra,Q98406750,,erkek,,
Coşkun Demir,Q6096482,Mürefte,erkek,pop müzik,49rst6rei1Y3KXPWIZlu6m
Coşkun Sabah,Q5180181,Diyarbakır,erkek,,
Cumhur Avcil,Q4055553,Bursa,erkek,rock müziği,
Cüneyd Kosal,Q31189823,Fatih,erkek,,
Cüneyd Orhon,Q6061213,,erkek,,
Cüneyt Arkın,Q927967,Odunpazarı,erkek,,
Cüneyt Sermet,Q97220827,,erkek,,
Cüneyt İnay,Q131756520,Kayseri,erkek,,
DJ Quicksilver,Q67604,Trabzon,erkek,"house müziği, trance, techno",
Dario Moreno,Q1167073,İzmir,erkek,,
Davut Güloğlu,Q144675,Rize,erkek,pop müzik,
Davut Sulari,Q1178368,Erzincan,erkek,,
Dee Demirbağ,Q3028001,Gülçatı,kadın,Eurodance,
Defkhan,Q67507689,Amsterdam,erkek,,5piE2MZ1wGpBjpDud8kTOS
Defne Samyeli,Q6088063,İstanbul,kadın,,
Deha Duygu Sayar,Q125507074,Bandırma,kadın,,
Delila Dilan,Q132561608,İstanbul,kadın,,0BA7fdHBTei5NonfyKRjiY
Demet Akalın,Q466038,Gölcük,kadın,pop müzik,1U449OOb70EZlElNjLMwCM
Demet Sağıroğlu,Q6093986,Erzurum,kadın,pop müzik,1JezmRKWjau6fQtfotfhZY
Demir Demirkan,Q981776,Adana,erkek,thrash metal,0ONcicRZwAgDDZyeWrLia3
Demirhan Baylan,Q6101052,Divriği,erkek,,
Demirhan Ersunar,Q108843960,Elazığ,erkek,,
Deniz Akçay Katıksız,Q21524972,,kadın,,
Deniz Alemdar,Q20474500,Erzurum,erkek,progressive rock,
Deniz Arcak,Q6069578,Ankara,kadın,pop müzik,
Deniz Arslan,Q114567070,Viyana,erkek,,
Deniz Cengiz,Q52481353,,kadın,,
Deniz Coşkun,Q117862990,,erkek,,
Deniz Demiröz,Q47008066,Adapazarı,erkek,,6WrGJUxhDbiIWRAvEPMDPs
Deniz Denizciler,Q84562210,Çanakkale,erkek,,
Deniz Erdoğan,Q135112457,Hakkâri,erkek,,
Deniz Eroğlu,Q72214088,Danimarka,erkek,,
Deniz Gamze Ergüven,Q20730476,Ankara,kadın,,
Deniz Gürzumar,Q50629343,Ankara,erkek,,1nbkdlGLMmM7rVNAkfoDu0
Deniz Güvenç,Q18882505,Ankara,erkek,,
Deniz Koyu,Q950077,Bochum,erkek,elektro-house,2wIIoaTkGrgMdkZENiCcJo
Deniz Kızı Eftalya,Q6064497,Sarıyer,kadın,"Klasik Türk müziği, kanto",
Deniz Seki,Q453260,İstanbul,kadın,pop müzik,28bHkFlKKHHudmgvnfYpiJ
Deniz Sözbir,Q1187853,Herdecke,erkek,,
Deniz Tek,Q3705474,Ann Arbor,erkek,hard rock,
Deniz Tekin,Q31191868,İzmir,kadın,,4TdvNk4wmn5DgBFiLDeCj0
Deniz Toprak,Q31189300,,kadın,,
Deniz Tortum,Q116555311,,erkek,,
Deniz Tuzcuoğlu,Q55810241,İzmir,erkek,,1LdPpldFDbjfYvPYIFfMPI
Deniz Yılmaz,Q6095250,İstanbul,erkek,rock müziği,
Deniz Çetin,Q6028473,,erkek,,
Deniz Özbey,Q6052572,İstanbul,kadın,,
Deniz Ünel,Q6070822,İstanbul,kadın,,
Deniz İnce,Q137505928,,erkek,,
Denniz Dilek,Q95874080,,erkek,,
Dersu,Q104586509,İstanbul,kadın,"Soul, indie pop, Çağdaş R&B",5WZmPXj7kh2M5i9Yu7qAbm
Dersu Yavuz Altun,Q117862190,,erkek,,
Dertli Divani,Q6070857,Şanlıurfa,erkek,Türk halk müziği,
Derviş Serhat,Q6936311,Kars,erkek,,
Derya Baykal,Q6096860,Ankara,kadın,,
Derya Bedavacı,Q132064125,Sivas,kadın,,
Derya Durmaz,Q95702799,Stuttgart,kadın,,
Derya Köroğlu,Q5263389,İstanbul,erkek,,
Derya Türkan,Q6061724,İstanbul,erkek,"caz, Klasik Türk müziği",
Derya Uluğ,Q30763348,İzmir,kadın,pop müzik,7A6T0nTpXnPXDUGM1yEjEj
Derya Yıldırım,Q110670699,Hamburg,kadın,,3sOZwUEz343zQBrsgfXEO7
Destan Dogan,Q106449302,,erkek,,
Devran Çağlar,Q85851272,,erkek,,
Devrim Aktaş,Q95226478,,erkek,,
Devrim Erden,Q69516870,,kadın,,
Didem Erçin,Q109740770,İstanbul,kadın,,
Dilan Balkay,Q89147061,İstanbul,kadın,,
Dilan Çıtak,Q123986198,İstanbul,kadın,,
Dilba Demirbağ,Q3675515,Gülçatı,kadın,Rhythm and Blues,
Dilber Ay,Q12809219,Kahramanmaraş,kadın,arabesk müzik,
Dilber Doğan,Q1225442,Zara,kadın,,
Dilek Keser,Q117862623,,kadın,,
Dilek Koç,Q105946602,Antalya,kadın,,1GekFIlWRr83OVsQwnsCO5
Dilek Pınar,Q6025859,,kadın,,
Dilek Türkan,Q6059999,Balıkesir,kadın,Klasik Türk müziği,
Dilek Çolak,Q97207640,İstanbul,kadın,,
Dilhan Şeşen,Q116555375,İstanbul,kadın,,
Dinçer,Q130344046,Edirne,erkek,pop müzik,3TND7XsPp4uT7nlovcTCEW
Dj F,Q113052159,Tahran,erkek,,
Dodan Özer,Q31191788,Varto,erkek,,
Doruk Ataoğlu,Q11148371,İstanbul,kadın,rock müziği,
Doruk Çetin,Q454386,İstanbul,erkek,,
Dorukcan Yıldız,Q12279051,Ankara,erkek,black metal,
Dou Kalender,Q16207907,,erkek,senfonik metal,
Doğa Akbuğday,Q136418527,İzmir,kadın,"hip-hop müziği, pop müzik",1JS3DkYqGAuOVlPVvoxG0a
Doğa Bekleriz,Q5303857,İstanbul,kadın,,
Doğa Can Anafarta,Q108870102,,erkek,,
Doğan Altuner,Q98635265,,erkek,,
Doğan Canku,Q6033392,Tavşanlı,erkek,pop müzik,7lAMAZizRgc9vwXHQOULe4
Doğan Duru,Q909481,İzmit,erkek,rock müziği,
Doğan Mehmet,Q5288300,,erkek,,
Doğan Pekacar,Q108390010,,erkek,,2BVOH3KK6TSop49w68jPRa
Doğan Çakıroğlu,Q137506375,,erkek,,
Doğanay,Q6060725,İstanbul,kadın,,
Doğaç Titiz,Q6045771,İstanbul,erkek,rock müziği,
Doğuhan Sakın,Q134273976,,erkek,,
Doğukan Manço,Q20476803,Belçika,erkek,,
Doğuş,Q6096444,Almanya,erkek,,
Doğuş Algün,Q133462019,İstanbul,erkek,,
Doğuş Özokutan,Q116586728,Lefkoşa,kadın,,
Dramalı Hasan Hasgüler,Q134710396,Drama,erkek,,
Durmuş Akbulut,Q6048979,Ermenek,erkek,,
Durmuş Yıldırım,Q118869912,Denizli,erkek,,
Durmuş Çiğdem,Q109385345,,erkek,,
Dursun Karaca,Q133261958,Çayeli,erkek,,
Dursun Salkım,Q116616197,Muğla,erkek,,
Dursun Tanyaş,Q118956620,Çayeli,erkek,,
Durul Gence,Q6063228,Ankara,erkek,,
Durul Taylan,Q40328793,,erkek,,
Duygu Demir,Q108104464,,kadın,,
Duygu Korkmaz,Q131315366,,kadın,,7ohKWtv29hLfWsNIgim8Ui
Duygu Sağıroğlu,Q6097847,Trabzon,erkek,,
Ebral Aydın,Q116446639,Hopa,erkek,,
Ebru Aydın,Q5332066,İstanbul,kadın,"caz, pop müzik",
Ebru Ceylan,Q16939232,Ankara,kadın,,
Ebru Cündübeyoğlu,Q6764081,Heilbronn,kadın,,0bv8ttqO7xQN37xvURy1gP
Ebru Destan,Q5332068,İzmir,kadın,,
Ebru Elver,Q6041724,Beyoğlu,erkek,,
Ebru Gündeş,Q469770,İstanbul,kadın,,5AboYJAlMb9FGadTTDKRoN
Ebru Kaya,Q16264605,,kadın,,
Ebru Polat,Q540212,İzmir,kadın,pop müzik,75qHhz1dcbPw1jNllzGsT9
Ebru Yaşar,Q4821617,Ankara,kadın,pop müzik,0Qbd0AGWuzggX61s306wZN
Ebru Çiçek,Q126915704,,kadın,,
Ece Barak,Q109385351,İstanbul,kadın,,
Ece Mumay,Q50602735,İstanbul,kadın,,5FK1YzcREfjBuxM8i7UtBe
Ece Seçkin,Q20470529,İstanbul,kadın,pop müzik,1lfD2lvoDctsMr6grjYOb5
Ecem Anay,Q112376555,İstanbul,kadın,,
Ecrin Su Çoban,Q117305279,Kocaeli,kadın,,13trRHQvVRg3Zu4TuVJdGH
Eda And,Q97221032,İzmir,kadın,,
Eda Baba,Q77081013,İstanbul,kadın,,
Eda Karaytuğ,Q6053095,,kadın,Klasik Türk müziği,
Eda Tanses,Q50290077,Duisburg,kadın,,
Eda Özülkü,Q6090148,Gölcük,kadın,,
Edgar Manas,Q5337363,İstanbul,erkek,,
Edibe Sulari,Q1284487,Erzincan,kadın,,
Edip Akbayram,Q1284801,Gaziantep,erkek,"Anadolu rock, Protest müzik, Türk halk müziği",0oFiWQjHNvksJlD0aWzBZM
Edis,Q19611078,Londra,erkek,pop müzik,1AM52XHXnWAEqnQwpxTLWm
Ediz Hafızoğlu,Q97221053,Koçmalar,erkek,caz,
Ediz İlhan,Q6041698,Fatih,erkek,soft rock,
Efe Akmen,Q21444662,,erkek,,
Efe Yılmaz,Q12809339,,erkek,alternatif rock,
Efe Ünver,Q114649923,Antalya,erkek,,
Efkan Şeşen,Q6096422,İstanbul,erkek,,
Efsun,Q6079553,,kadın,alternatif rock,
Eftal Küçük,Q6050153,Ankara,erkek,,
Ege,Q6026698,,erkek,pop müzik,
Ege Göktuna,Q6087381,İstanbul,erkek,rock müziği,
Ege Çubukçu,Q6096225,İzmir,erkek,rap,
Ekin Fil,Q109383776,İstanbul,kadın,,
Ekrem Engizek,Q50570002,Hamburg,erkek,,
Ekrem Güyer,Q6078995,Karaman,erkek,,
Ekrem Karadeniz,Q116678111,Rize,erkek,,
Ekrem Piliç,Q13081821,,erkek,,
Ekrem Zeki Ün,Q6102086,İstanbul,erkek,,
Elektro Hafız,Q67202998,,erkek,,
Elif Avcı,Q60436852,,kadın,,
Elif Buse Doğan,Q116555662,İzmit,kadın,,
Elif Canfeza Gündüz,Q135740196,,kadın,,
Elif Doğan,Q85970016,İstanbul,kadın,,
Elif Ergezen,Q118575030,,kadın,,
Elif Güreşçi,Q137597701,Ordu,kadın,,
Elif Melda Yılmaz,Q6054835,Eskişehir,kadın,,
Elif Refiğ,Q118956752,İstanbul,kadın,,
Elif Sözen,Q99964759,Malatya,kadın,,
Elif Turan,Q1329320,İzmir,kadın,pop müzik,
Elif Tuğba Altındağlı,Q136450997,,kadın,,
Elif Çağlar-Muslu,Q12809368,İstanbul,kadın,caz,4329Rqrv9R9wc832cqQCVv
Elit İşcan,Q22920452,İstanbul,kadın,,
Elvin Bekir,Q99593285,,erkek,rock and roll,
Elvin Eksioglu,Q5368069,İstanbul,kadın,,
Elvin Levinler,Q6067222,,kadın,,
Elçin Orçun,Q57783289,İstanbul,kadın,,1e6JMnBTnlsmLfUIshPefJ
Emel Müftüoğlu,Q6102281,İzmir,kadın,pop müzik,
