isim,wikidata_id,dogum_yeri,cinsiyet,muzik_turu,Spotify_ID
Ali Osman Akkuş,Q29034372,Çorum,erkek,,
Ali Osman Erbaşı,Q126938800,Şanlıurfa,erkek,,
Ali Perret,Q92949325,New York,erkek,,
Ali Rıfat Çağatay,Q3820199,İstanbul,erkek,,
Ali Rıza Avni Tınaz,Q6050552,İzmir,erkek,,
Ali Rıza Binboğa,Q1711193,Ördekli,erkek,,
Ali Rıza Gündoğdu,Q6064832,,erkek,,
Ali Rıza Yurtoğlu,Q6034693,Balışeyh,erkek,,
Ali Seçkiner Alıcı,Q111304047,Kars,erkek,,
Ali Taner Baltacı,Q97237439,Bafra,erkek,,
Ali Tekintüre,Q6055167,Besni,erkek,,
Ali Umut Zabun,Q108572121,İstanbul,erkek,,
Ali Uğurlu,Q113128122,,erkek,,
Ali Çamkerten,Q116615984,Çamlıhemşin,erkek,,
Ali Özgentürk,Q4053721,Adana,erkek,,
Ali İlhan,Q19610488,İstanbul,erkek,,
Alican Süner,Q47501538,Mersin,erkek,,
Alihan,Q25480465,Sivas,erkek,,
Alihan Civelek,Q134518029,,,çağdaş halk müziği,
Alişan,Q958128,İstanbul,erkek,pop müzik,321nPMiJ4ZY5ihxMz99R4J
Allame,Q20476328,Trabzon,erkek,hip-hop müziği,25FdziPY37yQIRXSk7ZUmS
Alp Bora,Q77316451,,erkek,,
Alp Eren Khamis,Q112870072,İstanbul,erkek,,
Alp Ersönmez,Q97219979,İzmir,erkek,,
Alp Gün,Q73092,Berlin,erkek,hip-hop müziği,6nHDuiu6PIpfWt6DswQHvL
Alp Yenier,Q106215190,,erkek,,
Alp Zeki Heper,Q12808456,İstanbul,erkek,,
Alpay,Q4734776,Ankara,erkek,pop müzik,54dXUQ28NmpBHImIXjRsUg
Alpay Göltekin,Q97159876,,erkek,,
Alper Babayağmur,Q117862085,,,,
Alper Ergüven,Q134532648,Rize (ilçe),erkek,,5hDSuwsbW3OkVl0I54tUfx
Alper Kömürcü,Q12808460,Ankara,erkek,pop müzik,
Alper Mestçi,Q20476345,İstanbul,erkek,,
Alper Narman,Q6001222,,erkek,,
Alper R. Şahin,Q95890774,,erkek,,
