isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Çağrı Sinci,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,32d21ZV2sLX2sGdjefVMJg,120807.0,50.0,turkish hip hop,turkish hip hop,,turkish hip hop
Çelik,"İstanbul, Turkey",,solo,İstanbul,1OLLBdj6zsFJ2GUMpk8trl,320781.0,49.0,turkish pop,arabesk,,turkish pop
Ömür Gedik,,"İstanbul, İstanbul, Turkey",solo,İstanbul,3Fnj0gjfxDYyjIZchYWcrg,10933.0,26.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",,deep turkish pop
Önder Şahin,,"İstanbul, İstanbul, Turkey",solo,İstanbul,54B2T6NfUfcu68yWPpy0kn,4858.0,32.0,turkish hip hop,turkish hip hop,,turkish hip hop
Öykü Gürman,"İstanbul, İstanbul, Turkey",,solo,İstanbul,173BBRCDf7unNOeNIeP0OV,97774.0,42.0,"karadeniz folk, turkish pop, oyun havasi, arabesk","karadeniz folk, turkish pop, oyun havasi, arabesk",pop,turkish pop
Özcan Türe,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4sjE5EHWoYQsYKVxtBAVsE,78173.0,38.0,arabesk,arabesk,halk,turkish folk
Özdal Orhon,"Istanbul, Turkey",,solo,İstanbul,58Z539EdWgjFz1oyRW9KGb,1293.0,5.0,arabesk,arabesk,,
Özdemir Erdoğan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,691svprNZf0oJTi1L0eYy6,250816.0,50.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",,
Özer Atik,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,14ZEZKst5jpR651ee0I9Ho,13476.0,25.0,turkish pop,,,
Özhan Eren,"İstanbul, Turkey",,solo,İstanbul,2ltbkR18dnoN0JlsKVM5EY,1924.0,12.0,arabesk,arabesk,,
Özkan Uğur,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3XAyrca1lh2A0ZSSNoy7Np,10025.0,21.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Öztürk,"Kars, Turkey","İstanbul, Turkey",solo,İstanbul,20KmGoOPKwrKLDN0s7pRsI,9229.0,40.0,turkish hip hop,turkish hip hop,,"turkish rock, turkish metal"
Ünlü,"Istanbul, İstanbul, Turkey",,solo,İstanbul,4pYF80SmJuMKyGF5MBEQlv,18394.0,23.0,"anatolian rock, turkish pop",opera,,"turkish rock, turkish metal"
Ünol Büyükgönenç,"İstanbul, İstanbul, Turkey",,solo,İstanbul,422XRyh8cTAry2xsyCMlWA,2115.0,13.0,anatolian rock,anatolian rock,rock,turkish psych
Üsküdar Musiki Cemiyeti,"İstanbul, İstanbul, Turkey",,solo,İstanbul,696fWbqWvo9MCgLzLBOnGQ,75.0,0.0,arabesk,arabesk,,
Şanışer,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5LUxu287CsPM7jy3yS3l86,1110717.0,55.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Şehinşah,"Kemah, Erzincan, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,0FUsrstJwmg4WVHQMTYuUA,1527954.0,59.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Şenay,"İstanbul, İstanbul, Turkey",,solo,İstanbul,70C9Hem4LtSZElO9GTp42g,7698.0,31.0,"anatolian rock, turkish pop",,,turkish psych
Şevket Çoruh,"İstanbul, Turkey",,solo,İstanbul,1Hm1fh51sSWnlWwT1VVS5R,203.0,13.0,anatolian rock,anatolian rock,,
Şevval Sam,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5zkh6MICzIQIUoA9NfZpBx,379581.0,48.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",,"turkish pop, turkish rock, turkish folk"
Şükran Ay,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7wTeWSphm4PFPrfPHKirsr,12872.0,18.0,arabesk,arabesk,halk,
AYDEED,"Izmir, Izmir, Turkey",,solo,İzmir,0YHObPo0wpyvS1VLHfwuVz,78342.0,51.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,
Ali Kocatepe,"İzmir, İzmir, Turkey",,solo,İzmir,0pc9IOM5tKqyyc3QtpSc9h,3080.0,13.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
Anıl Piyancı,"İzmir, İzmir, Turkey",,solo,İzmir,2u4xMsh0M2B7R8Wb3pEWae,1121058.0,55.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Atilla Engin,"İzmir, İzmir, Turkey",,solo,İzmir,5BpzliPlI3czhmIfG7Nayd,163.0,0.0,anatolian rock,,jazz,
Ayhan Işık,"İzmir, Turkey",,solo,İzmir,5ML2XEYzJ9yG9u1rGOonCz,274.0,0.0,arabesk,arabesk,,
Aylin Vatankoş,"İzmir, İzmir, Turkey",,solo,İzmir,4UulxqKaCamJdkT48hlbWR,72.0,0.0,arabesk,,,
Barış Kömürcüoğlu,"İzmir, İzmir, Turkey",,solo,İzmir,4nZQVqSRm3ghE1mftoShRm,930.0,12.0,turkish pop,turkish pop,,deep turkish pop
Bedia Akartürk,"Ödemiş, Turkey",,solo,İzmir,0Z2DQDR2Yzsz1xDePTGox9,31589.0,30.0,"oyun havasi, arabesk","oyun havasi, arabesk",halk,"arabesk, turkish folk"
Belkıs Özener,"Izmir, Izmir, Turkey",,solo,İzmir,7CoG6UOKc4wh05CFW9zrgW,95587.0,38.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",,
Ben Fero,"Bonn, Nordrhein-Westfalen, Germany","İzmir, İzmir, Turkey",solo,İzmir,2kS0jWMkkFBL0mrl0VotD0,3004179.0,58.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Bengü,"İzmir, İzmir, Turkey",,solo,İzmir,6wxh9aTFgTS4OiyYlnQBq6,1807144.0,63.0,"turkish pop, arabesk, t-pop","turkish pop, t-pop, arabesk",,turkish pop
Bixi Blake,,"İzmir, İzmir, Turkey",solo,İzmir,2NPl6xmez0ma3ssIrMz1DM,54127.0,42.0,turkish hip hop,turkish hip hop,"trap, rap","turkish trap, turkish hip hop"
Burcu Güneş,"Izmir, Turkey",,solo,İzmir,7EJB9F3fv0x2ezht730D7F,602346.0,51.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish singer-songwriter"
Can Uzunallı,,"İzmir, İzmir, Turkey",solo,İzmir,2MpVq9vLGuVBtM1L65t9Gs,3368.0,13.0,anatolian rock,anatolian rock,metal,turkish metal
Cem Belevi,"İzmir, İzmir, Turkey",,solo,İzmir,5yhN4qXpv9cghmJglovvmg,518935.0,50.0,turkish pop,turkish pop,,turkish pop
DJ Sivo,"Berlin, Berlin, Germany","İzmir, İzmir, Turkey",solo,İzmir,6hBbagFZrwC44AclzbxWvU,9120.0,37.0,turkish hip hop,turkish hip hop,,turkish hip hop
Demet Akbağ,"İzmir, Turkey",,solo,İzmir,0odLXZPbOaNKgP3xjZEq2d,222.0,4.0,turkish pop,,,
Ebru Destan,"İzmir, İzmir, Turkey",,solo,İzmir,3SEtth9g62xd5dcfiNw2CB,6680.0,5.0,turkish pop,turkish pop,,deep turkish pop
Ebru Polat,"İzmir, İzmir, Turkey",,solo,İzmir,75qHhz1dcbPw1jNllzGsT9,172223.0,27.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",pop,"turkish pop, deep turkish pop"
Ege Çubukçu,"İzmir, İzmir, Turkey",,solo,İzmir,0XLP18nHemdh5CQhoM3RjZ,28938.0,30.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,turkish hip hop
Emrah Karakuyu,"Foça, İzmir, Turkey","İzmir, İzmir, Turkey",solo,İzmir,1Kb8Eb6SbHbzUYSqhhDtx5,39047.0,34.0,turkish hip hop,turkish hip hop,,turkish hip hop
Erman,,"İzmir, İzmir, Turkey",solo,İzmir,7vyErujpiHSInQ2rQnfKAj,636.0,34.0,turkish hip hop,german hip hop,,
Ferdi Özbeğen,"İzmir, İzmir, Turkey",,solo,İzmir,2bZXmEbQuj9XcGwgyIGuit,297835.0,59.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",pop,
Filiz Özten,"İzmir, İzmir, Turkey",,solo,İzmir,6El62p8po6ALDe4vnIHmYf,103.0,0.0,arabesk,arabesk,,
Grogi,"İzmir, İzmir, Turkey",,solo,İzmir,40PllTYqoDKRna2jm9Gf8D,126968.0,42.0,turkish hip hop,turkish hip hop,,turkish hip hop
Grup Laçin,"İzmir, İzmir, Turkey",,grup,İzmir,5Q2zAhj6gyALoangwGv0Ay,3896.0,28.0,"oyun havasi, turkish pop","oyun havasi, turkish pop",,
Grup Munzur,"İzmir, İzmir, Turkey",,grup,İzmir,7AiK7GBXYxTimmt545v3Zi,81246.0,42.0,arabesk,,,turkish folk
Gönül Yazar,"İzmir, İzmir, Turkey",,solo,İzmir,0W9Yg3XLyYxcesMVrAixZo,71284.0,31.0,"arabesk, turkish pop","arabesk, turkish pop",sanat müziği,
Gülistan Okan,"İzmir, Turkey",,solo,İzmir,4XRbn8X1gJCnDm4m8FTrK4,5854.0,3.0,turkish pop,turkish pop,,
Halit Bilgiç,"Beyrouth, Beyrouth, Lebanon","İzmir, İzmir, Turkey",solo,İzmir,4jIFETLK9IxxGeRErzDGDB,174106.0,46.0,arabesk,arabesk,,
Haluk Bilginer,"İzmir, İzmir, Turkey",,solo,İzmir,0RMzqCspHHpTrYRxdGWb2C,5138.0,26.0,"turkish pop, arabesk, karadeniz folk, anatolian rock","turkish pop, arabesk, karadeniz folk, anatolian rock",,
Hasan Mutlucan,"İzmir, İzmir, Turkey",,solo,İzmir,23APOVagRCKlVE9eGuRUpa,13037.0,38.0,anatolian rock,anatolian rock,halk,
Hüsnü Şenlendirici,"Bergama, Turkey",,solo,İzmir,3rb0KaOJL3sOZ2MChHR6xF,49700.0,34.0,"oyun havasi, arabesk","oyun havasi, arabesk",,turkish jazz
Jabbar,"İzmir, İzmir, Turkey",,solo,İzmir,7JrZbwBSIfKcc2gn1Xa4Bd,106700.0,53.0,turkish pop,turkish pop,,turkish pop
Kara Öfke,,"İzmir, İzmir, Turkey",solo,İzmir,11m6W3HHAfjqMHN0RzAZN5,275.0,0.0,turkish hip hop,,pop,
Kayahan,"İzmir, İzmir, Turkey",,solo,İzmir,71wTGSTWEPSLnfe7tA2wkX,398488.0,50.0,"turkish pop, arabesk","turkish pop, arabesk",pop,turkish pop
Kerim Çaplı,"Karşıyaka, İzmir, Turkey",,solo,İzmir,1zIgYvIn5KwEjXrEW9NGLA,9912.0,20.0,anatolian rock,anatolian rock,,turkish metal
Khontkar,"İzmir, İzmir, Turkey",,solo,İzmir,1iJrQKRh5aJnp6cG5lpITr,823584.0,54.0,turkish hip hop,turkish hip hop,"trap, rap","turkish trap, turkish hip hop"
Kodes,"İzmir, İzmir, Turkey",,solo,İzmir,2yRhS7HafDp8QUAjiIsofx,43785.0,30.0,turkish hip hop,french rap,,turkish hip hop
Kozmos,"İzmir, İzmir, Turkey",,solo,İzmir,0qERHMCWkMoZvWZMngc1A6,97811.0,48.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,turkish hip hop
Lil Zey,"İzmir, İzmir, Turkey",,solo,İzmir,7Gx2wDVHyW5HJh7dc2t5h7,447153.0,54.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Maria Rita Epik,"İzmir, İzmir, Turkey",,solo,İzmir,3GbTQRBuz0I4Lu6Sj9UJ0W,726.0,5.0,anatolian rock,anatolian rock,,
Meltem Cumbul,"İzmir, Turkey",,solo,İzmir,7ldUAuROHhBwzOi4bH5FeG,24.0,7.0,turkish pop,,,
Metin Arolat,"İzmir, İzmir, Turkey",,solo,İzmir,7B4VsBnWq4QxReJDQPH6DF,9742.0,30.0,turkish pop,turkish pop,,deep turkish pop
Metth,"İzmir, İzmir, Turkey",,solo,İzmir,6T5EThaaQrfKqzdQ4eRuHf,66720.0,40.0,turkish hip hop,"choral, traditional folk","latin, metal","turkish trap, turkish hip hop, turkish alt-pop"
Model,"İzmir, İzmir, Turkey",,grup,İzmir,23xJQJM7peht77DF6YNEoq,1792547.0,62.0,"turkish pop, anatolian rock",bedroom pop,dans,turkish rock
Monoman,,"İzmir, İzmir, Turkey",solo,İzmir,0DafCL9NYeAe1DYWMC24TB,6678.0,37.0,turkish hip hop,,,"turkish trap, turkish hip hop"
Murat Dalkılıç,"İzmir, İzmir, Turkey",,solo,İzmir,6dDaXbE1caD65TONToYXYx,1227016.0,62.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Murat Ses,"İzmir, İzmir, Turkey",,solo,İzmir,1Qsei1sK22tVlDpllscMdX,553.0,2.0,anatolian rock,anatolian rock,elektronik,
Nilgül,"İzmir, Turkey",,solo,İzmir,6n7G1HHHH30UEaHRMPftvp,11415.0,18.0,"arabesk, turkish pop","arabesk, turkish pop",tsm,deep turkish pop
Niran Ünsal,"İzmir, İzmir, Turkey",,solo,İzmir,1BvyGRrehtERIWjXKsgzWo,159703.0,44.0,"arabesk, turkish pop","arabesk, turkish pop",pop,"turkish pop, arabesk"
Norm Ender,"İzmir, İzmir, Turkey",,solo,İzmir,3S6gaE89XewFAvZqsMuJDJ,2114453.0,60.0,turkish hip hop,turkish hip hop,rap,
Orchi,,"İzmir, İzmir, Turkey",solo,İzmir,17adKXL6KxtaIcWY6UvEve,26137.0,49.0,turkish hip hop,"slowcore, dream pop, lo-fi indie",,
Petek Dinçöz,"İzmir, İzmir, Turkey",,solo,İzmir,3v23sHokmHxpTMLEzCWwYn,60206.0,25.0,turkish pop,turkish pop,,"turkish pop, deep turkish pop"
Pitch Black Process,"İzmir, İzmir, Turkey",,grup,İzmir,3L90fW1E5CXEebumAP3CvD,10127.0,24.0,anatolian rock,anatolian rock,,turkish metal
Pınar Aylin,"İzmir, Turkey",,solo,İzmir,6RslhcwDVfPh1UsqQwx0Dw,36508.0,28.0,turkish pop,turkish pop,pop,turkish pop
Recep Aktuğ,"İzmir, İzmir, Turkey",,solo,İzmir,7LibVhaV37szV1z4AnNNu9,2923.0,23.0,turkish pop,turkish pop,,
Sadık Karan,"İzmir, İzmir, Turkey",,solo,İzmir,3G2US1FjxCBhVXCrvCRKbs,3996.0,9.0,turkish pop,turkish pop,,deep turkish pop
Sedat Yüce,"İzmir, İzmir, Turkey",,solo,İzmir,2A8oQLWTlREl9YPdLuWAhS,84.0,0.0,turkish pop,turkish pop,,
Sevda Karaca,"Ödemiş, İzmir, Turkey",,solo,İzmir,5bbtx0FcqeM5epgAv8sRC4,9276.0,16.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
Tanju Okan,"İzmir, İzmir, Turkey",,solo,İzmir,4cuKvPTMHl5NwNjdukeWYb,121181.0,41.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",,"turkish rock, turkish jazz"
Tanyeli,"İzmir, İzmir, Turkey",,solo,İzmir,3yvf4dIBfY0GRSWfwBAyIm,105.0,2.0,turkish pop,,dans,
Taylan Kaya,"İzmir, İzmir, Turkey",,solo,İzmir,10icwsz4H9wgQsw0PLklWh,71071.0,41.0,"arabesk, turkish pop","arabesk, turkish pop",,
Turgut Berkes,"İzmir, İzmir, Turkey",,solo,İzmir,3cKkjlto15tC7CnmhA36y5,3179.0,13.0,anatolian rock,anatolian rock,rock,
Tüdanya,"Bergama, İzmir, Turkey",,solo,İzmir,6qs7wpBhVfTFqFgfuikOEj,78167.0,45.0,arabesk,arabesk,arabesk,arabesk
Yasak Helva,"İzmir, İzmir, Turkey",,grup,İzmir,5Ku0LlBlvSAliBxZvPUJWw,4714.0,13.0,anatolian rock,anatolian rock,,turkish jazz
Yaşar Güvenir,"İzmir, İzmir, Turkey",,solo,İzmir,2ATeZCBx5birAzuDYKrwal,10135.0,28.0,anatolian rock,anatolian rock,,
Yener Çevik,"İzmir, İzmir, Turkey",,solo,İzmir,5rBUMBV7L6zPsEKnlgiOm9,1306536.0,57.0,"turkish hip hop, arabesk","turkish hip hop, arabesk",rap,"turkish trap, turkish hip hop"
Young Bego,"Kırklareli, Kırklareli, Turkey","İzmir, İzmir, Turkey",solo,İzmir,643VmvA9t1Td4REc5YWkW4,7118.0,28.0,turkish hip hop,turkish hip hop,,turkish trap
Zifir,"İzmir, İzmir, Turkey",,grup,İzmir,08JvamZAicFXNIH7JDnJmH,1378.0,7.0,turkish hip hop,turkish hip hop,"halk, metal",turkish metal
Çağan Irmak,"İzmir, Turkey",,solo,İzmir,7jsiPKtWQ7HL2cZUhFSkm2,1235.0,11.0,turkish pop,turkish pop,,
Ümit Sayın,"İzmir, Turkey",,solo,İzmir,04EJLUSUcz99lY4Vy0DYLM,126746.0,45.0,turkish pop,turkish pop,,turkish pop
Azer Bülbül,"Arpaçay, Kars, Turkey",,solo,Kars,2E7qpjo4NUBhV8tEUdPVkJ,1458611.0,61.0,"arabesk, turkish hip hop, oyun havasi","arabesk, turkish hip hop, oyun havasi","halk, fantezi, arabesk",arabesk
Murat Çobanoğlu,"Arpaçay, Kars, Turkey",,solo,Kars,1wtwpu7FFYwZbwd3EXmUpg,6704.0,23.0,"arabesk, karadeniz folk","arabesk, karadeniz folk","halk, rap",
Selçuk Tekay,"Kağızman, Kars, Turkey",,solo,Kars,66cf7AzIJGkEeno6iMN50f,104.0,0.0,arabesk,arabesk,sanat müziği,
Tuğba Ekinci,"Kars, Kars, Turkey",,solo,Kars,1ikwdzJjCjQk79RQlvkTt1,45880.0,28.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",pop,"turkish pop, deep turkish pop"
Beybonlar,"Kastamonu, Kastamonu, Turkey",,grup,Kastamonu,3ysRAIs6cyX6kZnFg4Dy63,351.0,0.0,anatolian rock,anatolian rock,rock,
Ali Rıza Binboğa,"Kayseri, Turkey",,solo,Kayseri,2VV25NcbXKeRs86Yc6VV5X,1303.0,15.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",pop,
Atilla Engin,"Kayseri, Kayseri, Turkey",,solo,Kayseri,5BpzliPlI3czhmIfG7Nayd,163.0,0.0,anatolian rock,,jazz,
Diaz Dizzy,,"Kayseri, Kayseri, Turkey",solo,Kayseri,4lV5nhWNniQx5hzZDpSg6W,17462.0,23.0,turkish hip hop,turkish hip hop,"caz, klasik",turkish hip hop
Dilber Ay,"Kayseri, Kayseri, Turkey",,solo,Kayseri,622nbL5e4PEwWgd9S3x2gA,143.0,0.0,arabesk,"arabesk, oyun havasi","halk, arabesk",
Melek Mosso,"Kayseri, Kayseri, Turkey",,solo,Kayseri,5IAxUWLiTMsvc1oWPrczNj,1624363.0,56.0,"arabesk, turkish pop, turkish hip hop","arabesk, turkish pop, turkish hip hop",,"turkish pop, turkish rock, turkish alt-pop"
Candan Erçetin,"Kırklareli, Kırklareli, Turkey",,solo,Kırklareli,51YBtWvwOP37hIGmnxf4yC,1330225.0,53.0,"turkish pop, oyun havasi, arabesk","turkish pop, oyun havasi, arabesk",,turkish pop
Işıl Yücesoy,"Kırklareli, Kırklareli, Turkey",,solo,Kırklareli,6fSz8ISAHjj8eD6mKVAl4G,15753.0,21.0,turkish pop,turkish pop,,
Muharrem Ertaş,"Yağmurlubüyükoba, Kırşehir, Turkey",,solo,Kırşehir,3o5s5dBNRSwEhSWW2GI6n6,26900.0,20.0,"arabesk, traditional music, oyun havasi","arabesk, traditional music, oyun havasi",,turkish folk
Neşet Ertaş,"Kırşehir, Kırşehir, Turkey",,solo,Kırşehir,1afML5pJuVr3ye8TGyYcV2,3266525.0,53.0,"arabesk, oyun havasi, karadeniz folk, anatolian rock","arabesk, oyun havasi, karadeniz folk, anatolian rock",halk,turkish folk
Çekiç Ali,"Kaman, Kırşehir, Turkey",,solo,Kırşehir,6D2UnpGDi9Vbeh9c2LZBoq,12091.0,28.0,"arabesk, oyun havasi","arabesk, oyun havasi",halk,
BLOK3,"Kocaeli, Kocaeli, Turkey",,solo,Kocaeli,1GMwSpFzrLd12jUX15bHB6,6572128.0,76.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,
Elif Buse Doğan,"Kocaeli, Kocaeli, Turkey",,solo,Kocaeli,56hgP8k96P8s7hQyMvXCHS,90365.0,47.0,"karadeniz folk, arabesk, turkish pop, oyun havasi","karadeniz folk, arabesk, turkish pop, oyun havasi",,turkish pop
Hariçten Gazelciler,"İzmit, Kocaeli, Turkey",,grup,Kocaeli,2piV0LhvMlRHmqNxUC0kS3,4944.0,13.0,anatolian rock,anatolian rock,,
Ogün Sanlısoy,"Gölcük, Kocaeli, Turkey",,solo,Kocaeli,6pLClLDuEeB6KdfvPblHSq,315691.0,45.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish rock, turkish metal"
Ragıp Savaş,"İzmit, Turkey",,solo,Kocaeli,5uuqZTwfUoSwJk22z4XhGV,215.0,30.0,"turkish pop, arabesk, karadeniz folk","turkish pop, arabesk, karadeniz folk",,
Salim Dündar,"Gölcük, Kocaeli, Turkey",,solo,Kocaeli,4rdzq7ZSBhV3ohvGC64FFZ,10450.0,22.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",,
Sibel Alaş,"İzmit, Kocaeli, Turkey",,solo,Kocaeli,3vwijSZN14SWUqFxg74aYU,73912.0,36.0,turkish pop,turkish pop,,"turkish pop, turkish singer-songwriter"
Çamur,"İzmit, Kocaeli, Turkey",,grup,Kocaeli,0sL0YqsgNfkyjcyzDmU0P8,19925.0,28.0,anatolian rock,bossa nova,,turkish rock
Aleyna Tilki,"Konya, Konya, Turkey",,solo,Konya,4ckLjJztj53Ifid7WHweBn,1227400.0,61.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Bossy,"Konya, Konya, Turkey",,solo,Konya,6zgklcaF5juoL4nx54Ohan,23989.0,31.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Eypio,"Konya, Konya, Turkey",,solo,Konya,6h5P3J0j1x2lhiDk9w4deZ,1581830.0,63.0,"turkish hip hop, turkish pop, arabesk","turkish hip hop, turkish pop, arabesk",rap,"turkish pop, turkish hip hop"
Mustafa Yıldızdoğan,"Konya, Konya, Turkey",,solo,Konya,5d6QcBFI1IDPsWH2MuTk0T,202900.0,46.0,"arabesk, oyun havasi","arabesk, oyun havasi",halk,"arabesk, turkish folk"
Seçil Heper,"Konya, Turkey",,solo,Konya,5jh68RRnSQ7ADZlZV8x8pg,11188.0,25.0,arabesk,arabesk,,
Vedat Sakman,"Konya, Konya, Turkey",,solo,Konya,6dyj8hW2rSZ30SHlj2KHrT,38814.0,25.0,turkish pop,,,turkish jazz
Zülfü Livaneli,"Ilgın, Konya, Turkey",,solo,Konya,3ZV2kReDeCXgw0RJaPV5wX,555549.0,45.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",,"turkish rock, turkish folk"
Ayla Dikmen,"Kütahya, Turkey",,solo,Kütahya,74VZuXJwRTaBExjMhYBYi4,206239.0,51.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",pop,
Ahmet Kaya,"Malatya, Malatya, Turkey",,solo,Malatya,1Y2FwScblyMxpLTrNdfwyU,7597217.0,68.0,"arabesk, anatolian rock","arabesk, anatolian rock",,
Ercan Turgut,"Malatya, Malatya, Turkey",,solo,Malatya,1NKhpzwXHKB9DUOQB3pbps,8134.0,18.0,"arabesk, anatolian rock","arabesk, anatolian rock",,
Muharrem Temiz,"Arguvan, Malatya, Turkey",,solo,Malatya,4a6cyIkxFsKephNfHu1UzV,32386.0,31.0,arabesk,arabesk,folk,turkish folk
Yasemin Yalçın,"Malatya, Turkey",,solo,Malatya,6Nqzl5bly7iNNd4zRjxeo9,480.0,5.0,"arabesk, oyun havasi, turkish pop","arabesk, oyun havasi, turkish pop",,
Yüksel Özkasap,"Malatya, Turkey",,solo,Malatya,3rCWRbWQOseQVNzO7WLUES,11455.0,19.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",pop,
Mehmet Erdem,"Manisa, Manisa, Turkey",,solo,Manisa,0ylYRIvKTpv9uvTfKbYjM0,666688.0,44.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish rock"
Özel Türkbaş,"Manisa, Manisa, Turkey",,solo,Manisa,6I7JvahdUrY26IlaZiwQJA,246.0,0.0,anatolian rock,anatolian rock,,
Aşık Mahzuni Şerif,"Berçenek, Kahramanmaraş, Turkey",,solo,Kahramanmaraş,4kNfut5xtwFz4AraRDFarT,96567.0,43.0,"arabesk, karadeniz folk, oyun havasi, anatolian rock","arabesk, karadeniz folk, oyun havasi, anatolian rock",halk,turkish folk
Dilber Ay,"Pazarcık, Kahramanmaraş, Turkey",,solo,Kahramanmaraş,622nbL5e4PEwWgd9S3x2gA,143.0,0.0,arabesk,"arabesk, oyun havasi","halk, arabesk",
Kıraç,"Göksun, Kahramanmaraş, Turkey",,solo,Kahramanmaraş,4XYD8wP6f1sfLtWfrY1luF,687974.0,55.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",,
Ozan Ata Canani,"Kahramanmaraş, Kahramanmaraş, Turkey",,solo,Kahramanmaraş,7wClclstu9zokPLIXl8woe,2066.0,7.0,anatolian rock,anatolian rock,,
Velet,"Kahramanmaraş, Elbistan, Turkey",,solo,Kahramanmaraş,7bchfd9ZihGesFniE7tM71,1419093.0,57.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,
Attila Atasoy,"Milas, Muğla, Turkey",,solo,Muğla,4QmOuXOA58tfYJPqR34Is4,10123.0,20.0,"turkish pop, anatolian rock, arabesk, tango","turkish pop, anatolian rock, arabesk, tango",pop,
Bülent Ortaçgil,"Ankara, Ankara, Turkey","Bozburun, Muğla, Turkey",solo,Muğla,1eY7YyYjc9jGnsHdJka906,245084.0,40.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish rock, turkish jazz, turkish singer-songwriter"
Deeperise,"Muğla, Muğla, Turkey",,solo,Muğla,0ZRQKFaYGEtbLc8NbyICoe,334875.0,53.0,turkish pop,turkish pop,,turkish pop
Era7capone,,"Muğla, Muğla, Turkey",solo,Muğla,4UW9Hdsrx9kX2HdJ90jRKM,1444997.0,71.0,turkish hip hop,turkish hip hop,rap,
Keremcem,"Muğla, Muğla, Turkey",,solo,Muğla,3GfMoNg8qvtTuarY4ILTzm,70589.0,34.0,turkish pop,turkish pop,,turkish pop
Tolga Çandar,"Milas, Muğla, Turkey",,solo,Muğla,4QWqsVm7Fshfrrls28mcvn,103974.0,38.0,"oyun havasi, arabesk, anatolian rock, karadeniz folk","oyun havasi, arabesk, anatolian rock, karadeniz folk",halk,turkish folk
Özlem Tekin,,"Bodrum, Muğla, Turkey",solo,Muğla,1Xwze1G0zfRnxqBDfmWVVf,341045.0,49.0,"anatolian rock, turkish pop, karadeniz folk","turkish pop, anatolian rock, karadeniz folk",rock,"turkish pop, turkish rock"
Radansa,"Ordu, Ordu, Turkey",,solo,Ordu,7m2QViLZEfJ01iO9GWQJLH,32032.0,34.0,turkish hip hop,turkish hip hop,,turkish hip hop
Semicenk,"Ordu, Ordu, Turkey",,solo,Ordu,1CcZoULzFHa8Uhwo6OlQcp,6287249.0,71.0,"turkish pop, arabesk, turkish hip hop","turkish pop, arabesk, turkish hip hop",,turkish pop
Soner Arıca,"Fatsa, Ordu, Turkey",,solo,Ordu,7no13XBf3yT7hwMpFL0lb2,147166.0,39.0,turkish pop,turkish pop,pop,turkish pop
