isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Sagopa Kajmer,"Samsun, Samsun, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1KXTegXtnCPKXjRaX1llcD,5450617.0,66.0,"turkish hip hop, rap","turkish hip hop, rap",rap,"turkish trap, turkish hip hop"
Sahtekar,"İstanbul, İstanbul, Turkey",,grup,İstanbul,5KJrOmEntORcEBdzWlNbQi,12862.0,8.0,turkish hip hop,turkish hip hop,,
Sahtiyan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,43PNN2cWdYyZi5cZdEf4hy,24928.0,22.0,turkish hip hop,turkish hip hop,,turkish hip hop
Sakareller,"İstanbul, İstanbul, Turkey",,grup,İstanbul,2yZYfhZQw5pa5KRDAcRWjN,184.0,0.0,anatolian rock,anatolian rock,,
Sancak,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3IiSjfHNSsynS08uC6w9u3,1038732.0,58.0,"turkish pop, turkish hip hop, arabesk","turkish pop, turkish hip hop, arabesk",,"turkish pop, turkish hip hop"
Sansar Salvo,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6hxb4rGrYXtrAZbUK7uzt9,569517.0,58.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Santi aka Universe,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0MhdeWkIfF9vxxRrefOt8V,8390.0,26.0,turkish hip hop,turkish hip hop,,turkish hip hop
Savai,,"İstanbul, İstanbul, Turkey",solo,İstanbul,3eIe9FXajf0llzCKuC4mOq,8705.0,34.0,turkish hip hop,turkish hip hop,,turkish hip hop
Sayedar,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2W6fPatMdweub1APjva5KD,41941.0,36.0,turkish hip hop,turkish hip hop,,turkish hip hop
Se7en of 34,,"İstanbul, İstanbul, Turkey",solo,İstanbul,4VWtUQLESlV8ViRhKF3IwZ,12489.0,44.0,turkish hip hop,turkish hip hop,,
Seda Sayan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5hKNaXEXIxQ3dmZR7FoRr8,165540.0,51.0,"arabesk, turkish pop, oyun havasi","arabesk, turkish pop, oyun havasi",,"turkish pop, arabesk, deep turkish pop"
Seda Tripkolic,"Pendik, İstanbul, Turkey",,solo,İstanbul,2aNkBNOpoEwJlRpDLzJ6hZ,233077.0,55.0,"turkish pop, arabesk, turkish hip hop","turkish pop, arabesk, turkish hip hop",,turkish pop
Seha Okuş,"Şişli, İstanbul, Turkey",,solo,İstanbul,4kMBZ6gABaVm2tILvZItv8,7716.0,31.0,"arabesk, anatolian rock","arabesk, anatolian rock",halk,
Selda Bağcan,"Muğla, Muğla, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,2NGRETzxjeN4b9o3OGY6Yn,1554817.0,55.0,"anatolian rock, arabesk","anatolian rock, arabesk","halk, rock","turkish folk, turkish psych"
Selim Çaldıran,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0YkzaJwh88jmXtQu1V5VfV,64.0,3.0,turkish pop,turkish pop,,
Selin,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5xkqotsRPu6KQ4PiWjSGQf,153758.0,53.0,turkish pop,turkish pop,,
Selçuk Alagöz,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3JfDOKDXkrtMc2S4mX1KJC,12295.0,40.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","pop, rock",turkish psych
Semiha Yankı,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3mPO8DNAJDCf6YmuRMcAgz,11781.0,27.0,"turkish pop, anatolian rock, arabesk","turkish pop, anatolian rock, arabesk",,
Semiramis Pekkan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5vuQpKX1QG7WlQ40C27HfD,163459.0,52.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",,
Seray Sever,"İstanbul, Turkey",,solo,İstanbul,2vqKNafIeVl4nEtMkRR9OY,597.0,2.0,turkish pop,turkish pop,,deep turkish pop
Serdar Ortaç,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7BJjzi0JHyDHAsmVe21dGa,2446891.0,66.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
Seren Serengil,"İstanbul, Turkey",,solo,İstanbul,4T37DZvjnua4mdN5O0c2BZ,6145.0,14.0,"turkish pop, arabesk","turkish pop, arabesk",,deep turkish pop
Serhat,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2Qpgh2xmjneIAyBWCKLVdJ,382.0,26.0,turkish hip hop,,,
