isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Özay Gönlüm,"Tercan, Erzincan, Turkey",,solo,Ankara
Yüksel Didikoğlu,,"Ankara, Ankara, Turkey",solo,Ankara
Acrosome,,"Ankara, Ankara, Turkey",solo,Ankara
Ankaralı Namık,"Kurşunlu, Çankırı, Turkey",,solo,Ankara
Mert Duran,,"Ankara, Ankara, Turkey",solo,Ankara
Bugy,,"Ankara, Ankara, Turkey",solo,Ankara
ESKRY,,"Ankara, Ankara, Turkey",solo,Ankara
Kerim Erduran,,"Ankara, Ankara, Turkey",solo,Ankara
Thy Pallor,,"Ankara, Ankara, Turkey",solo,Ankara
Recep Bilginer,"Adana, Adana, Turkey",,solo,Ankara
Janusz Szprot,"Warszawa, mazowieckie, Poland",,solo,Ankara
Amalgamat,,,solo,Ankara
Blues Duo Sz-Sz,,,solo,Ankara
Gold Washboard,,,solo,Ankara
Winterberg,,"Ankara, Ankara, Turkey",solo,Ankara
Hidra,"Durham, Durham, United Kingdom","Ankara, Ankara, Turkey",solo,Ankara
Ferit Tüzün,"İstanbul, İstanbul, Turkey",,solo,Ankara
Jale Aylanç,"İstanbul, İstanbul, Turkey",,solo,Ankara
Gün Yüksel,"İstanbul, İstanbul, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Ergin Orbey,"İstanbul, İstanbul, Turkey",,solo,Ankara
Kerim Afşar,"İstanbul, İstanbul, Turkey",,solo,Ankara
Ondolindë,,"Ankara, Turkey",grup,Ankara
Atilla Yelken,"İstanbul, İstanbul, Turkey","Ankara, Turkey",solo,Ankara
Tünböri,,"Ankara, Ankara, Turkey",solo,Ankara
Palate,,"Ankara, Ankara, Turkey",solo,Ankara
Cloe Elmo,"Lecce, Puglia, Italy",,solo,Ankara
Cloe Elmo,"Lecce, Puglia, Italy",,solo,Ankara
Seyfettin Sığmaz,"Erzurum, Erzurum, Turkey",,solo,Ankara
Intolerance,,"Ankara, Ankara, Turkey",solo,Ankara
Cüneyt Gökçer,"Malatya, Malatya, Turkey",,solo,Ankara
Muhsin Kurbani,,"Ankara, Ankara, Turkey",solo,Ankara
Sərvər Qəniyev,"Baku, Baku, Azerbaijan",,solo,Ankara
Saraph,,"Ankara, Ankara, Turkey",solo,Ankara
Uğur İnan,"Elazığ, Elazığ, Turkey",,solo,Ankara
Ahmed Arif,"Diyarbakır, Diyarbakır, Turkey",,solo,Ankara
DJ Suppa,"Diyarbakır, Diyarbakır, Turkey","Ankara, Ankara, Turkey",solo,Ankara
p0g0,,"Ankara, Ankara, Turkey",solo,Ankara
Warkazfer,,"Ankara, Ankara, Turkey",solo,Ankara
Mermer,,"Ankara, Ankara, Turkey",solo,Ankara
Saint Bazarov,,"Ankara, Ankara, Turkey",solo,Ankara
Төлөмүш Океев[Tolomush Okeyev],"Bokonbayevo, Ysyk-Köl, Kyrgyzstan",,solo,Ankara
Dilber Ay,"Pazarcık, Kahramanmaraş, Turkey",,solo,Ankara
Strung,,"Ankara, Ankara, Turkey",solo,Ankara
plein de vie.,,"Ankara, Ankara, Turkey",grup,Ankara
Arcey,"Samsun, Samsun, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Heredot Beatz,,"Ankara, Ankara, Turkey",solo,Ankara
A Ghost in Seoul,,"Ankara, Ankara, Turkey",solo,Ankara
Lavinia,,"Ankara, Ankara, Turkey",solo,Ankara
Emin Yağcı,"Çayeli, Rize, Turkey",,solo,Ankara
Sajadapunk,,"Ankara, Ankara, Turkey",solo,Ankara
Selahattin Altınbaş,"Bandırma, Balıkesir, Turkey",,solo,Ankara
Ankaralı Turgut,"Ankara, Ankara, Turkey",,solo,Ankara
N401M,,"Ankara, Ankara, Turkey",solo,Ankara
Desecrated Ubiquity,,"Ankara, Ankara, Turkey",grup,Ankara
Mesein,,"Ankara, Ankara, Turkey",solo,Ankara
Rekkostal,,"Ankara, Ankara, Turkey",solo,Ankara
Bülent Ecevit,"İstanbul, İstanbul, Turkey",,solo,Ankara
RMDN,,"Ankara, Ankara, Turkey",solo,Ankara
tunedbugra,,"Ankara, Ankara, Turkey",solo,Ankara
Ahmet Muhip Dıranas,,,solo,Ankara
Cahit Külebi,"Zile, Tokat, Turkey",,solo,Ankara
Akin Sevgör,,"Ankara, Ankara, Turkey",solo,Ankara
Işın Metin,,"Ankara, Ankara, Turkey",solo,Ankara
Adnan Pekak,"İstanbul, İstanbul, Turkey",,solo,Ankara
Tahir Uçar,,"Ankara, Ankara, Turkey",solo,Ankara
