isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Sıla Çetindağ,"İzmir, İzmir, Turkey",,solo,Aydin
Şükran Ovalı,"İzmir, İzmir, Turkey",,solo,Aydin
Tibet,"İzmir, İzmir, Turkey",,solo,Aydin
Dawnfall,"İzmir, İzmir, Turkey",,grup,Aydin
Deniz Kurtel,"İzmir, İzmir, Turkey","Berlin, Berlin, Germany",solo,Aydin
First Nation,"İzmir, İzmir, Turkey",,grup,Aydin
SipHoo,"İzmir, İzmir, Turkey",,solo,Aydin
Hiraeth,"İzmir, İzmir, Turkey",,grup,Aydin
Sterile Noiz Klan,"İzmir, İzmir, Turkey",,grup,Aydin
Seda Güngör,"İzmir, İzmir, Turkey","Berlin, Berlin, Germany",solo,Aydin
İlkin Beste Çırak,"İzmir, İzmir, Turkey","Wien, Wien, Austria",solo,Aydin
Nilipek.,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Ahmed Adnan Saygun,"İzmir, İzmir, Turkey",,solo,Aydin
Ali Yilmaz,"Izmir, Izmir, Turkey","Istanbul, Istanbul, Turkey",solo,Aydin
Deniz Tekin,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Sabi Saltiel,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Zeki Güner,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Arteca,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Turgut Berkes,"İzmir, İzmir, Turkey",,solo,Aydin
SIFIR,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Cosmosonic,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Nuran Oktar,"İzmir, İzmir, Turkey",,solo,Aydin
Yıldız Tilbe,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Tarık Ünlüoğlu,"İzmir, İzmir, Turkey",,solo,Aydin
Haktan,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Haktan,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Çağrı Sinci,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Yasemin Esmergül,"İzmir, İzmir, Turkey",,solo,Aydin
Nez,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Onur Özsu,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Atilla Ergün,"İzmir, İzmir, Turkey",,solo,Aydin
Ferdi Özbeğen,"İzmir, İzmir, Turkey",,solo,Aydin
Efgan Efekan,"İzmir, İzmir, Turkey",,solo,Aydin
Act,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",grup,Aydin
Lale Oraloğlu,"İzmir, İzmir, Turkey",,solo,Aydin
Serhan Yastıman,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Can Bonomo,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Murat İlkan,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Pentagram,,,solo,Aydin
Kayahan,"İzmir, İzmir, Turkey",,solo,Aydin
Nevzat Pesen,"İzmir, İzmir, Turkey",,solo,Aydin
Yaşar Güvenir,"İzmir, İzmir, Turkey",,solo,Aydin
Σπύρος Περιστέρης[Spyros Peristeris],"İzmir, İzmir, Turkey",,solo,Aydin
Ebru Destan,"İzmir, İzmir, Turkey",,solo,Aydin
Nazan Çalın,"İzmir, İzmir, Turkey",,solo,Aydin
Merhum,"İzmir, İzmir, Turkey",,solo,Aydin
Tagraht,"İzmir, İzmir, Turkey",,grup,Aydin
Cato,"İzmir, İzmir, Turkey",,solo,Aydin
Sadık Karan,"İzmir, İzmir, Turkey",,solo,Aydin
Salomon Algazi,"İzmir, İzmir, Turkey",,solo,Aydin
Sanr,"İzmir, İzmir, Turkey",,grup,Aydin
Ζαχαρίας Κασιμάτης[Zaharias Kasimatis],"İzmir, İzmir, Turkey",,solo,Aydin
Kum,"İzmir, İzmir, Turkey",,solo,Aydin
Taylan Kaya,"İzmir, İzmir, Turkey",,solo,Aydin
Evrim Demirel,"İzmir, İzmir, Turkey",,solo,Aydin
Boykot,"İzmir, İzmir, Turkey",,grup,Aydin
Deniz Işın,"İzmir, İzmir, Turkey",,solo,Aydin
Nufftalk,"İzmir, İzmir, Turkey",,solo,Aydin
İkiye On Kala,"İzmir, İzmir, Turkey",,solo,Aydin
Derya Uluğ,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Hande Ünsal,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Erkan Nurhan,"İzmir, İzmir, Turkey",,solo,Aydin
Murat Dalkılıç,"İzmir, İzmir, Turkey",,solo,Aydin
Güven Adıgüzel,"İzmir, İzmir, Turkey",,solo,Aydin
Ayberk Sürmel,"İzmir, İzmir, Turkey","Antalya, Antalya, Turkey",solo,Aydin
Sermon,"İzmir, İzmir, Turkey",,grup,Aydin
Şahap Sayılgan,"İzmir, İzmir, Turkey",,solo,Aydin
Günola,"İzmir, İzmir, Turkey",,grup,Aydin
Taci Uslu,"İzmir, İzmir, Turkey",,solo,Aydin
Grup Yorum,,,solo,Aydin
Mustafa Kırantepe,"İzmir, İzmir, Turkey",,solo,Aydin
Şevket Akıncı,"İzmir, İzmir, Turkey",,solo,Aydin
Şehrîban,"İzmir, İzmir, Turkey",,solo,Aydin
Burcu Karakaya,"İzmir, İzmir, Turkey",,solo,Aydin
Toprak Can Adıgüzel,"İzmir, İzmir, Turkey",,solo,Aydin
Büşra Bülbül,"İzmir, İzmir, Turkey",,solo,Aydin
Ferhat Arıcan,"İzmir, İzmir, Turkey",,solo,Aydin
Γιάννης Κοντούλης[Yannis Kontoulis],"İzmir, İzmir, Turkey",,solo,Aydin
Γιάννης Κοντούλης[Yannis Kontoulis],"İzmir, İzmir, Turkey",,solo,Aydin
Oculos,"İzmir, İzmir, Turkey",,grup,Aydin
Merve Dizdar,"İzmir, İzmir, Turkey",,solo,Aydin
Jandae Percem,"İzmir, İzmir, Turkey",,solo,Aydin
Cemre Baysel,"İzmir, İzmir, Turkey",,solo,Aydin
Şerif Erol,"İzmir, İzmir, Turkey",,solo,Aydin
Ali Kemal Güven,"İzmir, İzmir, Turkey",,solo,Aydin
VAGON,"İzmir, İzmir, Turkey",,grup,Aydin
Raffaele Minella,"İzmir, İzmir, Turkey","Bari, Puglia, Italy",solo,Aydin
Kenan Kurt,"İzmir, İzmir, Turkey",,solo,Aydin
Beren Gençalp,"İzmir, İzmir, Turkey",,solo,Aydin
Ketum,"Izmir, İzmir, Turkey",,grup,Aydin
Sabun,"İzmir, İzmir, Turkey",,solo,Aydin
Uğur Biçer,"İzmir, İzmir, Turkey",,solo,Aydin
Δημήτριος Καπετανάκης[Demetrios Capetanakis],"İzmir, İzmir, Turkey",,solo,Aydin
Pi,"İzmir, İzmir, Turkey",,solo,Aydin
ERU,"İzmir, İzmir, Turkey",,solo,Aydin
Batuhan Sert,"İzmir, İzmir, Turkey",,solo,Aydin
İbrahim Çolak,"İzmir, İzmir, Turkey",,solo,Aydin
Müzmin,"İzmir, İzmir, Turkey","Oakland, CA, United States",solo,Aydin
Yıldıran Güz,"İzmir, İzmir, Turkey",,solo,Aydin
Sema Çeyrekbaşı,"İzmir, İzmir, Turkey",,solo,Aydin
Fatma Belgen,"İzmir, İzmir, Turkey",,solo,Aydin
Batuhan Polat,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Nurhat Şensesli,"İzmir, İzmir, Turkey",,solo,Aydin
Metin Arolat,"İzmir, İzmir, Turkey",,solo,Aydin
Rağmen,"İzmir, İzmir, Turkey",,grup,Aydin
Engin Erden,"İzmir, İzmir, Turkey",,solo,Aydin
Mehmet Eroğlu,"İzmir, İzmir, Turkey",,solo,Aydin
Remains,"İzmir, İzmir, Turkey",,grup,Aydin
Güner Künier,"İzmir, İzmir, Turkey","Berlin, Berlin, Germany",solo,Aydin
Soner Sert,"İzmir, İzmir, Turkey",,solo,Aydin
Can Kızıltuğ,"İzmir, İzmir, Turkey",,solo,Aydin
LeatherFrank,"İzmir, İzmir, Turkey",,grup,Aydin
Ayberk Olgay,"İzmir, İzmir, Turkey",,solo,Aydin
BAO,"İzmir, İzmir, Turkey",,solo,Aydin
Oz Romita,"İzmir, İzmir, Turkey",,solo,Aydin
Tanyeli,"İzmir, İzmir, Turkey",,solo,Aydin
Necroscentia,"İzmir, İzmir, Turkey",,grup,Aydin
Çağdaş Tekin,"İzmir, İzmir, Turkey",,solo,Aydin
Emre Yavuz,"İzmir, İzmir, Turkey","Vienna, Vienna, Austria",solo,Aydin
AYDEED,"Izmir, Izmir, Turkey",,solo,Aydin
The Nova,"İzmir, İzmir, Turkey",,solo,Aydin
Tin Pan,"İzmir, İzmir, Turkey","Sunnyside, NY, United States",grup,Aydin
Gamze Özer,"İzmir, İzmir, Turkey",,solo,Aydin
Selen Örcan,"İzmir, İzmir, Turkey",,solo,Aydin
Oğulcan Atayol,"Izmir, Izmir, Turkey",,solo,Aydin
Mertcan Mertbilek,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
The Kilink,,,solo,Aydin
Palmiyeler,,,solo,Aydin
Olgun Özdemir,"İzmir, İzmir, Turkey",,solo,Aydin
Experge,"Izmir, Izmir, Turkey",,solo,Aydin
Metth,"İzmir, İzmir, Turkey",,solo,Aydin
Metth,"İzmir, İzmir, Turkey",,solo,Aydin
Aristotle Onassis,"İzmir, İzmir, Turkey",,solo,Aydin
Burçin Büke,"İzmir, İzmir, Turkey",,solo,Aydin
Tanini Trio,,,solo,Aydin
Serkan Ölçer,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Ege Çubukçu,"İzmir, İzmir, Turkey",,solo,Aydin
Çağdaş,"İzmir, İzmir, Turkey",,solo,Aydin
Yıldız Çağrı Atiksoy,"İzmir, İzmir, Turkey",,solo,Aydin
Gülfem Eğilmez,"İzmir, İzmir, Turkey",,solo,Aydin
Krizz,"İzmir, İzmir, Turkey",,grup,Aydin
Νίκος Σταυρίδης[Nikos Stavridis],"Vathy, North Aegean, Greece",,solo,Aydin
Γιάννης Τζιώτης[Giannis Tziotis],"Samos, Aegean Islands, Greece",,solo,Aydin
Μανώλης Καραπιπέρης[Manolis Karapiperis],"Samos, North Aegean, Greece",,solo,Aydin
Καίτη Γκρέυ[Kaiti Grey],"Mitilinii, North Aegean, Greece",,solo,Aydin
Κώστας Ρούκουνας[Kostas Roukounas],"Karlovasi Samou, Eagean Islands, Greece",,solo,Aydin
Koma Dilan,,"Manisa, Manisa, Turkey",solo,Aydin
Aytunç Nevzat Matracı,,,solo,Aydin
Alpgiray M. Uğurlu,"Manisa, Manisa, Turkey",,solo,Aydin
Özer Şenay,"Manisa, Manisa, Turkey",,solo,Aydin
Ensemble Oriental,,,solo,Aydin
Mehmet Erdem,"Manisa, Manisa, Turkey",,solo,Aydin
İlhan Şeşen,"Manisa, Manisa, Turkey",,solo,Aydin
Gündoğarken,,,solo,Aydin
Ayhan Özen,"Manisa, Manisa, Turkey",,solo,Aydin
Seçil Çömlekçi,"Manisa, Manisa, Turkey",,solo,Aydin
Özel Türkbaş,"Manisa, Manisa, Turkey",,solo,Aydin
Yusuf Atılgan,"Manisa, Manisa, Turkey",,solo,Aydin
Umut Öğmen,"Manisa, Manisa, Turkey",,solo,Aydin
Aytaç Şaşmaz,"Manisa, Manisa, Turkey",,solo,Aydin
Pelin Orhuner,"Manisa, Manisa, Turkey",,solo,Aydin
İsmail Ege Şaşmaz,"Manisa, Manisa, Turkey",,solo,Aydin
Funda,"Manisa, Manisa, Turkey",,solo,Aydin
Gürsel Ateş,"Manisa, Manisa, Turkey",,solo,Aydin
Tomb,"Manisa, Manisa, Turkey",,grup,Aydin
Affliction,"Karsiyaka, Izmir, Turkey",,grup,Aydin
Nihat Yiğit,"Manisa, Turkey",,solo,Aydin
Demet Evgar,"Manisa, Turkey","İstanbul, Turkey",solo,Aydin
Nazan Kırılmış,"Manisa, Turkey",,solo,Aydin
İskender Doğan,"Manisa, Turkey",,solo,Aydin
Natuk Baytan,"Manisa, Turkey",,solo,Aydin
Asuman Dabak,"Manisa, Turkey",,solo,Aydin
Ayfer Dönmez,"Manisa, Turkey",,solo,Aydin
Kaya Gürel,"Manisa, Turkey",,solo,Aydin
Nesli Çölgeçen,"Manisa, Turkey",,solo,Aydin
Tekin Akmansoy,"Sarayköy, Denizli, Turkey",,solo,Aydin
Sezen Aksu,"Sarayköy, Denizli, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Nevzat Atlığ,"Sarayköy, Denizli, Turkey",,solo,Aydin
İstanbul Devlet Klasik Türk Müziği Korosu,,,solo,Aydin
Aysel Gürel,"Sarayköy, Denizli, Turkey",,solo,Aydin
Nurhan Damcıoğlu,"Karaisalı, Adana, Turkey",,solo,Aydin
Kerim Çaplı,"Karşıyaka, İzmir, Turkey",,solo,Aydin
The Groop Ltd.,,,solo,Aydin
The Sundowners,,,solo,Aydin
Sair Sinan Kestelli,"Karşıyaka, İzmir, Turkey",,solo,Aydin
Selin Şekerci,"Karşıyaka, İzmir, Turkey",,solo,Aydin
Nazan Öncel,"Karşıyaka, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Diler Saraç,"Karşıyaka, İzmir, Turkey",,solo,Aydin
Diler Saraç,"Karşıyaka, İzmir, Turkey",,solo,Aydin
Barış Akarsu,"Amasra, Bartın, Turkey",,solo,Aydin
Karlheinz Klüter,"Iserlohn, Nordhein-Westfalen, Germany",,solo,Aydin
Salih Uygun,,,solo,Aydin
Engin Yörükoğlu,"Kahramanmaraş, Kahramanmaraş, Turkey",,solo,Aydin
Kurtalan Ekspres,,,solo,Aydin
Moğollar,,,solo,Aydin
Ayfer Feray,"İzmir, İzmir, Turkey",,solo,Aydin
Birsen Kaplangı,"İstanbul, İstanbul, Turkey",,solo,Aydin
Selçuk Alagöz,"İstanbul, İstanbul, Turkey",,solo,Aydin
Alagözler,,,solo,Aydin
Senih Orkan,"İstanbul, İstanbul, Turkey",,solo,Aydin
Özlem Tekin,,"Bodrum, Muğla, Turkey",solo,Aydin
Naşide Göktürk,,,solo,Aydin
Oğuz Aral,"Silivri, İstanbul, Turkey",,solo,Aydin
Ali Sururi,,,solo,Aydin
Ayşegül Atik,"Ankara, Ankara, Turkey",,solo,Aydin
Zaliha,"İstanbul, İstanbul, Turkey","Bodrum, Muğla, Turkey",solo,Aydin
Ceylan Ece,"İstanbul, İstanbul, Turkey",,solo,Aydin
Turgut Berkes,"İzmir, İzmir, Turkey",,solo,Aydin
Akrep Nalan,"Ankara, Ankara, Turkey",,solo,Aydin
Baha Boduroğlu,"Fatih, İstanbul, Turkey",,solo,Aydin
Güzin ile Baha,,,solo,Aydin
Bahar Öztan,"İskenderun, Hatay, Turkey",,solo,Aydin
Hasan Saltık,"Hozat, Tunceli, Turkey",,solo,Aydin
Neyzen Tevfik,"Bodrum, Muğla, Turkey",,solo,Aydin
Ἡρόδοτος[Herodotus],"Bodrum, Muğla, Turkey","Thurii, Calabria, Italy",solo,Aydin
Zeynep Çamcı,"Bodrum, Muğla, Turkey",,solo,Aydin
Türkü Turan,"Bodrum, Muğla, Turkey",,solo,Aydin
Oojami,"Bodrum, Muğla, Turkey","London, United Kingdom",solo,Aydin
Selahattin Paşalı,"Bodrum, Muğla, Turkey",,solo,Aydin
Κώστας Ρούκουνας[Kostas Roukounas],"Karlovasi Samou, Eagean Islands, Greece",,solo,Aydin
Ἀνακρέων[Anacreon],"Sığacık, İzmir, Turkey",,solo,Aydin
Çolpan İlhan,"Menemen, İzmir, Turkey",,solo,Aydin
Attila İlhan,"Menemen, İzmir, Turkey",,solo,Aydin
Tanju Okan,"İzmir, İzmir, Turkey",,solo,Aydin
Γιώργος Σεφέρης[Giorgos Seferis],"Urla, İzmir, Turkey",,solo,Aydin
Eisreflektionen,,"Denizli, Denizli, Turkey",solo,Aydin
Tolga Han Kaya,,"Denizli, Denizli, Turkey",solo,Aydin
No.1,"Denizli, Denizli, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
258 Noise,,,solo,Aydin
İstanbul Trip,,,solo,Aydin
StreetMelodeez,,,solo,Aydin
Sıla,"Acıpayam, Denizli, Turkey",,solo,Aydin
Tuba Ünsal,"Denizli, Turkey",,solo,Aydin
Erdoğan Tokatlı,"Denizli, Turkey",,solo,Aydin
Tekin Akmansoy,"Sarayköy, Denizli, Turkey",,solo,Aydin
Pembe Mutlu,"Denizli, Turkey",,solo,Aydin
Settar Tanrıöğen,"Denizli, Turkey",,solo,Aydin
Emin Gürsoy,"Denizli, Turkey",,solo,Aydin
Kerem Yılmazer,"Denizli, Turkey",,solo,Aydin
StreetMelodeez,"Denizli, Denizli, Turkey",,grup,Aydin
No.1,,,solo,Aydin
Murat Ergür,"Denizli, Denizli, Turkey",,solo,Aydin
MRF,"Denizli, Denizli, Turkey",,solo,Aydin
258 Noise,,,solo,Aydin
Ruby,"Denizli, Denizli, Turkey",,solo,Aydin
Pınar Yoldaş,"Denizli, Denizli, Turkey","San Diego, CA, United States",solo,Aydin
Baki Çallıoğlu,"Denizli, Denizli, Turkey",,solo,Aydin
Bulut Aras,"Denizli, Denizli, Turkey",,solo,Aydin
Bulut Aras,"Denizli, Denizli, Turkey",,solo,Aydin
Batur Emin Akyel,"Denizli, Denizli, Turkey",,solo,Aydin
Haşmet Topaloğlu,"Denizli, Denizli, Turkey",,solo,Aydin
Duygu Çetinkaya,"Denizli, Denizli, Turkey",,solo,Aydin
Uğur Tekin,"Denizli, Denizli, Turkey",,solo,Aydin
Suat Sungur,"Denizli, Denizli, Turkey",,solo,Aydin
Ekin Koca,"Denizli, Denizli, Turkey","Paris, Île-de-France, France",solo,Aydin
Osman Sınav,"Yeşilova, Burdur, Turkey",,solo,Aydin
258 Noise,"Denizli, Denizli, Turkey",,grup,Aydin
No.1,,,solo,Aydin
Morfin,,,solo,Aydin
Deniz Barut,"Denizli, Denizli, Turkey",,solo,Aydin
Kenan Evci,,"Pamukkale, Denizli, Turkey",solo,Aydin
Ümit Köreken,"Akhisar, Manisa, Turkey",,solo,Aydin
Erdoğan Avcı,"Akhisar, Manisa, Turkey",,solo,Aydin
Mustafa Burak Doğu,"Akhisar, Manisa, Turkey",,solo,Aydin
Serdar Güder,"Akhisar, Manisa, Turkey",,solo,Aydin
İnan Ulaş Torun,"Akhisar, Manisa, Turkey",,solo,Aydin
Erol Avcı,"Akhisar, Manisa, Turkey",,solo,Aydin
Aykut Kayacık,"Akhisar, Manisa, Turkey",,solo,Aydin
Taner Birsel,"Akhisar, Manisa, Turkey",,solo,Aydin
Kibariye,"Akhisar, Manisa, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
durul,"Akhisar, Manisa, Turkey",,solo,Aydin
Νίκος Κάσδαγλης,"Kos, Aegean Islands, Greece",,solo,Aydin
Μαρίκα Παπαγκίκα[Marika Papagika],"Kos, South Aegean, Greece",,solo,Aydin
İsmet Sıral,"Fatih, İstanbul, Turkey",,solo,Aydin
İrfan Özbakır,"Amasya, Amasya, Turkey",,solo,Aydin
Yeşim,"Ankara, Ankara, Turkey","Marmaris, Muğla, Turkey",solo,Aydin
Michael Dolan,"Birmingham, West Midlands, United Kingdom",,solo,Aydin
Hard Meat,,,solo,Aydin
Big Front Yard,,,solo,Aydin
Asım Can Gündüz,"İstanbul, İstanbul, Turkey",,solo,Aydin
Hamiyet Yüceses,"İstanbul, İstanbul, Turkey",,solo,Aydin
Yaman Koray,"İstanbul, İstanbul, Turkey",,solo,Aydin
Kardiyak,"Marmaris, Muğla, Turkey","İstanbul, İstanbul, Turkey",solo,Aydin
Μικές Καραπιπέρης,"Kalymnos, Aegean Islands, Greece",,solo,Aydin
Fos,"Kalymnos, Aegean Islands, Greece","London, Greater London, United Kingdom",solo,Aydin
Καίτη Κουλλιά[Kaiti Koullia],"Kalymnos, South Aegean, Greece",,solo,Aydin
Γιάννης Σπύρου,"Patmos, Aegean Islands, Greece",,solo,Aydin
The Kilink,"Foça, İzmir, Turkey",,grup,Aydin
Mertcan Mertbilek,,,solo,Aydin
Emrah Karakuyu,"Foça, İzmir, Turkey","İzmir, İzmir, Turkey",solo,Aydin
Arif Kemal,"Akdağ, Isparta, Turkey",,solo,Aydin
Tuncer Salman,"Ulubey, Uşak, Turkey",,solo,Aydin
Ozan Sağdıç,"Balıkesir, Marmara Bölgesi, Turkey",,solo,Balikesir
Fikret Hakan,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Nesrin Körükçü,"Balıkesir, Turkey",,solo,Balikesir
Hayri Esen,"Balıkesir, Turkey",,solo,Balikesir
Hüseyin Kuzu,"Balıkesir, Turkey",,solo,Balikesir
Sadiztik:Injektion,"Balıkesir, Balıkesir, Turkey",,grup,Balikesir
Göksel,,"Balıkesir, Balıkesir, Turkey",solo,Balikesir
Pınar Ordu,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Hale Akınlı,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Berna Keser,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Merve Çağıran,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Savaş İlhan,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Dilek Türkan,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
İncesaz,,,solo,Balikesir
Süha Arın,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Tamer Yiğit,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
İlker Ayrık,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Duygu Paracıkoğlu,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Zeynep Dadak,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Çağatay Akyol,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Hamiyet,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Fikret Hakan,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Kudret Karadağ,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Salih Tozan,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Ahmet Açan,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Soysal Demir,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Devrim Nas,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Hüseyin Ertunç,"Balıkesir, Balıkesir, Turkey",,solo,Balikesir
Egemen Kaya,"Balıkesir, Balıkesir, Turkey","Stuttgart, Baden-Württemberg, Germany",solo,Balikesir
Şanar Yurdatapan,"Susurluk, Balıkesir, Turkey",,solo,Balikesir
Süheyl Eğriboz,"Gönen, Balıkesir, Turkey",,solo,Balikesir
Kemal Uzun,"Gönen, Balıkesir, Turkey",,solo,Balikesir
Ömer Seyfettin,"Gönen, Balıkesir, Turkey",,solo,Balikesir
Елена Гулина[Elena Gulina],"Kocagöl, Balıkesir, Turkey","Novokumskiy, Stavropol Krai, Russian Federation",solo,Balikesir
Семён Милушкин[Semyon Milushkin],"Kocagöl, Balıkesir, Turkey",,solo,Balikesir
Mehmet Emin Ceylan,"Yenice, Çanakkale, Turkey",,solo,Balikesir
Mehmet Emin Toprak,"Yenice, Çanakkale, Turkey",,solo,Balikesir
Sencar Sağdıç,"Edremit, Balıkesir, Turkey",,solo,Balikesir
Hülya Avşar,"Edremit, Balıkesir, Turkey",,solo,Balikesir
Murat Özen,"Edremit, Balıkesir, Turkey",,solo,Balikesir
Şükrü Tunar,"Edremit, Balıkesir, Turkey",,solo,Balikesir
Barış Falay,"Edremit, Balıkesir, Turkey",,solo,Balikesir
Tuğçe Kazaz,"Edremit, Balıkesir, Turkey",,solo,Balikesir
Sevda Ferdağ,"Edremit, Balıkesir, Turkey",,solo,Balikesir
Fettah Can,"Karacabey, Bursa, Turkey",,solo,Balikesir
Reha Yurdakul,"Burhaniye, Turkey",,solo,Balikesir
Osman Taşçı,"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Duru Kurt,"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Gürcan Yaman,"Bandırma, Balıkesir, Turkey","İstanbul, İstanbul, Turkey",solo,Balikesir
Şevket Altuğ,"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Sevgi Can,"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Αχιλλέας Πούλος[Achilleas Poulos],"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Αχιλλέας Πούλος[Achilleas Poulos],"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Handan Adalı,"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Selahattin Altınbaş,"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Hande Erçel,"Bandırma, Balıkesir, Turkey",,solo,Balikesir
Ümit Köreken,"Akhisar, Manisa, Turkey",,solo,Balikesir
Erdoğan Avcı,"Akhisar, Manisa, Turkey",,solo,Balikesir
Mustafa Burak Doğu,"Akhisar, Manisa, Turkey",,solo,Balikesir
Serdar Güder,"Akhisar, Manisa, Turkey",,solo,Balikesir
İnan Ulaş Torun,"Akhisar, Manisa, Turkey",,solo,Balikesir
Erol Avcı,"Akhisar, Manisa, Turkey",,solo,Balikesir
Aykut Kayacık,"Akhisar, Manisa, Turkey",,solo,Balikesir
Taner Birsel,"Akhisar, Manisa, Turkey",,solo,Balikesir
Kibariye,"Akhisar, Manisa, Turkey","İstanbul, İstanbul, Turkey",solo,Balikesir
durul,"Akhisar, Manisa, Turkey",,solo,Balikesir
Erdo Vatan,"İstanbul, İstanbul, Turkey",,solo,Balikesir
Hasan Küçükçetin,"Burhaniye, Balıkesir, Turkey",,solo,Balikesir
Zerrin Tekindor,"Burhaniye, Balıkesir, Turkey",,solo,Balikesir
Kayahan Arıkan,"Burhaniye, Balıkesir, Turkey",,solo,Balikesir
Necdet Tosun,"Burhaniye, Balıkesir, Turkey",,solo,Balikesir
Mehmet Emin Toprak,"Yenice, Çanakkale, Turkey",,solo,Balikesir
Hüsnü Şenlendirici,"Bergama, Turkey",,solo,Balikesir
Laço Tayfa,,,solo,Balikesir
Taksim Trio,,,solo,Balikesir
Safiye Yankı,"Bergama, Turkey",,solo,Balikesir
Zerrin Sümer,"Bergama, İzmir, Turkey",,solo,Balikesir
Ulaş Güneş Kaçargil,"Bergama, İzmir, Turkey",,solo,Balikesir
Onur Buldu,"Bergama, İzmir, Turkey",,solo,Balikesir
Tüdanya,"Bergama, İzmir, Turkey",,solo,Balikesir
Suna Keskin,"Biga, Çanakkale, Turkey",,solo,Balikesir
Bâki Kemancı,"Biga, Çanakkale, Turkey",,solo,Balikesir
Şükrü Kabacı,"Biga, Çanakkale, Turkey","İstanbul, İstanbul, Turkey",solo,Balikesir
Olgun Şimşek,"Büyükorhan, Bursa, Turkey",,solo,Balikesir
Serdar Ateşer,"İstanbul, İstanbul, Turkey","Ayvalık, Balıkesir, Turkey",solo,Balikesir
Mozaik,,,solo,Balikesir
Στράτος Παγιουμτζής[Stratos Pagioumtzis],"Ayvalık, Balıkesir, Turkey",,solo,Balikesir
Turgut İnangiray,"Ayvalık, Balıkesir, Turkey",,solo,Balikesir
Ηλίας Βενέζης,"Ayvalık, Balıkesir, Turkey",,solo,Balikesir
Kaya Ererez,"Ayvalık, Balıkesir, Turkey",,solo,Balikesir
Μερόπη Ροζάν,"Ayvalık, Balıkesir, Turkey",,solo,Balikesir
