isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
Ayşen Gruda,"Yeşilköy, İstanbul, Turkey",,solo,Bursa,1JDSfThL75Q8eL8auGWSs4,46.0,1.0,anatolian rock,anatolian rock,,
Ayşen Gruda,"Yeşilköy, İstanbul, Turkey",,solo,Bursa,1JDSfThL75Q8eL8auGWSs4,46.0,1.0,anatolian rock,anatolian rock,,
Aziz Azmet,,,solo,Bursa,4vNXPhLkry7MKEnpSeHAA5,2719.0,17.0,anatolian rock,anatolian rock,rock,turkish psych
Aziz Azmet,,,solo,Bursa,4vNXPhLkry7MKEnpSeHAA5,2719.0,17.0,anatolian rock,anatolian rock,rock,turkish psych
Aziz Azmet,,,solo,Bursa,4vNXPhLkry7MKEnpSeHAA5,2719.0,17.0,anatolian rock,anatolian rock,rock,turkish psych
Aziz Azmet,,,solo,Bursa,4vNXPhLkry7MKEnpSeHAA5,2719.0,17.0,anatolian rock,anatolian rock,rock,turkish psych
Ağaçkakan,,,solo,Bursa,7ssDDQAUFA9Z5k5VbbqYxg,31577.0,31.0,"turkish hip hop, experimental hip hop","turkish hip hop, experimental hip hop",,turkish hip hop
Ağaçkakan,,,solo,Bursa,7ssDDQAUFA9Z5k5VbbqYxg,31577.0,31.0,"turkish hip hop, experimental hip hop","turkish hip hop, experimental hip hop",,turkish hip hop
Ağaçkakan,"Ankara, Ankara, Turkey","Eskişehir, Eskişehir, Turkey",solo,Bursa,7ssDDQAUFA9Z5k5VbbqYxg,31577.0,31.0,"turkish hip hop, experimental hip hop","turkish hip hop, experimental hip hop",,turkish hip hop
Aşkın Nur Yengi,"İstanbul, İstanbul, Turkey",,solo,Bursa,2fYdUIUPS7aDdWCzb8Aw2k,855544.0,54.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Aşkın Nur Yengi,"İstanbul, İstanbul, Turkey",,solo,Bursa,2fYdUIUPS7aDdWCzb8Aw2k,855544.0,54.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
BLOK3,"Kocaeli, Kocaeli, Turkey",,solo,Bursa,1GMwSpFzrLd12jUX15bHB6,6572128.0,76.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,
BaBa ZuLa,,,solo,Bursa,39zIRxvWFOGGH4hxGqRkLy,93489.0,32.0,anatolian rock,anatolian rock,"halk, elektronik","turkish rock, turkish folk, turkish jazz, turkish psych"
BaBa ZuLa,"İstanbul, İstanbul, Turkey",,grup,Bursa,39zIRxvWFOGGH4hxGqRkLy,93489.0,32.0,anatolian rock,anatolian rock,"halk, elektronik","turkish rock, turkish folk, turkish jazz, turkish psych"
Badem,"Istanbul, Turkey",,grup,Bursa,27sJOP3QjNbw349IrcROwj,351800.0,44.0,"anatolian rock, turkish pop","koplo, dangdut, sholawat",,turkish rock
Baha Boduroğlu,"Fatih, İstanbul, Turkey",,solo,Bursa,5mW103YUYbiRMIQXqXUNYf,682.0,16.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",pop,
Baht,"İstanbul, İstanbul, Turkey",,grup,Bursa,2pzE4g9V2qFWoTIWkeT1KM,3407.0,26.0,arabesk,batak,,turkish metal
Banu Parlak,"İstanbul, İstanbul, Turkey",,solo,Bursa,38uZn1mtkujAvteNv4SkU0,242849.0,39.0,turkish pop,turkish pop,,turkish pop
Barikat,"Bursa, Bursa, Turkey",,grup,Bursa,2vWjrvYa6YCkytgrFKVi4y,1135.0,10.0,turkish hip hop,turkish hip hop,,
Barış Manço,"İstanbul, İstanbul, Turkey",,solo,Bursa,3eVuump9qyK0YCQQo4mKbc,3098032.0,61.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk","rock, latin","turkish rock, turkish psych"
Barış Manço,"İstanbul, İstanbul, Turkey",,solo,Bursa,3eVuump9qyK0YCQQo4mKbc,3098032.0,61.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk","rock, latin","turkish rock, turkish psych"
Batuflex,,"İstanbul, İstanbul, Turkey",solo,Bursa,15AZJFNrXtIN4Nk8BIOnS2,2006637.0,65.0,"turkish hip hop, drill","turkish hip hop, drill",rap,"turkish trap, turkish hip hop"
Batuhan Mutlugil,,,solo,Bursa,73UTp1X3auvO2JT0BuyZUU,18780.0,24.0,anatolian rock,anatolian rock,"alternatif, rock",turkish rock
Batuhan Mutlugil,"İstanbul, İstanbul, Turkey",,solo,Bursa,73UTp1X3auvO2JT0BuyZUU,18780.0,24.0,anatolian rock,anatolian rock,"alternatif, rock",turkish rock
Batuhan Mutlugil,,,solo,Bursa,73UTp1X3auvO2JT0BuyZUU,18780.0,24.0,anatolian rock,anatolian rock,"alternatif, rock",turkish rock
Bege,"İstanbul, İstanbul, Turkey",,solo,Bursa,6q1sTU51oryTTcWTPTd0VC,863590.0,55.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Behiye Aksoy,"Çamlica, İstanbul, Turkey",,solo,Bursa,1cp0LtfcNQUFTT1SGzeFRK,33516.0,26.0,arabesk,arabesk,sanat müziği,
Behiye Aksoy,"Çamlica, İstanbul, Turkey",,solo,Bursa,1cp0LtfcNQUFTT1SGzeFRK,33516.0,26.0,arabesk,arabesk,sanat müziği,
Belkıs Akkale,"Istanbul, Turkey",,solo,Bursa,3JDnwrAqfEfuIWCF5TvKNH,24010.0,33.0,"arabesk, oyun havasi","arabesk, oyun havasi",halk,turkish folk
Berdan Mardini,"Diyarbakir, Diyarbakır, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,2oeGCE0qqEpX9wHC2pn4D3,94510.0,40.0,"oyun havasi, arabesk","oyun havasi, arabesk",,arabesk
Berkant,"Elmadağ, Ankara, Turkey",,solo,Bursa,2c3QSjXlvmSEHsaosjFmd1,19909.0,27.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",,
Bertuğ Cemil,"Bursa, Turkey","Istanbul, Turkey",solo,Bursa,5tx85QaiGLUloXNLcBS3h5,6248.0,26.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","pop, rock",
Bertuğ Cemil,"Bursa, Turkey","Istanbul, Turkey",solo,Bursa,5tx85QaiGLUloXNLcBS3h5,6248.0,26.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","pop, rock",
Beta Berk Bayındır,"İstanbul, İstanbul, Turkey",,solo,Bursa,63f9vjw52BL5c3f5TSlg72,135215.0,41.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Betül Demir,"İstanbul, İstanbul, Turkey",,solo,Bursa,6aMuEI7xrBQvb2z0lXWwCR,282927.0,38.0,turkish pop,turkish pop,,turkish pop
Beyaz Kelebekler,,,solo,Bursa,0CdO8pNYr6JdJPTnf7D1Nw,18689.0,22.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",pop,turkish psych
Beyaz Kelebekler,"İstanbul, Turkey",,grup,Bursa,0CdO8pNYr6JdJPTnf7D1Nw,18689.0,22.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",pop,turkish psych
Bilal Sonses,"İstanbul, İstanbul, Turkey",,solo,Bursa,6iBdV6h17D1kOnK9lFyWo3,1905315.0,51.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Bilgen Bengü,"İstanbul, Turkey",,solo,Bursa,1hAHMocEufbSptd2Qnhtp1,14807.0,9.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Bora Ayanoğlu,"İstanbul, İstanbul, Turkey",,solo,Bursa,1zStM6YpkGN7FRROMpAmn1,11109.0,18.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Bora Öztoprak,"İstanbul, İstanbul, Turkey",,solo,Bursa,6YsJXJZKI0ERDqb3IHBnpy,43980.0,31.0,turkish pop,turkish pop,,turkish pop
Bubituzak,,,solo,Bursa,5A3vP76mmczG3YosF51OLB,33482.0,24.0,anatolian rock,anatolian rock,rock,turkish rock
Bubituzak,"İstanbul, İstanbul, Turkey",,grup,Bursa,5A3vP76mmczG3YosF51OLB,33482.0,24.0,anatolian rock,anatolian rock,rock,turkish rock
Bubituzak,,,solo,Bursa,5A3vP76mmczG3YosF51OLB,33482.0,24.0,anatolian rock,anatolian rock,rock,turkish rock
Bulutsuzluk Özlemi,,,solo,Bursa,1x59izw7Q1MpfZyzJpTfb4,329599.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",turkish rock
Bulutsuzluk Özlemi,,"İstanbul, İstanbul, Turkey",grup,Bursa,1x59izw7Q1MpfZyzJpTfb4,329599.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",turkish rock
Bulutsuzluk Özlemi,,"İstanbul, İstanbul, Turkey",grup,Bursa,1x59izw7Q1MpfZyzJpTfb4,329599.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",turkish rock
Bulutsuzluk Özlemi,,,solo,Bursa,1x59izw7Q1MpfZyzJpTfb4,329599.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",turkish rock
Bulutsuzluk Özlemi,,,solo,Bursa,1x59izw7Q1MpfZyzJpTfb4,329599.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",turkish rock
Bulutsuzluk Özlemi,,,solo,Bursa,1x59izw7Q1MpfZyzJpTfb4,329599.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",turkish rock
Burak Kut,"İstanbul, İstanbul, Turkey",,solo,Bursa,3A6DEEgGTMl77LFLCzwc5T,203286.0,46.0,turkish pop,turkish pop,,turkish pop
Burak Malçok,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,3CmmR547H2prfmsee200bE,2891.0,26.0,"anatolian rock, sufi","anatolian rock, sufi",,
Burak Özçivit,"İstanbul, Turkey",,solo,Bursa,3RQhPwN8rAZcSshtioF1Ak,5457.0,20.0,arabesk,arabesk,,
Burhan Bayar,,"İstanbul, İstanbul, Turkey",solo,Bursa,02znH6l9lpk6Qv2zD22yjy,1459.0,24.0,"arabesk, turkish pop","arabesk, turkish pop",,
Burhan Çaçan,,,solo,Bursa,0uc6hSyVbXHjRvEqeIpxMn,59437.0,34.0,"arabesk, oyun havasi","arabesk, oyun havasi",halk,arabesk
Burry Soprano,,"İstanbul, İstanbul, Turkey",solo,Bursa,5SpHQasdZkIx2RFJzvBBsD,79780.0,48.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,"turkish trap, turkish hip hop"
Bülent Ersoy,"Istanbul, İstanbul, Turkey",,solo,Bursa,4ZXSO4o28gKUfDbnrwtPmd,278922.0,51.0,"arabesk, turkish pop","arabesk, turkish pop","arabesk, sanat müziği","arabesk, turkish folk"
Bülent Ersoy,"Istanbul, İstanbul, Turkey",,solo,Bursa,4ZXSO4o28gKUfDbnrwtPmd,278922.0,51.0,"arabesk, turkish pop","arabesk, turkish pop","arabesk, sanat müziği","arabesk, turkish folk"
Bülent Ortaçgil,"Ankara, Ankara, Turkey","Bozburun, Muğla, Turkey",solo,Bursa,1eY7YyYjc9jGnsHdJka906,245084.0,40.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish rock, turkish jazz, turkish singer-songwriter"
Büşra Pekin,,"İstanbul, Turkey",solo,Bursa,5eEKBVHpzBT4Z6fCv5l8uZ,652.0,14.0,"oyun havasi, arabesk","oyun havasi, arabesk",,
Cahit Berkay,"Isparta, Isparta, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,0aUFnapWUvRIYJL6i3Jf60,12491.0,30.0,anatolian rock,"anatolian rock, karadeniz folk",,turkish psych
Cahit Berkay,,,solo,Bursa,0aUFnapWUvRIYJL6i3Jf60,12491.0,30.0,anatolian rock,"anatolian rock, karadeniz folk",,turkish psych
Cahit Berkay,"Isparta, Isparta, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,0aUFnapWUvRIYJL6i3Jf60,12491.0,30.0,anatolian rock,"anatolian rock, karadeniz folk",,turkish psych
Cahit Berkay,,,solo,Bursa,0aUFnapWUvRIYJL6i3Jf60,12491.0,30.0,anatolian rock,"anatolian rock, karadeniz folk",,turkish psych
Cahit Oben,"İstanbul, Turkey",,solo,Bursa,2O8jY0TevDFs7R9tzkh4SH,6297.0,5.0,anatolian rock,anatolian rock,pop,turkish psych
Can Bonomo,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,3vJJGsSAF5zQegZo5sJEh6,775810.0,54.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,"turkish pop, turkish rock"
Can Kazaz,"İstanbul, İstanbul, Turkey",,solo,Bursa,4YLcK0MEyqFkdyyzbPTWrs,393152.0,48.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Caner Güneysu,"İstanbul, İstanbul, Turkey",,solo,Bursa,4EURgTTqaR97N9atn2HdS2,79.0,8.0,turkish pop,turkish pop,,
Canfeza,"Bursa, Bursa, Turkey",,solo,Bursa,0NkjVHxmDMo5QCHdou6jUt,296908.0,44.0,"turkish hip hop, arabesk","turkish hip hop, arabesk","caz, klasik",turkish hip hop
Cem Davran,"İstanbul, Turkey",,solo,Bursa,7bF899xGLkRSTzWxSJHFCX,48.0,8.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Cem Karaca,"İstanbul, İstanbul, Turkey",,solo,Bursa,1lIbZfJvMQRqzhtCQsg5EI,2029955.0,55.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",rock,"turkish rock, turkish psych"
Cem Karaca,,,solo,Bursa,1lIbZfJvMQRqzhtCQsg5EI,2029955.0,55.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",rock,"turkish rock, turkish psych"
Cem Karaca,"İstanbul, İstanbul, Turkey",,solo,Bursa,1lIbZfJvMQRqzhtCQsg5EI,2029955.0,55.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",rock,"turkish rock, turkish psych"
Cem Karaca & Apaşlar,,,solo,Bursa,5h35dlZ2RnO3dc6a29uHIF,1185.0,6.0,anatolian rock,anatolian rock,,
Cem Karaca & Apaşlar,,,solo,Bursa,5h35dlZ2RnO3dc6a29uHIF,1185.0,6.0,anatolian rock,anatolian rock,,
Cem Karaca & Apaşlar,,,solo,Bursa,5h35dlZ2RnO3dc6a29uHIF,1185.0,6.0,anatolian rock,anatolian rock,,
Cem Köksal,"İstanbul, İstanbul, Turkey",,solo,Bursa,5gPlGG8ELZDi5PSMObNQxY,39944.0,33.0,anatolian rock,anatolian rock,,"turkish rock, turkish metal"
Cem Yıldız,,,solo,Bursa,3SASCp3Mzy7lT50cZn11yr,26055.0,50.0,arabesk,arabesk,,
Cem Yıldız,,,solo,Bursa,3SASCp3Mzy7lT50cZn11yr,26055.0,50.0,arabesk,arabesk,,
Cem Yıldız,,,solo,Bursa,3SASCp3Mzy7lT50cZn11yr,26055.0,50.0,arabesk,arabesk,,
Cem Yılmaz,"İstanbul, İstanbul, Turkey",,solo,Bursa,1FmmJb0ixEE31ETAQ60GXx,18973.0,30.0,turkish pop,turkish pop,,
Cem Yılmaz,"İstanbul, İstanbul, Turkey",,solo,Bursa,1FmmJb0ixEE31ETAQ60GXx,18973.0,30.0,turkish pop,turkish pop,,
Cengiz Onural,"İstanbul, İstanbul, Turkey",,solo,Bursa,79K9SrI87dOAY82yf280H7,162.0,10.0,turkish pop,sufi,,
Cengiz Onural,,,solo,Bursa,79K9SrI87dOAY82yf280H7,162.0,10.0,turkish pop,sufi,,
Cenk Durmazel,,,solo,Bursa,197PC8QqgDfLrbdLXv1uiY,3251.0,11.0,anatolian rock,anatolian rock,,
Cenk Durmazel,"İstanbul, İstanbul, Turkey",,solo,Bursa,197PC8QqgDfLrbdLXv1uiY,3251.0,11.0,anatolian rock,anatolian rock,,
Cenk Durmazel,,,solo,Bursa,197PC8QqgDfLrbdLXv1uiY,3251.0,11.0,anatolian rock,anatolian rock,,
Cenk Durmazel,,,solo,Bursa,197PC8QqgDfLrbdLXv1uiY,3251.0,11.0,anatolian rock,anatolian rock,,
Cenk Durmazel,,,solo,Bursa,197PC8QqgDfLrbdLXv1uiY,3251.0,11.0,anatolian rock,anatolian rock,,
Cenk Durmazel,,,solo,Bursa,197PC8QqgDfLrbdLXv1uiY,3251.0,11.0,anatolian rock,anatolian rock,,
Cenk Taner,"Gölcük, Kocaeli, Turkey","Kadıköy, İstanbul, Turkey",solo,Bursa,27BullunNq0imCJzxyh3oA,14803.0,10.0,anatolian rock,anatolian rock,,turkish singer-songwriter
Cenk Taner,,,solo,Bursa,27BullunNq0imCJzxyh3oA,14803.0,10.0,anatolian rock,anatolian rock,,turkish singer-songwriter
Cenk Taner,"Gölcük, Kocaeli, Turkey","Kadıköy, İstanbul, Turkey",solo,Bursa,27BullunNq0imCJzxyh3oA,14803.0,10.0,anatolian rock,anatolian rock,,turkish singer-songwriter
Ceylan,"Fatih, İstanbul, Turkey",,solo,Bursa,396gqBt8a2NN7gXtDWF7AJ,361636.0,49.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,"arabesk, turkish folk"
Ceylan Ertem,"Adapazarı, Sakarya, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,2crPPfVdmrxn5yUHLQVqOI,610645.0,44.0,"turkish pop, arabesk","turkish pop, arabesk","caz, alternatif, rock","turkish pop, turkish rock, turkish alt-pop, turkish singer-songwriter"
Ceylan Ertem,,,solo,Bursa,2crPPfVdmrxn5yUHLQVqOI,610645.0,44.0,"turkish pop, arabesk","turkish pop, arabesk","caz, alternatif, rock","turkish pop, turkish rock, turkish alt-pop, turkish singer-songwriter"
Ceylan Ertem,"Adapazarı, Sakarya, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,2crPPfVdmrxn5yUHLQVqOI,610645.0,44.0,"turkish pop, arabesk","turkish pop, arabesk","caz, alternatif, rock","turkish pop, turkish rock, turkish alt-pop, turkish singer-songwriter"
Ceynur,"İstanbul, İstanbul, Turkey",,solo,Bursa,29B0zv6TP3mKluY6PyfJoP,1137.0,7.0,turkish pop,turkish pop,pop,deep turkish pop
Ceza,"Üsküdar, İstanbul, Turkey",,solo,Bursa,28Qbi9jTj2eej21P2mImZI,5245766.0,60.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Ceza,"Üsküdar, İstanbul, Turkey",,solo,Bursa,28Qbi9jTj2eej21P2mImZI,5245766.0,60.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Ceza,"Üsküdar, İstanbul, Turkey",,solo,Bursa,28Qbi9jTj2eej21P2mImZI,5245766.0,60.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Cici Kızlar,,,solo,Bursa,1I253VA1DgfRm9misAcGq8,22017.0,24.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Cihan Mürtezaoğlu,"İstanbul, İstanbul, Turkey","Kadıköy, İstanbul, Turkey",solo,Bursa,6qphxvmoZkBRhPV3Ohb6j2,211594.0,48.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Cihan Mürtezaoğlu,"İstanbul, İstanbul, Turkey","Kadıköy, İstanbul, Turkey",solo,Bursa,6qphxvmoZkBRhPV3Ohb6j2,211594.0,48.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Contra,"İstanbul, İstanbul, Turkey",,solo,Bursa,3tJELJoPZ4VTKmL0vppqLj,1206309.0,51.0,turkish hip hop,"pagode, samba, axé",,"turkish trap, turkish hip hop"
Critical,"İstanbul, İstanbul, Turkey",,solo,Bursa,6dOAGo4z0syiCjbnlh4VSO,137121.0,49.0,"turkish hip hop, drill",,,turkish hip hop
Cümbüş Cemaat,"İstanbul, İstanbul, Turkey",,grup,Bursa,0MLv04L8IGTPfhOjtdo6zq,3083.0,15.0,anatolian rock,anatolian rock,,
"DJ Funky ""C""","İstanbul, İstanbul, Turkey",,solo,Bursa,1rOwICOHPAVzEOgtBufvPN,2356.0,20.0,turkish pop,breakbeat,,
"DJ Funky ""C""","İstanbul, İstanbul, Turkey",,solo,Bursa,1rOwICOHPAVzEOgtBufvPN,2356.0,20.0,turkish pop,breakbeat,,
Da Poet,"İstanbul, İstanbul, Turkey",,solo,Bursa,7Ml6UQvSODdViugwulEjWk,86625.0,50.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Da Poet,"İstanbul, İstanbul, Turkey",,solo,Bursa,7Ml6UQvSODdViugwulEjWk,86625.0,50.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Da Poet,,,solo,Bursa,7Ml6UQvSODdViugwulEjWk,86625.0,50.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Da Poet,,,solo,Bursa,7Ml6UQvSODdViugwulEjWk,86625.0,50.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Darpo,,"İstanbul, İstanbul, Turkey",solo,Bursa,7s9jM61uDC71eLxMog4sbP,1080.0,30.0,turkish hip hop,turkish hip hop,,
Dedublüman,"Trabzon, Trabzon, Turkey","İstanbul, İstanbul, Turkey",grup,Bursa,5PRW6j58xEEWL4DDVEITKT,2357876.0,66.0,"arabesk, turkish pop","arabesk, turkish pop","alternatif, rock",
Demet Evgar,"Manisa, Turkey","İstanbul, Turkey",solo,Bursa,5PZbAEIJg4YfrzvOIfdzbD,9201.0,34.0,turkish pop,turkish pop,,
Demir Demirkan,,,solo,Bursa,0ONcicRZwAgDDZyeWrLia3,230934.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Demir Demirkan,,,solo,Bursa,0ONcicRZwAgDDZyeWrLia3,230934.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Demir Demirkan,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,0ONcicRZwAgDDZyeWrLia3,230934.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Demir Demirkan,,,solo,Bursa,0ONcicRZwAgDDZyeWrLia3,230934.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Demir Demirkan,,,solo,Bursa,0ONcicRZwAgDDZyeWrLia3,230934.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Deniz Seki,"Istanbul, Turkey",,solo,Bursa,28bHkFlKKHHudmgvnfYpiJ,648722.0,52.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Derya Uluğ,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,7A6T0nTpXnPXDUGM1yEjEj,1569655.0,57.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Destan,,,solo,Bursa,0ixqw8oRxAL4MaLA0PUOc2,16506.0,44.0,"anatolian rock, oyun havasi, turkish pop","anatolian rock, oyun havasi, turkish pop",halk,
Devrim Erden,,"İstanbul, İstanbul, Turkey",solo,Bursa,6bx0z5qY2HL613rLL7NHR0,2531.0,13.0,"arabesk, turkish pop","arabesk, turkish pop","halk, latin",deep turkish pop
Diken,"İstanbul, İstanbul, Turkey","Ankara, Ankara, Turkey",grup,Bursa,14sOXo6iCym0ZP1oWuLlGg,9052.0,14.0,anatolian rock,,,turkish metal
Diken,,,solo,Bursa,14sOXo6iCym0ZP1oWuLlGg,9052.0,14.0,anatolian rock,,,turkish metal
Dilber Ay,"Kayseri, Kayseri, Turkey",,solo,Bursa,622nbL5e4PEwWgd9S3x2gA,143.0,0.0,arabesk,"arabesk, oyun havasi","halk, arabesk",
Dilber Ay,"Kayseri, Kayseri, Turkey",,solo,Bursa,622nbL5e4PEwWgd9S3x2gA,143.0,0.0,arabesk,"arabesk, oyun havasi","halk, arabesk",
Dinar Bandosu,"İstanbul, İstanbul, Turkey",,grup,Bursa,6meuoaqQV5oqfQClbZ39wm,5530.0,2.0,anatolian rock,anatolian rock,"rock, psychedelic",turkish psych
Dinar Bandosu,"İstanbul, İstanbul, Turkey",,grup,Bursa,6meuoaqQV5oqfQClbZ39wm,5530.0,2.0,anatolian rock,anatolian rock,"rock, psychedelic",turkish psych
Dinmeyen,,,solo,Bursa,7e4pmYPwPETSnMVCcJa8xu,10585.0,27.0,"anatolian rock, arabesk","anatolian rock, arabesk",,
Dinmeyen,,,solo,Bursa,7e4pmYPwPETSnMVCcJa8xu,10585.0,27.0,"anatolian rock, arabesk","anatolian rock, arabesk",,
Dipnot,,"İstanbul, İstanbul, Turkey",solo,Bursa,7HnPyLJYfVV5GLbKxngUUd,6660.0,24.0,turkish hip hop,turkish hip hop,alternatif,turkish hip hop
Direc-t,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",grup,Bursa,0ubHokjZTIMHUJWPML8N0x,13631.0,30.0,anatolian rock,anatolian rock,"alternatif, rock","turkish rock, turkish metal"
Direc-t,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",grup,Bursa,0ubHokjZTIMHUJWPML8N0x,13631.0,30.0,anatolian rock,anatolian rock,"alternatif, rock","turkish rock, turkish metal"
Doruk Onatkut Orkestrası,,,solo,Bursa,5TIkZVafEHvumRrXRUSC3r,172.0,1.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",,turkish psych
Doğan Canku,"Tavşanlı, Kütahya, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,7lAMAZizRgc9vwXHQOULe4,33852.0,32.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,turkish jazz
Doğan Canku,"Tavşanlı, Kütahya, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,7lAMAZizRgc9vwXHQOULe4,33852.0,32.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,turkish jazz
Doğan Canku,"Tavşanlı, Kütahya, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,7lAMAZizRgc9vwXHQOULe4,33852.0,32.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,turkish jazz
Doğan Canku,"Tavşanlı, Kütahya, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,7lAMAZizRgc9vwXHQOULe4,33852.0,32.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,turkish jazz
Doğukan Manço,Belgium,"İstanbul, İstanbul, Turkey",solo,Bursa,6IChT254jMRTpE42tHVq3E,31410.0,34.0,turkish pop,turkish pop,pop,deep turkish pop
Doğuş Çabakçor,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,Bursa,2Y7fKAw6qx4hES4vuaPijc,20989.0,42.0,turkish pop,turkish pop,,
Dramelodi Project,,,solo,Bursa,2u4YcpfWIitOTVE8zWXnC0,10794.0,19.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Dramelodi Project,,,solo,Bursa,2u4YcpfWIitOTVE8zWXnC0,10794.0,19.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Duman,,,solo,Bursa,6RTC1abMgBC7Krg6qJQHJh,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Duman,,,solo,Bursa,6RTC1abMgBC7Krg6qJQHJh,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Duman,"İstanbul, İstanbul, Turkey",,grup,Bursa,6RTC1abMgBC7Krg6qJQHJh,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Duman,,,solo,Bursa,6RTC1abMgBC7Krg6qJQHJh,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Duman,,,solo,Bursa,6RTC1abMgBC7Krg6qJQHJh,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
