isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Nurhan Damcıoğlu,"Karaisalı, Adana, Turkey",,solo,Adana
Omar Faruk Tekbilek,"Adana, Turkey","New York, NY, United States",solo,Adana
Orhan Kemal,"Ceyhan, Adana, Turkey",,solo,Adana
Orhan Şanlıel,"Adana, Adana, Turkey",,solo,Adana
Osman Betin,"Adana, Turkey",,solo,Adana
Oğuz Yalçın,"Kozan, Adana, Turkey",,solo,Adana
Pickaxe,"Adana, Adana, Turkey",,solo,Adana
Recep Bilginer,"Adana, Adana, Turkey",,solo,Adana
Retired Virgin,"Adana, Adana, Turkey",,grup,Adana
Roupen Altiparmakian,"Adana, Adana, Turkey",,solo,Adana
Ruşan Filiztek,"Seyhan, Adana, Turkey","Paris, Île-de-France, France",solo,Adana
Rıza Akın,"Adana, Turkey",,solo,Adana
Sadettin Öktenay,"Adana, Adana, Turkey",,solo,Adana
Salih Bolat,"Adana, Adana, Turkey",,solo,Adana
Salih Güney,"Adana, Adana, Turkey",,solo,Adana
Salman Tin,"Adana, Adana, Turkey",,solo,Adana
Sebahat Adalar,"Adana, Adana, Turkey",,solo,Adana
Selahattin Sarıkaya,"Seyhan, Adana, Turkey",,solo,Adana
Selahattin Özdemir,"Adana, Adana, Turkey",,solo,Adana
Seray Gözler Yeniay,"Adana, Adana, Turkey",,solo,Adana
Serhan Kelleözü,"Adana, Adana, Turkey",,solo,Adana
Serhan Çeliker,"Adana, Adana, Turkey",,solo,Adana
Serkan Turhan,"Adana, Adana, Turkey",,solo,Adana
Seyhan Karabay,"Adana, Adana, Turkey",,solo,Adana
Süleyman Kabaali,"Adana, Adana, Turkey",,solo,Adana
Tafoni,"Adana, Adana, Turkey",,solo,Adana
Taladro,"Adana, Adana, Turkey",,solo,Adana
Tanju Tuncel,"Adana, Adana, Turkey",,solo,Adana
Timur Savcı,"Adana, Adana, Turkey",,solo,Adana
Timuçin Esen,"Adana, Turkey",,solo,Adana
Tufan Güner,"Adana, Adana, Turkey",,solo,Adana
TİLT,"Adana, Adana, Turkey",,grup,Adana
Tını,"Adana, Adana, Turkey",,grup,Adana
Uğur İzgi,"Adana, Adana, Turkey",,solo,Adana
Yağmur Aydan,"Adana, Adana, Turkey",,solo,Adana
Yaşar,"Adana, Adana, Turkey",,solo,Adana
Yaşar Bayram Gül,"Adana, Turkey",,solo,Adana
Yaşar Seriner,"Adana, Adana, Turkey",,solo,Adana
Yeviduki,"Kütahya, Kütahya, Turkey","Adana, Adana, Turkey",solo,Adana
Yusuf Baymaz,"Seyhan, Adana, Turkey",,solo,Adana
Yılmaz Duru,"Adana, Adana, Turkey",,solo,Adana
Yılmaz Güney,"Yenice, Adana, Turkey",,solo,Adana
Yılmaz Şerif,"Adana, Adana, Turkey",,solo,Adana
Zafer Dilek,"Adana, Adana, Turkey",,solo,Adana
Zehra Sabah,"Adana, Adana, Turkey",,solo,Adana
Zeliha Kendirci,"Adana, Adana, Turkey",,solo,Adana
Ömer Can,"Adana, Adana, Turkey",,solo,Adana
Özgür Meriç,"Adana, Adana, Turkey",,solo,Adana
Özlem Onursal,"Adana, Adana, Turkey",,solo,Adana
İrfan Atasoy,"Adana, Turkey",,solo,Adana
İsyan Tetick,,"Seyhan, Adana, Turkey",solo,Adana
Şahika Tekand,"Adana, Turkey",,solo,Adana
Şahin Kendirci,"Adana, Adana, Turkey",,solo,Adana
Şahin Sarsu,"Adana, Adana, Turkey",,solo,Adana
Şener Şen,"Adana, Turkey",,solo,Adana
Թաթուլ Ալթունյան[Tatul Altunyan],"Adana, Adana, Turkey",,solo,Adana
Ali Tekintüre,"Besni, Adıyaman, Turkey",,solo,Adıyaman
Devrim Evin,"Gölbaşı, Adıyaman, Turkey",,solo,Adıyaman
Hamit Yıldırım,"Adıyaman, Turkey",,solo,Adıyaman
Kadim Ayin,,"Kâhta, Adıyaman, Turkey",solo,Adıyaman
Kahtalı Mıçı,"Kâhta, Adıyaman, Turkey",,solo,Adıyaman
Latif Doğan,"Adıyaman, Adıyaman, Turkey",,solo,Adıyaman
Mehmet Ünal,"Adıyaman, Adıyaman, Turkey",,solo,Adıyaman
Sırrı Süreyya Önder,"Adıyaman, Adıyaman, Turkey",,solo,Adıyaman
Zeynel Abidin Ağgül,"Adıyaman, Adıyaman, Turkey",,solo,Adıyaman
Aslıhan Malbora,"Afyonkarahisar, Afyonkarahisar, Turkey",,solo,Afyonkarahisar
Hüdaverdi Yavuz,"Afyon, Turkey",,solo,Afyonkarahisar
Nizam Ergüden,"Afyonkarahisar, Afyonkarahisar, Turkey",,solo,Afyonkarahisar
Nurgül Yeşilçay,"Afyonkarahisar, Afyonkarahisar, Turkey",,solo,Afyonkarahisar
Unalterable Objection,,"Afyonkarahisar, Afyonkarahisar, Turkey",solo,Afyonkarahisar
Yücel Çakmaklı,"Bolvadin, Afyonkarahisar, Turkey",,solo,Afyonkarahisar
Zeki Yılmaz,"Çobanlar, Afyonkarahisar, Turkey","Afyonkarahisar, Afyonkarahisar, Turkey",solo,Afyonkarahisar
Ömer Sinir,"Afyonkarahisar, Afyonkarahisar, Turkey",,solo,Afyonkarahisar
Νίκος Στεφανίδης[Nikos Stefanidis],"Afyonkarahisar, Afyonkarahisar, Turkey",,solo,Afyonkarahisar
CVRTOON,,"Ağrı, Ağrı, Turkey",solo,Ağrı
Hozan Serhad,"Eleşkirt, Ağrı, Turkey",,solo,Ağrı
Nejla Demirci,"Ağrı, Ağrı, Turkey",,solo,Ağrı
Nizamettin Ariç,"Ağrı, Ağrı, Turkey","Berlin, Berlin, Germany",solo,Ağrı
Salih Kalyon,"Ağrı, Turkey",,solo,Ağrı
Tekin Girgin,"Ağrı, Ağrı, Turkey","Los Angeles, CA, United States",solo,Ağrı
Yusuf Çetin,"Ağrı, Turkey",,solo,Ağrı
Çayan Karataş,"Ağrı, Ağrı, Turkey",,solo,Ağrı
Çağlayan Neyman,"Ağrı, Ağrı, Turkey",,solo,Ağrı
Ömer Polat,"Ağrı, Ağrı, Turkey",,solo,Ağrı
Şahê Bedo,"Diyadin, Ağrı, Turkey",,solo,Ağrı
Şakiro,"Ağrı, Ağrı, Turkey",,solo,Ağrı
Ali Fuat Kalkan,"Amasya, Amasya, Turkey",,solo,Amasya
Anıl Emre Daldal,"Amasya, Amasya, Turkey",,solo,Amasya
Asım Yücesoy,"Amasya, Amasya, Turkey",,solo,Amasya
Elif Baysal,"Amasya, Amasya, Turkey",,solo,Amasya
Emre Fel,"Amasya, Amasya, Turkey",,solo,Amasya
Fatma Aydoğan,"Gümüşhacıköy, Amasya, Turkey",,solo,Amasya
Göknur,"Amasya, Turkey",,solo,Amasya
Mehmet Barış Günger,"Amasya, Amasya, Turkey",,solo,Amasya
Muharrem Gürses,"Merzifon, Amasya, Turkey",,solo,Amasya
Nihâl Erkutun,"Amasya, Amasya, Turkey",,solo,Amasya
Sadun Aksüt,"Merzifon, Amasya, Turkey",,solo,Amasya
Sadık Gürbüz,"Amasya, Amasya, Turkey",,solo,Amasya
Vedad Gençturk,"Amasya, Amasya, Turkey",,solo,Amasya
Yakup Yavru,"Amasya, Amasya, Turkey",,solo,Amasya
Çağlar Çorumlu,"Amasya, Turkey",,solo,Amasya
İrfan Özbakır,"Amasya, Amasya, Turkey",,solo,Amasya
Şencan Güleryüz,"Amasya, Amasya, Turkey",,solo,Amasya
Şule Güleç,"Amasya, Turkey",,solo,Amasya
...Aaaarrghh...,"Ankara, Ankara, Turkey",,solo,Ankara
A Ghost in Seoul,,"Ankara, Ankara, Turkey",solo,Ankara
A-Tek,"Ankara, Ankara, Turkey",,solo,Ankara
A. Taner Elhan,"Ankara, Turkey",,solo,Ankara
A.Ş.K. Trio,"Ankara, Ankara, Turkey",,grup,Ankara
Abdullah Firat,,"Ankara, Ankara, Turkey",solo,Ankara
Abolish,"Ankara, Ankara, Turkey",,grup,Ankara
Accursed,"Ankara, Ankara, Turkey",,grup,Ankara
Acrosome,,"Ankara, Ankara, Turkey",solo,Ankara
Adalet Ağaoğlu,"Nallıhan, Ankara, Turkey",,solo,Ankara
Afazi,"Ankara, Ankara, Turkey",,solo,Ankara
Aga B,"Ankara, Ankara, Turkey",,solo,Ankara
Against Decay,"Ankara, Ankara, Turkey",,grup,Ankara
Ahiyan,"Ağrı, Ağrı, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Ahmet Fuat Onan,"Ankara, Ankara, Turkey",,solo,Ankara
Ahmet Güvenç,"Ankara, Ankara, Turkey",,solo,Ankara
Ahmet Haluk Ünal,"Ankara, Turkey",,solo,Ankara
Ahmet Kanneci,,"Ankara, Turkey",solo,Ankara
Ahmet Melih Yılmaz,"Ankara, Ankara, Turkey",,solo,Ankara
Ahmet Mümtaz Taylan,"Ankara, Turkey",,solo,Ankara
Ahmet Saraçoğlu,"Ankara, Turkey",,solo,Ankara
Ahmet Sönmez,"Ankara, Ankara, Turkey",,solo,Ankara
Ahmet Tansu Taşanlar,"Ankara, Ankara, Turkey",,solo,Ankara
Airfax,"Ankara, Ankara, Turkey",,grup,Ankara
Akin Sevgör,,"Ankara, Ankara, Turkey",solo,Ankara
Akrep Nalan,"Ankara, Ankara, Turkey",,solo,Ankara
Akın Sevgör,"Ankara, Ankara, Turkey",,solo,Ankara
Al'York,"Ankara, Ankara, Turkey",,grup,Ankara
Aleem Bilal,"Ankara, Ankara, Turkey","Washington, DC, United States",solo,Ankara
Ali Barkın,"Ankara, Ankara, Turkey",,solo,Ankara
Ali İpin,"Ankara, Ankara, Turkey",,solo,Ankara
Almila Bagriacik,"Ankara, Ankara, Turkey","Berlin, Berlin, Germany",solo,Ankara
Alp Aslan,"Ankara, Ankara, Turkey",,solo,Ankara
Alp Korkmaz,"Ankara, Ankara, Turkey",,solo,Ankara
Alpay,"Ankara, Ankara, Turkey",,solo,Ankara
Alper Babayağmur,"Ankara, Ankara, Turkey",,solo,Ankara
Alper Yıldırım,,"Ankara, Ankara, Turkey",solo,Ankara
Alper Çağlar,"Ankara, Turkey",,solo,Ankara
Alperen Duymaz,"Ankara, Ankara, Turkey",,solo,Ankara
Alphan Dikmen,"Ankara, Ankara, Turkey",,solo,Ankara
Alphan Eşeli,"Ankara, Ankara, Turkey",,solo,Ankara
Altan Akışık,"Ankara, Ankara, Turkey",,solo,Ankara
Andaç Haznedaroğlu,"Ankara, Ankara, Turkey",,solo,Ankara
Ankara Yaylı Çalgılar Dörtlüsü,"Ankara, Ankara, Turkey",,grup,Ankara
Ankaralı Turgut,"Ankara, Ankara, Turkey",,solo,Ankara
