isim,Spotify_ID,Followers,Popularity,Spotify_Tur,EveryNoise_Tur
Duman,6RTC1abMgBC7Krg6qJQHJh,7613575,63,"anatolian rock, turkish pop",anadolu rock
Barış Manço,3eVuump9qyK0YCQQo4mKbc,3104914,61,"anatolian rock, arabesk, turkish pop",anadolu rock
Cem Karaca,1lIbZfJvMQRqzhtCQsg5EI,2032430,55,"anatolian rock, arabesk, turkish pop",anadolu rock
Haluk Levent,1UV3ii5FWWXF3jkZVeA2bb,1622244,52,"anatolian rock, arabesk, turkish pop",anadolu rock
Selda Bağcan,2NGRETzxjeN4b9o3OGY6Yn,1561105,55,"anatolian rock, arabesk",anadolu rock
Kâzım Koyuncu,03YhQQYWzaAU3HAQAJzIHG,1168798,52,"anatolian rock, arabesk, karadeniz folk, oyun havasi",anadolu rock
Barış Akarsu,0rHmlPHC63IGBTrtQEdDw6,1006479,51,"anatolian rock, karadeniz folk, turkish pop",anadolu rock
Gülden Karaböcek,2wioAsnSZ6JmA6I7Y7PDkc,883059,53,"anatolian rock, arabesk",anadolu rock
Feridun Düzağaç,7MZj0XxqxlCZPj6JsMQq0Z,839316,46,"anatolian rock, turkish pop",anadolu rock
Edip Akbayram,0oFiWQjHNvksJlD0aWzBZM,827582,51,"anatolian rock, arabesk, karadeniz folk, turkish pop",anadolu rock
Erkin Koray,4o3Nv2BAyoZkyGaRXv4rT3,818900,50,"anatolian rock, arabesk",anadolu rock
Kıraç,4XYD8wP6f1sfLtWfrY1luF,690554,55,"anatolian rock, arabesk, turkish pop",anadolu rock
Fikret Kızılok,6RXvZtTyld421VPmJtLqkL,427734,45,"anatolian rock, arabesk, turkish pop",anadolu rock
Murat Göğebakan,2TUYtKan3NuDy9JexzL4db,366921,54,"anatolian rock, arabesk",anadolu rock
Özdemir Erdoğan,691svprNZf0oJTi1L0eYy6,251299,49,"anatolian rock, arabesk, turkish pop",anadolu rock
Murat Kekilli,1av8oluskzg2mOBajdzRI9,234033,44,"anatolian rock, arabesk, turkish pop",anadolu rock
Moğollar,5dMPhj9s9v91MpdGNpInLy,232291,36,"anatolian rock, oyun havasi",anadolu rock
Ayna,1Jx9NS6PLxRIVCCv0NxGjA,183254,49,"anatolian rock, turkish pop",anadolu rock
Haramiler,6F9lYsXc6Z7WMX3DtSXDLa,158175,42,anatolian rock,anadolu rock
3 Hürel,2EgONoO8gQPmF5bh4IxxPD,126106,36,anatolian rock,anadolu rock
Hümeyra,0WkxC6x6tZhtSj8BT9ZWaU,114500,42,"anatolian rock, arabesk, turkish pop",anadolu rock
Mavi Işıklar,4KQnCYDy1CQpfViAK1QCZL,99844,44,anatolian rock,anadolu rock
Cahit Berkay,2NaZUnDZ5k0I6MjUFmVX8T,41167,13,"anatolian rock, turkish pop",anadolu rock
Kurtalan Ekspres,2O7WjRnnODRpJAzKDtTb0C,27397,29,anatolian rock,anadolu rock
Cahit Berkay,0aUFnapWUvRIYJL6i3Jf60,12540,30,anatolian rock,anadolu rock
Necati ve Saykolar,7FcuvAno2oJYKcbRHpSTZu,9989,19,anatolian rock,anadolu rock
Kardaslar,5Nb1W1vGOBrPwwwVzjYsk6,3348,28,anatolian rock,anadolu rock
Nathan Davis,3iF9mUqkeDgHbydOvDYqjO,3006,11,"anatolian rock, bebop, hard bop, jazz",anadolu rock
Dervişan,3FFPhZmOPdsIhmCRg8brsh,1777,,anatolian rock,anadolu rock
Korkut Koray,2MQVF0lBHTEJRazf31uFGC,1638,6,anatolian rock,anadolu rock
Derdiyoklar,6IJX4PVgapZhv9ATacR9Gk,1636,4,anatolian rock,anadolu rock
21. Peron,5Z7ZS3IjRE9aKEEKJzWc7A,1097,3,anatolian rock,anadolu rock
Edirdahan,2MjWkKmDc8WyKWpVxYpEzx,326,,"anatolian rock, progressive rock",anadolu rock
Gültekin Kaan,0afHLOkfihfHDeuqrIssX0,70,0,anatolian rock,anadolu rock
Omar Faruk Tekbilek,0PLhi5tAE8QcXnuEMui2Oe,44423,38,sufi,arab folk
No Blues,6j4ufFak1GgjYxzRDivcjS,44337,33,,arab folk
Arto Tunçboyacıyan,13TxYlQsBj3sUlIuyqMz6g,23897,30,sufi,arab folk
Yurdal Tokcan,0Vvmhc3Nuu2DawzJH0f7Nv,4177,18,"early music, mediaeval, medieval, traditional music",arab folk
Serhat Durmus,1R2iRWvuwwokMKGHirNGTD,409771,55,,arab trap
DJ ORCUN,7vFc2StB0KNFkq8KqKciGI,13164,40,,arab trap
Cris Taylor,35IHRUK5Kx426lQ2KeIB0o,9559,19,,arab trap
Mazlum Uruc,6SyaPdwoTrMGsWOsqeb5Av,5013,4,,arab trap
Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,9773059,,arabesk,arabesk
Ebru Gündeş,5AboYJAlMb9FGadTTDKRoN,4345024,69,"arabesk, turkish pop",arabesk
İbrahim Tatlıses,0gPgE6wLLiPnrakh9WcsdQ,3101707,67,"arabesk, oyun havasi, turkish pop",arabesk
Bergen,0OjAaymO59uGiFmfpJrQpl,1839625,,arabesk,arabesk
Sibel Can,2IiSMrjpXiteqhISWXkdUG,1769179,59,"arabesk, turkish pop",arabesk
Cengiz Kurtoğlu,73wqUOsgp2DZd4IAmf48Gn,1565902,57,arabesk,arabesk
Azer Bülbül,2E7qpjo4NUBhV8tEUdPVkJ,1462981,60,"arabesk, oyun havasi, turkish hip hop",arabesk
Ferdi Tayfur,6WLkcqDXHgfe80TNMH1C5z,1429210,,arabesk,arabesk
Ebru Yaşar,0Qbd0AGWuzggX61s306wZN,1171169,61,"arabesk, oyun havasi, turkish pop",arabesk
Kibariye,1btod3aNfVEYNrEzIQgx90,1021199,54,"arabesk, oyun havasi, turkish pop",arabesk
Hakan Altun,2AhmWHekrahJri4f5e08Tf,975251,51,"arabesk, turkish pop",arabesk
Güllü,533wb2q2kU814aFEWaIlG2,960363,58,arabesk,arabesk
Orhan Gencebay,52S9QMQQA2k0LjtELttOVQ,916417,49,arabesk,arabesk
Ümit Besen,2Cusk8DpjH8r3BDvuN3ufo,752897,51,"arabesk, turkish pop",arabesk
İbrahim Erkal,0Fd2y4arCJPyGqNkZDq2vZ,688622,51,arabesk,arabesk
İntizar,3mv52kRne0G5Las6jClwj0,546923,56,"arabesk, oyun havasi, turkish pop",arabesk
Mahsun Kırmızıgül,6MQG9Qgu1mfyG5AdqGWcnU,508005,,"arabesk, oyun havasi, turkish pop",arabesk
Muazzez Ersoy,2tgJQAu3rn7N2Tvee9yPZy,499901,45,"arabesk, oyun havasi",arabesk
Uygar Doğanay,24hR7ZaxdlZLaTnzZOlwMh,434966,,arabesk,arabesk
Ceylan,396gqBt8a2NN7gXtDWF7AJ,363827,49,"arabesk, oyun havasi, turkish pop",arabesk
Cansever,4i6eVyyyPdSryQCzO7GK0K,346705,,"arabesk, oyun havasi",arabesk
Linet,31TJIzpuFOgX8owcV3nTrE,333058,57,"arabesk, turkish pop",arabesk
Sinan Özen,7tEE59VhmyLsNINjKCA8ug,284562,42,"arabesk, oyun havasi, turkish pop",arabesk
Bülent Ersoy,4ZXSO4o28gKUfDbnrwtPmd,279297,50,"arabesk, turkish pop",arabesk
Hakan Taşıyan,3Q4vUSwEp9P7ussNXBpHbZ,211405,,arabesk,arabesk
Emrah,7fq3nZT2euZJrDRkV0u5Oe,211220,,"arabesk, turkish pop",arabesk
Bülent Serttas,4gW3frVd81rA0rxAclZnlR,200798,,"arabesk, oyun havasi, turkish pop",arabesk
Orhan Ölmez,2abTtZjrdqE7fitNirW4Qy,196575,38,"arabesk, turkish pop",arabesk
Gökhan Doğanay,3fRY4aztcLLh1Hwlq5yc5c,185297,,"arabesk, oyun havasi",arabesk
Hakkı Bulut,7uFzQqE63ZhYMgPAGxdNTM,181138,,"arabesk, oyun havasi",arabesk
Arap Şükrü,0WAK3e5DJ0l35Fu3mbCAwq,173186,,arabesk,arabesk
Niran Ünsal,1BvyGRrehtERIWjXKsgzWo,159909,44,"arabesk, turkish pop",arabesk
Arif Susam,7lnUSgvhwVJ098VhyN9Rgr,157331,,arabesk,arabesk
Yurtseven Kardeşler,3zhCUEmE2pSehyBhChMb0O,145674,,"arabesk, oyun havasi, turkish pop",arabesk
Metin Işık,7KutQsUSxrYlTZACSGEN8L,135028,,"arabesk, oyun havasi",arabesk
Oğuz Yılmaz,7KqJ5Sb5sc4skvUCNftzGV,132884,43,"arabesk, oyun havasi",arabesk
Selami Şahin,4EBYDiIrM8szoEusJsTGak,106472,43,"arabesk, turkish pop",arabesk
Selahattin Özdemir,6EwIOKoGaVIAo8nNAD0BKq,99241,,arabesk,arabesk
Gökhan Güney,3WS5nkXR6SFOM5CBaVCRrK,98491,,arabesk,arabesk
Etkin,01dd8uibSU2GK5BIzA2bnN,98417,,"arabesk, oyun havasi",arabesk
Hüseyin Altın,6mIZXmKzEY920fEhTQuZGJ,96962,,arabesk,arabesk
Berdan Mardini,2oeGCE0qqEpX9wHC2pn4D3,94823,,"arabesk, oyun havasi",arabesk
Devran Çağlar,6rRbz3jKrfB566wnLBYSCW,90076,,arabesk,arabesk
Latif Doğan,43kI5nP3x70CtCm0gTRdcf,88238,,"arabesk, oyun havasi",arabesk
Güçlü Soydemir,4oC3eR1wciwpIcxHXwcKJl,81467,,arabesk,arabesk
Tüdanya,6qs7wpBhVfTFqFgfuikOEj,79175,,arabesk,arabesk
Ömer Danış,0I8ZWFDaNw6PHaBFK8gpau,73123,,"arabesk, oyun havasi",arabesk
Nejat Alp,7zuVdwGGbHPzxuqWs4LKUc,71575,,arabesk,arabesk
Uğur Karakuş,3ZSy5XETvBGpaP5eU96X09,71009,,"arabesk, oyun havasi",arabesk
Atilla Kaya,55dxJQtMgnMst1oFt98djw,65287,,arabesk,arabesk
Murat Kursun,3G3LOZGduYLHzWrnvXZ5Hg,62012,,"arabesk, oyun havasi",arabesk
Adnan Senses,3cVYOxG4nq0Grh5er8ZKkk,60773,,"arabesk, oyun havasi",arabesk
Burhan Çaçan,0uc6hSyVbXHjRvEqeIpxMn,59765,,"arabesk, oyun havasi",arabesk
Enver Yılmaz,0mft5ucnpcLV3DVvdxPrP4,58935,,arabesk,arabesk
Erol Budan,4r9t7rBLK2rjouMVJz4hdx,55923,,arabesk,arabesk
Mahmut Tuncer,7vjYN7lUizAWlMRxH96VtK,54486,38,"arabesk, oyun havasi, turkish pop",arabesk
Ankaralı Turgut,6FwhwuxGyBiySLyTPit632,53023,32,"arabesk, oyun havasi",arabesk
Yusuf Harputlu,3Ffr0HQVxNP9vJME5lvmzN,52206,,arabesk,arabesk
Hasan Yılmaz,4RpYd8LEZ1NFPknS0GfEdf,46885,36,"arabesk, oyun havasi",arabesk
Mine Koşan,2ditOd9fNYAscQhUmYhfXh,46067,,arabesk,arabesk
Gülnaz,6MOslpXqNim9FB9roqWrlg,44344,,arabesk,arabesk
Coskun Sabah,3t9amHxqH06I4C0TrXgz86,41243,,arabesk,arabesk
Ümit Yaşar,5YugT8CVb9xBDSKs8EvHKR,39699,,arabesk,arabesk
Eyüphan,2Cmg4o3fowOPU0gUckQevs,39656,,arabesk,arabesk
Eda Doğanay,1FtJZKdjpUUSXffDbKrDVm,39263,,arabesk,arabesk
Metin Şentürk,2uCyCZTOcXN7OmSrEcekT8,38710,,"arabesk, traditional folk, turkish pop",arabesk
İzzet Yıldızhan,5iUmW1jVppNVIKVcr8Ut3n,37386,,"arabesk, oyun havasi",arabesk
Hatice,7laVsTuDSb6W4ZofrBZseL,36770,,"arabesk, karadeniz folk, oyun havasi, turkish pop",arabesk
Cankan,4ig7U6uZzEDp3nlpWlE8yq,35514,,"arabesk, turkish pop",arabesk
Zeki Erdem,78wDVx6qFu0Cm2zCdwjWN1,35462,,arabesk,arabesk
Taner Olgun,1gPllJoBfKLSOK6ObJKVjI,34551,,"arabesk, karadeniz folk, oyun havasi",arabesk
Yakup Ekin,0UI878LLMOdo8LKz85hEu0,31508,,"arabesk, turkish pop",arabesk
Şahin Kendirci,4y2dYEsfWCKxncn9nsUdcY,31094,,"arabesk, oyun havasi",arabesk
Ankaralı Coşkun,3tG5FkNsoq0TYXhviTMAHE,30713,,"arabesk, oyun havasi",arabesk
Mustafa Küçük,21wUPPJiWMAfuP5G6akLbV,29862,,"arabesk, karadeniz folk, oyun havasi",arabesk
Alihan,4BQHFFKuxuekkQ5bzFfrl6,28507,,arabesk,arabesk
Hüzün,5ah9Qmi20loVCb4Lzf3Yxo,27659,,arabesk,arabesk
Sinan Zorbey,7si5RPHEQYUHtN4hPp5W8Q,25071,,arabesk,arabesk
Ferman Akdeniz,5B9K2YDPWSbgjfVLu1Xaor,24391,,arabesk,arabesk
Harika Avcı,7kSXfKnz2ZHGNyBN1PF7FV,23570,,"arabesk, turkish pop",arabesk
Gaye Aksu,4HtJueBZr7JJ7ZlQHNJzql,22800,,"arabesk, karadeniz folk",arabesk
Cavit Karabey,12Nw7al9M3606P4vaJIleA,21952,,arabesk,arabesk
Esengül,5VnmwZE6S2STk83HEinfAG,21711,,"arabesk, traditional folk",arabesk
Cengiz İmren,5s7jVGtl4ggIcrBEOgAfgP,21206,,"arabesk, oyun havasi, turkish pop",arabesk
Ugur Arslan,6hYwnbYkyDgxo5dDL3nKxr,21141,,arabesk,arabesk
Ankaralı Yasemin,7LV6zJEDmlEDBdCWtY0NGn,20638,30,"arabesk, oyun havasi",arabesk
Kader,2kBZ1BBlOTx9lSqbdayt2M,20177,,"algerian chaabi, arabesk, turkish pop",arabesk
Küçük İbo,4QXTCh4sOcer3ZMUkqL6i8,19826,,arabesk,arabesk
Tuncay Tuncel,1pRYZKg3tv8VJN1TfrCUXJ,19431,,"arabesk, oyun havasi",arabesk
Hakan Gürses,7tO7OuUIthTRIlnvH9mO8i,19192,18,arabesk,arabesk
Nuray Hafiftas,3BslyA3laPoYvt2sY1z9PG,18505,45,"arabesk, oyun havasi",arabesk
Veysel Uluağaç,7d1k0J5746V02NZ2a4b2Em,17939,,"arabesk, oyun havasi",arabesk
Ayhan Aşan,20AWjarFQxKd05yInuHzgt,16348,,"arabesk, oyun havasi",arabesk
Nuri Sesigüzel,4GnCtHBOhSZt9XOYAlV54G,16172,23,"arabesk, oyun havasi",arabesk
Şebnem Kısaparmak,5wKPFWvpqhvWQtlyZUo83U,16048,,arabesk,arabesk
Ayşe Dinçer,10hvYFe8uqgX8uoarTU3LP,15926,,"arabesk, oyun havasi, turkish pop",arabesk
Derviş,7E7DexvnrIR4szN1OSvmqw,15082,,arabesk,arabesk
Mazlum,5wlqkqo2Pz9WKZQnNcCRpq,14490,,arabesk,arabesk
Vahdet Vural,0BeoHj2lY542bzDsqv63rg,13822,,arabesk,arabesk
Ali Seven,38kFzcTZdYMWxqnkIR2eI0,13604,,"arabesk, tropical music",arabesk
Serdem Coşkun,3hMdxNFOiVpd2MvWfegr9c,12860,,"arabesk, turkish pop",arabesk
Songül Karlı,1FiYcJ7qneilUV04LX8sY1,12641,34,"arabesk, oyun havasi",arabesk
Toprak,0CGNmvTWWHP8ma72Zz9GZB,11823,,"arabesk, oyun havasi",arabesk
Ahmet Selçuk İlkan,1oQWUhY5ph2NKxrdsTPiHk,10830,,arabesk,arabesk
Güler Işık,1PTah1bsctWKvQvjPbgGGL,10314,,"arabesk, oyun havasi",arabesk
Yunus Bülbül,3EXGKe9HqAzFRHPuo9za5i,10236,,arabesk,arabesk
Ali Tekintüre,2IIMcq3R5ethW6WC9K44mJ,9583,17,arabesk,arabesk
Malatyalı İbrahim,7kqZ5fww6TfafXVLf1Yz2I,7695,,arabesk,arabesk
Aysel Seker,0jjmFqtAhdMr2Zz9TYjTpk,7579,,"arabesk, karadeniz folk",arabesk
Mersinli İsmail,2v2HxLMkGWROGdHc2IWcuu,7281,,"arabesk, oyun havasi",arabesk
Muhittin Seçen,1wvkkL9QuC8CIhbABZNe8j,6573,,arabesk,arabesk
Hüseyin Tatlı,5tAFPhjnGHrX5AKOiPNmFa,6291,,arabesk,arabesk
Mehmet Yakar,6nvD8fUAq3fGgcEW9vu2Db,6211,,"arabesk, oyun havasi",arabesk
Yağız,33kp4aSRQ5uHnMpV7QUaEE,5936,,"arabesk, oyun havasi",arabesk
Mustafa Uğur,1ODYSEngtWDs9xaU1fYPOm,5182,,arabesk,arabesk
Nihat Doğan,4mNXvebeUqgyzNexIm3iDg,3191,,"arabesk, oyun havasi",arabesk
Şahin,0GVPPSJYn48dqLMQ5DQxAx,1204,,"arabesk, german hip hop",arabesk
Collectif Medz Bazar,5IopNiMINROAQ0eldP2AzW,21369,27,,armenian folk
Feryal Öney,4I392Ox22w5GVGe37VBjPv,24667,21,"anatolian rock, oyun havasi",azeri traditional
Azerin,3ueLoXrfqpMLwzhabmfng0,12194,28,karadeniz folk,azeri traditional
Aşık Veysel,7rVsiFwBEEmTNoStle68F3,442673,33,"anatolian rock, arabesk",baglama
Muharrem Temiz,4a6cyIkxFsKephNfHu1UzV,32452,31,arabesk,baglama
Cem Erdost İleri,5FIdAEtV7AO0qZ0a43vgtq,19438,35,,baglama
Kerim Yağcı,0JIgLEXOCtRHoQTdemMTBP,15138,32,"arabesk, karadeniz folk",baglama
Okan Murat Öztürk,1fxGZzcaalf3YcB6wd22MY,15050,21,"arabesk, traditional music",baglama
Hüseyin Korkankorkmaz,45YosgeYaWkQK7VT9PkThE,14722,32,,baglama
Hasan Mutlucan,23APOVagRCKlVE9eGuRUpa,13203,37,anatolian rock,baglama
Mehmet Erenler,2sJtLqwvRoXS6sVmEJ9Y1q,12902,23,oyun havasi,baglama
Vedat Gündoğdu,2PDU4Mni3Z42ZB6dPofP4a,11620,31,arabesk,baglama
Ismail Özden,1xSYEfg8oqRGDS9Uw7InUK,11562,37,arabesk,baglama
Ozay Gönlüm,7mXBoditK2ncJt3PCAlw4S,10999,21,oyun havasi,baglama
Cem Dogan,47kA6xAt9OFY3t5YDEYmJL,10270,21,,baglama
Tuncay Akdogan,0C8voMdraanzlrHBhff6NM,10232,17,,baglama
Ali Ekbar Cicek,147P0AauHLLO3U5HKbLmgK,9283,1,"sufi, traditional music",baglama
Sercan Öztürk,6fFhf36B6oOmT6hfUzucEV,8275,26,,baglama
Seval Eroğlu,2c3TCpj9AVPPmxJyCPx0d3,8086,16,karadeniz folk,baglama
Kemal Dinç,12FuQvEk1IBABzEHDGqxHJ,7083,23,karadeniz folk,baglama
Lale Koçgün,6eIGsRuZiR4uNjIC8v8mXp,6370,27,,baglama
Bengi Bağlama Üçlüsü,7ogb4SkT5lFwhPiMa9gGjZ,5961,9,traditional music,baglama
Gökhan Kılıç,4zpTkjgUn4hkvODSFvyQl1,5579,25,arabesk,baglama
Tahir Palalı,6p078QTpiL4xqmxpkiWONR,5537,17,traditional music,baglama
Coşkun Karademir,2XtF4tyGEl7OOewQEoEtFN,5411,24,sufi,baglama
Cihan Cengiz,0ywGnVqyBF3L8uRKGNhvjh,3935,20,gnawa,baglama
Hisarli Ahmet,0YYRZpSNQ6HYD9bgaIPKKu,3688,3,"oyun havasi, traditional music",baglama
Cihan Çelik,20AuIqRt9RdAOBl0wSbrQ5,3392,14,,baglama
Onur Kocamaz,3qMAlfIQfi6nMeaYv9rKBn,3176,15,traditional music,baglama
Ulas Özdemir,5gkaRWS2qDK3x7Wu3CdDhv,2826,7,traditional music,baglama
Erkan Çanakçı,2eGAjDiirotFABTwADNOXY,2800,12,traditional music,baglama
Rıza Kılıç,6Df168C4DYcu98g50uf4Mx,2796,7,,baglama
Özge Çam,2EKUmlkTUuhZzWVHBgdZ4G,2671,14,,baglama
Gökhan Dülek,2g8vTsEIFd4deJzQwHpsVH,2634,6,,baglama
Nevid Müsmir,6FwSDn33gIpgy9cl92H9Kn,2327,3,,baglama
Derya Çağlayan,2QHpzoEJwgQzQ2b0knMG9S,2278,6,space music,baglama
Bağlama Takımı,50OzuvjbrG6IsoXY9YvhKg,2167,26,arabesk,baglama
Bayram Bilge Tokel,6xLldSkaJwtJg5NbT6tgVE,1980,6,oyun havasi,baglama
Mustafa Kılçık,7AZgVHEbwIL58DP1sHCh5d,1875,6,space music,baglama
Ersin Perçin,4QNrsl7QaFK9otoCPbtPKQ,1868,13,,baglama
İsmail Çakır,25QpYiEfeYzdNHMYOG9fE7,1834,13,"arabesk, oyun havasi",baglama
Cem Çelebi,6emCXI1I0NM9Fn0b7mD3h0,1499,11,,baglama
Hikmet Tosun,01NxA15N25z4ZXNmdlGbpW,1468,2,,baglama
Ali Dost,6REBQH58wp614Ds22lZllY,1297,18,,baglama
Erkan Akalın,1pTSRIR7IyO5ZgA62w7RHz,1192,12,,baglama
Ahmet Özdemir,27bOTk2hwiVxHrsjG5UqGz,1178,15,oyun havasi,baglama
Zeki Çağlar Namlı,1qbgnBj22Pn9SJUfsD2FrB,813,1,,baglama
Gültekinler,32WQGVPRGlnFum9dHxINxp,776,4,,baglama
Ali Kaya Arı,20aGgmtdVYDvlEZr0lQhgU,717,10,,baglama
Taner Akyol,2n6C5DUYrFtBDsOJuioFkG,495,2,,baglama
Murat Ertel,0xL4lPu0avBlTeNCXUA5B5,487,7,"anatolian rock, jam band",baglama
Nevzat Karakış,0QfT22U57XjvPK7KzYqY2y,448,2,,baglama
Bilal Ercan,5lc0iC8GGVoqKrLVfq9Nay,266,2,arabesk,baglama
Ertaş Erzincan,6sWsBAJ5tKOfyl39f8L3Z5,149,2,,baglama
Cano İsmail,7IChtrNIQsYaets1E9WGDX,90,0,,baglama
Yaşar Uslu,1jxLpqjiQ2xm2mPguoeoT6,34,0,arabesk,baglama
Hakan Demir,0BLZzijNWYGaJjxRIgN49c,5,0,,baglama
Türküm,6OmEJA1myxyRYNgU016xHY,25725,27,edm trap,bass trap
David Ezra Okonsar,2mRKh9Lvpa1w2KRpd1J91r,130,,classical piano,belgian classical piano
Neşet Ertaş,1afML5pJuVr3ye8TGyYcV2,3269305,52,"anatolian rock, arabesk, karadeniz folk, oyun havasi",bozlak
Engin Nursani,77F1glwWTaaPwiK1QLzPMS,185247,53,arabesk,bozlak
Aşık Mahzuni Şerif,4kNfut5xtwFz4AraRDFarT,97305,43,"anatolian rock, arabesk, karadeniz folk, oyun havasi",bozlak
Tufan Altaş,0UxSX5g1BLYgUV7uwM6GfT,71376,43,"arabesk, oyun havasi",bozlak
Tahir Uçar,0s78FQHfWvPlHpqqqNK6Cx,64825,44,"arabesk, oyun havasi",bozlak
Aycan Öner,5iPNumB31JoSUYsQHWdXS0,61094,,"arabesk, oyun havasi",bozlak
İsmail Altunsaray,6eCCcDYDaPBeTuUEbhllw2,43497,33,"arabesk, karadeniz folk, oyun havasi",bozlak
Muharrem Ertaş,3o5s5dBNRSwEhSWW2GI6n6,26919,20,"arabesk, oyun havasi, traditional music",bozlak
Neşet Abalıoğlu,1T7kNb1ZEIy55ZfXSkAL1T,20192,,"arabesk, oyun havasi",bozlak
Mesut Dağlı,3gvkvnargnBRZM0WWGgbFr,16462,,"arabesk, oyun havasi",bozlak
Hacı Taşan,1HqctWgywjkvL2DDjEaguw,16161,19,"oyun havasi, traditional music",bozlak
Emrah Tezcan,3mzEltO2QkaMifxzHkwSdU,15862,,"arabesk, oyun havasi",bozlak
Muhlis Berberoğlu,6SHSUjGHvYozKBuGDtIJY5,15710,31,arabesk,bozlak
Okan Babacan,2DKLemc11pgmIGWJfiuHOS,14239,,"arabesk, oyun havasi",bozlak
Ekrem Çelebi,0UD0riDi8Kh2ySQ9oreUdC,13249,,"arabesk, karadeniz folk, oyun havasi",bozlak
Hulusi Gökmeşe,1CJQiav8aDJPs7LRa9yKKM,12843,,"arabesk, oyun havasi",bozlak
Olgun Şimşek,4tIabT0jSGwXqUMIX6Kavb,12313,,"arabesk, karadeniz folk",bozlak
Çekiç Ali,6D2UnpGDi9Vbeh9c2LZBoq,12153,28,"arabesk, oyun havasi",bozlak
Bektaş Dolu,2QtZHVC1b5iavQ5bPVwkOL,11176,,"arabesk, oyun havasi",bozlak
Halil Erkal,06wmlUg75G47K2FXBEDeyl,10681,,"arabesk, oyun havasi",bozlak
Çetin Akdeniz,47EYwt2gKp50aRR362fihj,8013,17,oyun havasi,bozlak
Umut Sülünoğlu,3bJqLKYeyR5QdTpzqVbPaV,7194,26,"arabesk, oyun havasi",bozlak
Bahri Altaş,3J1KOBPXfYQOioCb2Ex2Ad,6301,,"arabesk, oyun havasi",bozlak
Kamil Abalıoğlu,1ooHQopa1XM4XDLMO481D0,6258,,"arabesk, oyun havasi",bozlak
Emirhan Kartal,3UXMa767n2l41aKQ5MTCpx,4448,,arabesk,bozlak
Serhan Ilbeyi,0AM5px4Qd7UeFIV1aRv1Il,4362,,oyun havasi,bozlak
Erol Çöke,4oDfpHT6Ooc9dw84NAeCvA,3914,,"oyun havasi, traditional music",bozlak
Hüseyin Bozbayır,1Z4TBgjo2uysmdi4L8U2kv,2826,,oyun havasi,bozlak
Dursun Uçar,5zArfwPUC7QEftAI26GA3V,2664,,"arabesk, oyun havasi",bozlak
Eren Özütemiz,11b47Ovlw02wLBErkXfOYZ,2314,,arabesk,bozlak
Devrim Kaya,41RfmZt8Y1owcVDuf7q1Xw,2211,,,bozlak
Arafa Akyol,2A2uOK5yrnQCdgZq1dUVB5,1659,,"arabesk, karadeniz folk, oyun havasi",bozlak
Erkut Özkan,2ZDCC10TLm3EwgXK1p1BCW,1513,,oyun havasi,bozlak
Fatih Demirhan,6H7sMlegMVjwRlgfmJuhoe,1476,,arabesk,bozlak
Fahri Çelebi,5b1zvB5ToTcmmTFl3pLKSa,1440,,"arabesk, oyun havasi, traditional music",bozlak
Aytuğ Özdemir,01zcV6iS8Zmun3x98zUEAe,1102,,"arabesk, oyun havasi",bozlak
Aydın Ertürk,51fZSIOTrcd5JRPsAyiY7i,1069,,"arabesk, oyun havasi",bozlak
Nurettin Dadaloğlu,3r5BSflTsuPYGRnqjNJxem,913,,arabesk,bozlak
Haci Tasan,5rm6DVuxxpoiZqrLnUqNQU,799,,,bozlak
Aydın Çekiç,4PruZ3X6FJMcYIKtlmPjXC,786,,oyun havasi,bozlak
Haydar Akyol,6Md7osSfEXxeJlkBOLtKZo,776,,"arabesk, karadeniz folk, oyun havasi",bozlak
Muammer Öztaş,25rYBsA7NumQVIIQLZuqWZ,670,,"arabesk, oyun havasi",bozlak
Bayram Aracı,0EEhBSUuHofvzbopwObLQg,474,,traditional music,bozlak
Yasin Çakır,3aPudDQu76AiBYM0HqbolF,413,,"arabesk, oyun havasi",bozlak
Ahmet Yazkan,29Gzts1YASnXtpR5JlxsfD,341,,oyun havasi,bozlak
Mustafa Tatlıtürk,7LW3HIYe46mu3Kty29hA02,84,,,bozlak
Haşim Aslıhak,4QFxaXlm4YH2eBhsi66CDX,19,,,bozlak
Ümit Özdizlekli,4NOCxys3NHhGFj5LeGDXzX,16,,,bozlak
Ezginin Günlügü,6WDnC2nx6hEPdtcU2LLGtE,344910,46,"anatolian rock, turkish pop",classic azeri pop
Nesrin Sipahi,7KoyDRlXHKM8yRDr63ZDbj,28004,40,"anatolian rock, arabesk",classic azeri pop
Erol Evgin,6zzBsqAEDo53s2dSeZzWvo,305513,53,"anatolian rock, arabesk, turkish pop",classic turkish pop
Ayla Dikmen,74VZuXJwRTaBExjMhYBYi4,206870,,"anatolian rock, arabesk, turkish pop",classic turkish pop
Semiramis Pekkan,5vuQpKX1QG7WlQ40C27HfD,165105,,"anatolian rock, arabesk, turkish pop",classic turkish pop
Nil Burak,7xKyfYFRIHqXHrQh53yaug,99529,,"anatolian rock, arabesk, turkish pop",classic turkish pop
Alpay,54dXUQ28NmpBHImIXjRsUg,67816,,"anatolian rock, turkish pop",classic turkish pop
Dario Moreno,39rtUmVAGX9W1e2aXE9YkF,58210,,anatolian rock,classic turkish pop
