isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir,MusicBrainz_ID,wikidata_id,muzik_turu (Wikidata),Popularity,foto_url
Sezen Aksu,Sezen Aksu,64d1rUxfizSAOE9UbMnUZd,14571379.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebd32dbe03236eda653b1a2bd0
Müslüm Gürses,Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,9859993.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,erkek,Şanlıurfa,,,,,https://i.scdn.co/image/ab6761610000e5eb27b3b0e9154e12899b9ff22e
Ahmet Kaya,,1Y2FwScblyMxpLTrNdfwyU,7754167.0,Turkish Sanat & Klasik,,"arabesk, anatolian rock",Person,erkek,Malatya,3c555d1c-e392-4bd5-abf2-a638a9712f03,Q401893,Protest müzik,68.0,https://i.scdn.co/image/ab6761610000e5eb8104de0cf19874d911fb335c
Duman,Duman,6RTC1abMgBC7Krg6qJQHJh,7655264.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb5eedfda3da66eb4591be4fa7
UZI,UZI,51DevdOxIJin6DB1FXJpD1,7205495.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, drill",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebfa27f66f319b25d81452b876
Ezhel,Ezhel,6LnJKrtFnTEGdbWQ2riWCL,7160811.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",solo,erkek,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb9450a4efe117513d3ba47ded
BLOK3,BLOK3,1GMwSpFzrLd12jUX15bHB6,6968323.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop",solo,,Kocaeli,,,,,https://i.scdn.co/image/ab6761610000e5ebe7fa9e9863e296150e76e49d
Semicenk,Semicenk,1CcZoULzFHa8Uhwo6OlQcp,6384372.0,Turkish Pop,turkish pop,"turkish pop, arabesk, turkish hip hop",solo,erkek,Ordu,,,,,https://i.scdn.co/image/ab6761610000e5eba9debaf40b203ca6e3f9ac2b
Mabel Matiz,Mabel Matiz,1dpqJqIuNqideTvmxBsSku,5530254.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb61bbcbf13e5c22b2d8573f4a
Sagopa Kajmer,Sagopa Kajmer,1KXTegXtnCPKXjRaX1llcD,5495200.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, rap",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb6eb76d24f4d5055fbf2642c3
Lvbel C5,Lvbel C5,0V2oXYR7DtrZAEFeILRW2r,5361439.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop, drill",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb81262eb337ac9865d7c4ff5d
Ceza,Ceza,28Qbi9jTj2eej21P2mImZI,5290315.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebb828bbcfba35f4322dbe78e1
Ebru Gündeş,Ebru Gündeş,5AboYJAlMb9FGadTTDKRoN,4431090.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb089611d35599d38b83d1dcf8
Gazapizm,Gazapizm,2boacFGRX1WIo7NFS8B0F2,4233770.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",solo,erkek,Elazığ,,,,,https://i.scdn.co/image/ab6761610000e5ebd9d83936f9836fe140f53fad
Ati242,Ati242,6bGOmNBU1AOgttgOjh0ldf,4176730.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb131b7eea6da46e255fdf6908
Tarkan,Tarkan,2yMN0IP20GOaN6q0p0zL5k,4127643.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb9c5050e9882dd7513b83d250
Yıldız Tilbe,Yıldız Tilbe,4525TiJDbBD4mZJ7EZArT0,4068707.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb9dca7a4849a5d3c4ac20bc3d
Cem Adrian,Cem Adrian,2AWUCT9xtcvkjpFq1ZgpPj,3782304.0,Turkish Rock,turkish singer-songwriter,"arabesk, turkish pop",solo,erkek,Edirne,,,,,https://i.scdn.co/image/ab6761610000e5ebe392c7807c65139232ca40d2
No.1,No.1,4fR3W8XFXsqHB8f8IqEr1y,3729067.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb411422110634da0cd958b719
Neşet Ertaş,Neşet Ertaş,1afML5pJuVr3ye8TGyYcV2,3276360.0,Turkish Folk,bozlak,"arabesk, oyun havasi, karadeniz folk, anatolian rock",solo,,Kırşehir,,,,,https://i.scdn.co/image/ab6761610000e5eb23bb9081eb5614e8e8e81990
Emir Can İğrek,Emir Can İğrek,4XP7cGw4t8BqZ8Du5q3bHg,3244635.0,Turkish Rock,turkish alt pop,turkish pop,solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebb8e22583e734db284de948c8
Reynmen,Reynmen,1Fg19vpUJpAAPFjnKaVYVW,3218347.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish pop, turkish hip hop",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb08fad1214379b74219e14f23
Dolu Kadehi Ters Tut,Dolu Kadehi Ters Tut,0PhqM7UAxtvWYi5j4MwxSl,3201269.0,Turkish Rock,turkish alt pop,,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb0ccb0dd69f722ea633cdfd10
İbrahim Tatlıses,İbrahim Tatlıses,0gPgE6wLLiPnrakh9WcsdQ,3162898.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi, turkish pop",solo,erkek,Şanlıurfa,,,,,https://i.scdn.co/image/ab6761610000e5eb3c18a1aa50b5bbae720ed890
cakal,cakal,6CPZWzcKiOKkHn4L2XI4i2,3155901.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, drill",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb8f4be6522e0a596d0978efd8
Barış Manço,Barış Manço,3eVuump9qyK0YCQQo4mKbc,3122963.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop, arabesk",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb9ba87ad4475b7f4e31309962
Sefo,Sefo,1ITjgqpqMDJlqZGAK3mlPQ,3046354.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",solo,erkek,Samsun,,,,,https://i.scdn.co/image/ab6761610000e5eb86f5ad0ad4cbf69c50395eef
Ben Fero,Ben Fero,2kS0jWMkkFBL0mrl0VotD0,3013379.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,solo,,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5ebd6ce36a01e255383dbcc4a86
Yüzyüzeyken Konuşuruz,Yüzyüzeyken Konuşuruz,7gobcoscOfsY0nOeqqFzvU,2974171.0,Turkish Rock,turkish alternative rock,turkish pop,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb245d6eec4e995c39cc7c482d
Şebnem Ferah,Şebnem Ferah,74xBVPWYoSf5pvo5IkePRO,2886873.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",solo,kadın,Yalova,,,,,https://i.scdn.co/image/ab6761610000e5ebe3c728daf2ff8af8a518239b
maNga,maNga,7rEIUw67hRTgievwuKQGSj,2757483.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb8cceee3942367e3490b1eb2f
Yalın,Yalın,46zuW8tHxwahYn7VNMgYTa,2683786.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb67bf1f428e3ce4d5ed71215a
mor ve ötesi,mor ve ötesi,5ixQSDvAMa5O758xG8MWXT,2669380.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb32c198a198e8efe489b8948a
Teoman,Teoman,40KlwpvpKEQtZTJgbml8lT,2659961.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",solo,erkek,Beyoğlu,,,,,https://i.scdn.co/image/ab6761610000e5eb29dd9e6f9584afd24a3c05be
Zeynep Bastık,Zeynep Bastık,1mpOD8ZwHnbsryIuXWq0R1,2509479.0,Turkish Pop,turkish pop,"turkish pop, turkish hip hop",solo,kadın,İzmit,,,,,https://i.scdn.co/image/ab6761610000e5eb6a3b5332a54b378b1b488b5e
Serdar Ortaç,Serdar Ortaç,7BJjzi0JHyDHAsmVe21dGa,2485518.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebede6e2c2886ad29725a9ebf5
Gülşen,Gülşen,1F2v33FQTavJyaD7ZsyhdA,2472935.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebf753342d107655a0e882b3fc
Murat Boz,Murat Boz,53oeVgECSa18dkHBQ9X6Eh,2427016.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,Zonguldak,,,,,https://i.scdn.co/image/ab6761610000e5eb7886cc63b30714ddf49db2a7
Sıla,Sıla,5gFPi3KWXEwA9bLEO47Ow0,2410908.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,Acıpayam,,,,,https://i.scdn.co/image/ab6761610000e5eb0fce08172c1256e98bd8451e
Pinhani,Pinhani,4Bdqzh78prwuqwInMb555P,2406189.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5eb4ddd595c78914a1e09ff6688
Sertab Erener,Sertab Erener,4W31XN2JH8mC54NkHdh04s,2398033.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebde6906222644c2327938d965
Dedublüman,Dedublüman,5PRW6j58xEEWL4DDVEITKT,2376154.0,Turkish Pop,turkce slow sarkilar,"arabesk, turkish pop",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb6935936bfde4c6997f7d8284
"Simge, Simge Sağın",Simge,4StjyzjcmZ7a9QncHVf0pu,2361896.0,Turkish Pop,deep turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul,,Q20470555,pop müzik,67.0,https://i.scdn.co/image/ab6761610000e5ebfd2cb7719539190ff0da90af
Hadise,Hadise,0wCKNMsqYasJBFVagjay49,2331853.0,Turkish Electronic,turkish deep house,"turkish pop, t-pop",,kadın,Mol,,,,,https://i.scdn.co/image/ab6761610000e5ebdcdc7b5ed959e96475dae2cc
EDIS,EDIS,1AM52XHXnWAEqnQwpxTLWm,2258094.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebf48d3ffe95a05f3f24d64da9
Adamlar,Adamlar,1g4J8P1JWwanNyyXckRX5W,2252823.0,Turkish Rock,turkish rock,anatolian rock,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb255fc5aa8ee8170cff4ab47e
Demet Akalın,Demet Akalın,1U449OOb70EZlElNjLMwCM,2248504.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb7a1ad5e83d9a5444c71b28a9
Hande Yener,Hande Yener,08mjMUUjyTchMHCW7evc3R,2197039.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb6dd34eee639d084090666f05
Norm Ender,Norm Ender,3S6gaE89XewFAvZqsMuJDJ,2129967.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,erkek,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5eb1a446a4941768741604a3590
Heijan,Heijan,0KOSzgkMlkeowt1tgIg6ca,2110541.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb1b789af3a47d615cfe0fc638
Buray,Buray,1qZ684TB9E1BjH58btdtYd,2101740.0,Turkish Electronic,turkish deep house,turkish pop,,erkek,KKTC,,,,,https://i.scdn.co/image/ab6761610000e5ebde5853ee177796f37866942f
Batuflex,Batuflex,15AZJFNrXtIN4Nk8BIOnS2,2050327.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, drill",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb1d4c8295131937f19dd288b4
Cem Karaca,Cem Karaca,1lIbZfJvMQRqzhtCQsg5EI,2038768.0,Turkish Rock,anadolu rock,"anatolian rock, arabesk, turkish pop",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb59ee2d0db7a09d786a2901f3
Melike Şahin,Melike Şahin,16GyR4WfCnIT2XST4ZLl2B,1964419.0,Turkish Rock,turkish alt pop,"turkish pop, arabesk",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb6ecccd6879348415669721af
Tuğçe Kandemir,Tuğçe Kandemir,50z4meqYMvVCXEv2jDneDN,1961825.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,kadın,Mersin,,,,,https://i.scdn.co/image/ab6761610000e5ebed243f67bb49edd19e4cb0a5
Motive,Motive,6sBSLIunx1Je0Y2T77wpkP,1915258.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb7052deefe1e3b168231d3149
Bilal Sonses,Bilal Sonses,6iBdV6h17D1kOnK9lFyWo3,1907887.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebb328acff5bf6446652b0583e
Bergen,Bergen,0OjAaymO59uGiFmfpJrQpl,1859036.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,,Mersin,,,,,https://i.scdn.co/image/ab6761610000e5eb1313d9fb37f93823a73926e3
Göksel,Göksel,4i4ALRtQQmFxn3BCIB6iC0,1846139.0,Turkish Pop,turkce slow sarkilar,turkish pop,solo,kadın,Balıkesir,,,,,https://i.scdn.co/image/ab6761610000e5ebc290487c8a04d3d1a60de9ea
Bengü,Bengü,6wxh9aTFgTS4OiyYlnQBq6,1827450.0,Turkish Pop,turkish pop,"turkish pop, arabesk, t-pop",solo,kadın,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5eb053af0a0e80094a51472035d
Merve Özbey,Merve Özbey,74IYRdqa9EFKMMXUIjGyxM,1821301.0,Turkish Pop,turkish pop,"turkish pop, arabesk, t-pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb634c8600b6bc064562d0c85b
Model,Model,23xJQJM7peht77DF6YNEoq,1814080.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5eb6bb20ec51cb89f7e2225cbb4
Sibel Can,Sibel Can,2IiSMrjpXiteqhISWXkdUG,1788214.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebba93ba031dc75cfffb35a6fc
Canbay & Wolker,Canbay & Wolker,1hgaXjbAcED2p80Lj8dzXT,1704065.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",,,,,,,,https://i.scdn.co/image/ab6761610000e5eba87c9e38e7ba652200ccdb06
Mavi Gri,Mavi Gri,4otJVkrLLqDF8OxFJOigme,1695246.0,Turkish Rock,turkish alt pop,turkish pop,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebbaf91062b91327a45041f178
Yaşlı Amca,Yaşlı Amca,4Vr0nv4nM4aqWfj76zDTTp,1686820.0,Turkish Rock,turkish alternative rock,,grup,grup,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb0dd79c2292d8c097e36c489f
Oğuzhan Koç,Oğuzhan Koç,1nFJWl30l3PAHei86OxN0i,1682304.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,Erzincan,,,,,https://i.scdn.co/image/ab6761610000e5eb09d1649f57b77db3682a8a42
Gripin,Gripin,3Z814BstLaKbLqKHXsht8O,1666108.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebd1c4b79b643abd465764f7e4
Melek Mosso,Melek Mosso,5IAxUWLiTMsvc1oWPrczNj,1629663.0,Turkish Rock,turkish alt pop,"arabesk, turkish pop, turkish hip hop",solo,kadın,Kayseri,,,,,https://i.scdn.co/image/ab6761610000e5eba8059ca92c1da09be6617687
Haluk Levent,Haluk Levent,1UV3ii5FWWXF3jkZVeA2bb,1625900.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop, arabesk",solo,erkek,Adana,,,,,https://i.scdn.co/image/ab6761610000e5ebdeea1c481a92aec177cf2bde
Madrigal,Madrigal,2aZlYOswKNlrwqpuTsckKd,1614552.0,Turkish Rock,turkish alt pop,turkish pop,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebebe3f35d8a4d060b3da361ce
Eypio,Eypio,6h5P3J0j1x2lhiDk9w4deZ,1606630.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop, arabesk",solo,erkek,Konya,,,,,https://i.scdn.co/image/ab6761610000e5eb728a190f51e7cb2f46a9a617
Cengiz Kurtoğlu,Cengiz Kurtoğlu,73wqUOsgp2DZd4IAmf48Gn,1584368.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,,Artvin,,,,,https://i.scdn.co/image/ab6761610000e5eb6b7e3def1711192f838a4bb3
Derya Uluğ,Derya Uluğ,7A6T0nTpXnPXDUGM1yEjEj,1579971.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebd161bd0c0cc139ff6c217c47
İrem Derici,İrem Derici,5h2jTdwf4p0dM34aBykPzZ,1578189.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb19676ab29f3cda63747ed0a5
Selda Bağcan,Selda Bağcan,2NGRETzxjeN4b9o3OGY6Yn,1576645.0,Turkish Rock,anadolu rock,"anatolian rock, arabesk",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebc1eb3a14a60cbf2944de46bc
Onur Can Özcan,Onur Can Özcan,2QslFlDyZVpLYwfqyRDkNs,1573539.0,Turkish Pop,turkce slow sarkilar,"turkish pop, arabesk",,erkek,,,,,,https://i.scdn.co/image/ab6761610000e5eb006d614155ba29bf9fcab012
Gökhan Türkmen,Gökhan Türkmen,4uGB0nZ5d1iCXS3sHR3pzm,1571066.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebecc4a1c2a6a66ac658f71e2c
Şehinşah,Şehinşah,0FUsrstJwmg4WVHQMTYuUA,1536426.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb317910433fe174b8bb36ab46
Ziynet Sali,Ziynet Sali,7zVYyYhGZxvPHPuhzReYHP,1532517.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,,,,,,,https://i.scdn.co/image/ab6761610000e5eb0b762d6dca7b97fefffcde09
Era7capone,Era7capone,4UW9Hdsrx9kX2HdJ90jRKM,1516672.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,solo,,Muğla,,,,,https://i.scdn.co/image/ab6761610000e5eb289d5cbedf641de53fe915ee
Mustafa Ceceli,Mustafa Ceceli,3cNwyF5SboOs9icz2XyotE,1490587.0,Turkish Pop,karadeniz pop,"turkish pop, karadeniz folk, arabesk",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb49be1476dc5ca12b7573b31b
Seksendört,Seksendört,7IgzsWd4tWIn70uh6dAq8d,1480129.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb1843f8b0e0c7398082a61266
Azer Bülbül,Azer Bülbül,2E7qpjo4NUBhV8tEUdPVkJ,1472017.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish hip hop, oyun havasi",solo,,Arpaçay,,,,,https://i.scdn.co/image/ab6761610000e5ebb6eece7bb6ef85d2ac1248a4
Yüksek Sadakat,Yüksek Sadakat,3SrFQDUN5DXQDZc3kygriW,1442321.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebb19fee222d98095186b96242
Ferdi Tayfur,Ferdi Tayfur,6WLkcqDXHgfe80TNMH1C5z,1438504.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,erkek,Adana,,,,,https://i.scdn.co/image/ab6761610000e5ebe7cac6ca6990e908594d8ae4
Velet,Velet,7bchfd9ZihGesFniE7tM71,1427314.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",solo,,Kahramanmaraş,,,,,https://i.scdn.co/image/ab6761610000e5eb8d48592b824c82423c80fdad
Tuğkan,Tuğkan,2h1EEQ0lD01lPKDRGisvL4,1424083.0,Turkish Rock,turkish rock,turkish pop,solo,,Sakarya,,,,,https://i.scdn.co/image/ab6761610000e5eb45f2523b0618bfa63972fea9
Burak Bulut,Burak Bulut,2a2YSCx78HHWVOsCuMpeXz,1401395.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,,Almanya,,,,,https://i.scdn.co/image/ab6761610000e5ebea9390b3ae17534d03efb576
Organize,Organize,5W2dGRPmYetOpUIpErUtD3,1396450.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, drill",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb20e533fd33c9d48b4e8c9926
Paşanim,,34LetYSjEuG2fBb4Z8PwPg,1375885.0,,,german hip hop,,erkek,Almanya,,Q86022852,"alternatif hip-hop, Alman hip hopu, Trap müzik",73.0,https://i.scdn.co/image/ab6761610000e5ebbe86fcdf9a5f55d9d7c5dd31
Funda Arar,Funda Arar,6g7GF7BLC41JTHJwgB4wQW,1375220.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb0844c3dc805daa50a8986d9d
Candan Erçetin,Candan Erçetin,51YBtWvwOP37hIGmnxf4yC,1334203.0,Turkish Pop,turkish pop,"turkish pop, oyun havasi, arabesk",solo,kadın,Kırklareli,,,,,https://i.scdn.co/image/ab6761610000e5ebdb32d3dc8b4eed958a89a2eb
Kenan Doğulu,Kenan Doğulu,2RQ8NtUmg5y6tfbvCwX8jI,1321328.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb522e0170157d4433e1721edc
Nilüfer,Nilüfer,3iVIrcJmrV7GawrxVWsBUF,1319895.0,Turkish Pop,turkish pop,"turkish pop, arabesk, anatolian rock",solo,kadın,Beyoğlu,,,,,https://i.scdn.co/image/ab6761610000e5ebf5f505d1e93a9d046c6d90eb
Yener Çevik,Yener Çevik,5rBUMBV7L6zPsEKnlgiOm9,1314898.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, arabesk",solo,erkek,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5eb624d4ce8be6d25d7e4ca5073
Koray Avcı,Koray Avcı,3sV7ijrP5xMHgWRlOnPTCi,1302330.0,Turkish Folk,karadeniz turkuleri,"arabesk, turkish pop, karadeniz folk, oyun havasi",solo,erkek,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb910833f56691a353a8192c54
Kalben,Kalben,4sldxVDeyb0J8OMoYApqfV,1258717.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,kadın,İskenderun,,,,,https://i.scdn.co/image/ab6761610000e5eb77f78b487397f9135371592b
İkiye On Kala,İkiye On Kala,1HsQw7SuwmxSH4r2aqF9DB,1257437.0,Turkish Rock,turkish rock,turkish pop,solo,,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5ebd5a095838b1fbf445a9c2859
Patron,Patron,2r8iLFeSTuOiZualHmSXxS,1255084.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,erkek,Mersin,,,,,https://i.scdn.co/image/ab6761610000e5ebc725315dada5bce84a252b9a
Murat Dalkılıç,Murat Dalkılıç,6dDaXbE1caD65TONToYXYx,1237513.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5eb5ca012e342687e7cda75a6d0
Aleyna Tilki,Aleyna Tilki,4ckLjJztj53Ifid7WHweBn,1236102.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,Konya,,,,,https://i.scdn.co/image/ab6761610000e5eb269e20c09f0f023465495cfc
Zakkum,Zakkum,70Ya7DKJEo20SAkxjirYnu,1232068.0,Turkish Rock,turkish rock,"turkish pop, arabesk, anatolian rock",grup,grup,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5ebb6cec021c468702b6882a531
Son Feci Bisiklet,Son Feci Bisiklet,4q2SZIdLq6YTc9cZLCclWc,1228269.0,Turkish Rock,turkish rock,,grup,grup,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb5f77d26f9642feefbdae1f44
Murda,Murda,2y1VzMKAa5nmfXKtJL9jnj,1219319.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",,,,,,,,https://i.scdn.co/image/ab6761610000e5eb7aaa77d0959b147098a2c733
Contra,Contra,3tJELJoPZ4VTKmL0vppqLj,1209201.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebc8072a6266aa6a3a6c8821ca
ElMusto,ElMusto,1Tjaa3WWIVU00kfZ8Dvpcl,1207760.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb57758d94c605b48ef00a7287
MFÖ,MFÖ,2jbrqAuwSdvwcMTbtvncND,1183187.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",solo,,,,,,,https://i.scdn.co/image/ab6761610000e5eb22160d23ce04035188bb3948
Ebru Yaşar,Ebru Yaşar,0Qbd0AGWuzggX61s306wZN,1182769.0,Turkish Sanat & Klasik,arabesk,"turkish pop, arabesk, oyun havasi",solo,kadın,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb4d8fe24f8d770a9d6669b47b
