isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir,MusicBrainz_ID,wikidata_id,muzik_turu (Wikidata),Popularity,foto_url
Samida,Samida,0mpnulsAOozeeyMAtWVQrK,23917.0,Turkish Pop,karadeniz pop,"karadeniz folk, oyun havasi",,,,,,,,https://i.scdn.co/image/ab6761610000e5eb1fbac4e1932cf94a92de4fb4
Jülide Özçelik,Jülide Özçelik,6pGwxFTe6ONT92Rb7v5wx2,23886.0,Turkish Jazz & Instrumental,turkish jazz,,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebcc83fed8cbc29c7497d1e3dd
Eftalya Yağcı,Eftalya Yağcı,27JkefjyyNpoRTWGDIt6Tc,23821.0,Turkish Pop,turkish pop,"turkish hip hop, turkish pop",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb0352f1016dd5560116363e71
Pickpocket,Pickpocket,1F6ABYTEvvF6GiMiEu6OL2,23731.0,Turkish Metal & Hardcore,turkish metal,anatolian rock,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebf9dff1d5fc51d532bc37fc61
Gülşen Kutlu,Gülşen Kutlu,5xuQlQor4mc2SoMoOuoRQI,23695.0,Turkish Folk,turkish folk,"oyun havasi, karadeniz folk, arabesk",solo,,Şereflikoçhisar,,,,,https://i.scdn.co/image/ab67616d0000b273cc060ba0cf11b8b17ab6630d
Fırat Tanış,,1AMxbM8JPoryu2bTtRDHZJ,23651.0,Turkish Pop,,turkish pop,Person,erkek,İstanbul,b2282c0a-6b8e-47fa-a9fc-ccdf64cbe6c6,Q6097530,,46.0,https://i.scdn.co/image/ab6761610000e5eb56e69119e6722e34539f5c47
Timuçin Esen,Timuçin Esen,38OJtnrt1FutcT30EskS9T,23621.0,Turkish Jazz & Instrumental,turkish soundtrack,arabesk,solo,,Adana,,,,,https://i.scdn.co/image/ab6761610000e5eb742b89718125bb2028120ec7
Erol Parlak,Erol Parlak,2abfTrwaMafX06RqZ060VY,23558.0,Turkish Folk,turkish folk,"karadeniz folk, oyun havasi, arabesk",grup,grup,Eleşkirt,,,,,https://i.scdn.co/image/ab6761610000e5ebf1e6f1845a3546689001b445
Padme,Padme,1WU56HE9uPG3ESLhxQzRNz,23466.0,Turkish Rock,turkish punk,punk,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebab6dbc2d9e711b589751fca3
Cem Tuncer,Cem Tuncer,6OlnPdA68KcYNbYNv3dMH7,23463.0,Turkish Jazz & Instrumental,turkish soundtrack,,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebb1433aa03a1eb8ef6d1780cf
Evanthia Reboutsika,Evanthia Reboutsika,03AixEU0mG6V1xASZyQRPy,23430.0,,neo kyma,entehno,,,,,,,,https://i.scdn.co/image/ab67616d0000b2731e543227e8e7cd3613dbbd4b
Iskender Paydas,Iskender Paydas,41rbd3YKGK2LiBty2QWmdN,23423.0,Turkish Pop,deep turkish pop,turkish pop,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebb27df74d4db9a42be8bc4e32
Turkish Delight,Turkish Delight,0YToV5yykEAPOMVWV9wf2M,23272.0,Turkish Rock,turkish post-punk,post-rock,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebe3d181c67246743bb28cf16a
Faruk Sabanci,Faruk Sabanci,7nPbrzSt1apQM9rY5DVqQZ,23264.0,Turkish Electronic,turkish deep house,"turkish hip hop, slap house, trance, turkish pop",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb0b2b798f85b0d904621ecc13
Melih Görgün,Melih Görgün,2CTggmdbEpr6nyI8zHzGla,23257.0,Turkish Pop,deep turkish pop,"arabesk, turkish pop",,,,,,,,https://i.scdn.co/image/ab6761610000e5eb5a49268504bdd39198c60f65
Kramp,Kramp,3cjaNGcEg2TfRV0u0cMYUu,23029.0,Turkish Rock,turkish alternative,anatolian rock,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb47cff7f935baa12d157e9cb8
Gaye Aksu,Gaye Aksu,4HtJueBZr7JJ7ZlQHNJzql,23000.0,Turkish Sanat & Klasik,arabesk,"arabesk, karadeniz folk",,,,,,,,https://i.scdn.co/image/ab6761610000e5ebe687cb2323a80b1191cee521
Seyyan Hanim,Seyyan Hanim,5znAcGmK7B5s64oSubVBKq,22906.0,Turkish Jazz & Instrumental,turkish jazz,"tango, anatolian rock",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eba6c4267b7a86421247d01bd3
Narkoz,Narkoz,5gWfvJdFThp4lrD0o2QMju,22775.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,Elazığ,,,,,https://i.scdn.co/image/ab6761610000e5ebfeba2a3e167c37d9b16626f6
Burhan Berken,,2uby1sznCSfx7tciF7uKBT,22759.0,,,,Person,erkek,Ergani,06f1ec8b-eb91-46ab-9f88-06a77dd6195b,Q1028223,,28.0,https://i.scdn.co/image/ab6761610000e5ebf6e655e37d7291be6686abe1
Lalfizu,Lalfizu,30QNnzgsYkMMoS34AlWGxE,22754.0,Turkish Rock,turkish alt pop,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb40f2f0d0594aa1467ee70aee
Bekom,Bekom,33KqRi2o4xMGCEGhC2BNBy,22717.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb84860a1ba8929238c71f32db
Raperîn,Raperin,0y2YnfkNXEwIZ2bKuKBV2Q,22710.0,,,,,kadın,Van,,Q21791455,,33.0,https://i.scdn.co/image/ab6761610000e5eb4b7c8072cd9a28a83250ccbe
Onur Erol,Onur Erol,0JtskWTMhJ4Nv9hMkC5vCn,22704.0,Tematik & Ozel,cocuk sarkilari,children’s music,,,,,,,,https://i.scdn.co/image/ab67616d0000b2737f99c6fcd2e4c939ba4fcdf8
Mustafa Demirci,Mustafa Demirci,2ZV3aaggZ1nGGUSvAPf2XC,22687.0,Turkish Sanat & Klasik,mevlevi sufi,sufi,solo,,Yahyalı,,,,,https://i.scdn.co/image/ab67616d0000b2739ababd59fa69b22196837a0d
Onur Mete,Onur Mete,7uJvDwK3jWE215FYK6Fl6s,22560.0,Turkish Pop,,turkish pop,Person,,,0781419d-69b7-4ea7-bf98-50626519a369,,,37.0,https://i.scdn.co/image/ab6761610000e5eb21a15968dfaaa177f22489eb
İrfan Özata,İrfan Özata,3k0FuPQStMrwwrO2lCpC4X,22507.0,Turkish Pop,,turkish pop,,erkek,Ordu,,Q19613757,pop müzik,25.0,https://i.scdn.co/image/ab67616d0000b27319de734933cb734566894873
Taha,Taha,00O56plKog0r06Ucaq90VU,22402.0,Turkish Rock,turkish alt pop,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb6913812b27a86d39cd9bf206
Parah Dice,,4QBEmbwSxLlo6RIGlFyn1o,22310.0,,,,Bilinmiyor,erkek,,67006fee-61cb-40d1-a33c-28e00e5c94ac,Q95516195,dans müziği,35.0,https://i.scdn.co/image/ab6761610000e5ebe94bbe04e34f9003bcfbf66c
Altay,Altay,0JbRebRnzCiwyNUMuIeN1P,22160.0,Turkish Pop,deep turkish pop,turkish pop,solo,,Rize,,,,,https://i.scdn.co/image/ab6761610000e5eb204839e1fe8cc50511fd2736
SAS,SAS,5dKK9A0yAqtRpqLoC7AkKm,22154.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb188bca1c33f426712f41c9ce
Cavit Karabey,Cavit Karabey,12Nw7al9M3606P4vaJIleA,22124.0,Turkish Sanat & Klasik,arabesk,arabesk,,,,,,,,https://i.scdn.co/image/ab67616d0000b273f5ad54c0a28e1e5b180980ab
Sedat Anar,Sedat Anar,2xkjroNYi5FHZlJovEBTnt,22124.0,Turkish Sanat & Klasik,ney,sufi,solo,,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5ebd13e26f8c2142f68ae9754c0
Kaan Pars,Kaan Pars,6Cubdky3Aaaaxc3sn5C32N,22123.0,,g-house,"slap house, g-house, tropical house, brazilian bass",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb446ea013b6345bf28e6a132d
Cici Kızlar,Cici Kızlar,1I253VA1DgfRm9misAcGq8,22091.0,Turkish Pop,classic turkish pop,"anatolian rock, turkish pop",solo,,,,,,,https://i.scdn.co/image/ab67616d0000b27342ed1b58620e457dc0e6fa06
Aşıl,Aşıl,4qxQcRG5ghwRQ6dIJugiRd,22086.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebefc61576cbe8ab1e7390d0d2
Merve Deniz,Merve Deniz,0bL7vu8m0DXhsh3NJFaoAK,22063.0,Turkish Pop,turkce slow sarkilar,turkish pop,,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb4edc22a266a6d88e8b396c62
Deniz Koyu,,2wIIoaTkGrgMdkZENiCcJo,22038.0,,,,Person,erkek,Bochum,813d1343-911c-4406-9f2c-ce8bb6506c64,Q950077,elektro-house,19.0,https://i.scdn.co/image/ab6761610000e5eb40e8c43bb5f2a1052aed64b4
Esengül,Esengül,5VnmwZE6S2STk83HEinfAG,21949.0,Turkish Sanat & Klasik,arabesk,"arabesk, traditional folk",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebfcefc2491e8d10c820c35d8e
4 Yüz,4 Yüz,7Iusq7I3YKNa1MnCCrsaqp,21874.0,Turkish Pop,deep turkish pop,"turkish pop, t-pop",,,,,,,,https://i.scdn.co/image/ab6761610000e5ebcc717ea944e670dfe74792b2
Nez,Nez,4VQHynKk0iNNXE2kDerMKl,21863.0,Turkish Pop,deep turkish pop,turkish pop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebfc22c9e9122c8741912bf796
Sahte Rakı,Sahte Rakı,3fEsjecrJg9RvgsV6VO3qo,21817.0,Turkish Rock,turkish alternative rock,,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebfc4f7c8c4c17b232a8ae4820
Yılmaz Çelik,Yılmaz Çelik,2Xgezho0lE0uyfbJzRP7Xu,21784.0,Turkish Folk,turkish folk,arabesk,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebec538506ac5bde5137357dbc
Erdem Yener,Erdem Yener,1JXIV2lL6Yd30xG7kOfI1n,21721.0,Turkish Rock,turkish alternative,anatolian rock,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb603cfbbcf47677efb0b80b69
Ductape,Ductape,2Qte1S9njYjLMRDYlbRFny,21708.0,Turkish Rock,turkish post-punk,"darkwave, cold wave, post-punk, gothic rock, deathrock, ebm",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb4e4a053c6608503792663d55
Collectif Medz Bazar,Collectif Medz Bazar,5IopNiMINROAQ0eldP2AzW,21707.0,,armenian folk,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb465c6a3d1e84653295691d71
Belki Biraz,Belki Biraz,447yNY9cW9O0mMJ7B5QObd,21697.0,Turkish Pop,huzunlu sarkilar,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb3178e1230d76f6f7aeea69da
Taner Eyüpoğlu,Taner Eyüpoğlu,1z96fDmmmHLouxvb5erUgp,21664.0,Turkish Pop,karadeniz pop,"karadeniz folk, oyun havasi",,,,,,,,https://i.scdn.co/image/ab67616d0000b2731cc0f4fe826c0ff9543f3c29
Jako,Jako,4kpqHcVwTcRhrNTAB66li4,21657.0,Turkish Pop,turkish trap pop,"turkish hip hop, turkish pop",,,,,,,,https://i.scdn.co/image/ab6761610000e5ebd75f8cb5c79ce1e4d2ef6b07
Nur Yoldas,Nur Yoldas,5ayzrYOahi5XNF9eRwYMKv,21624.0,Turkish Rock,turkish psych,"anatolian rock, turkish pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab67616d0000b273da792ff5c8ab1f321e7c4863
Cengiz İmren,Cengiz İmren,5s7jVGtl4ggIcrBEOgAfgP,21578.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi, turkish pop",,,,,,,,https://i.scdn.co/image/ab6761610000e5eb37cec37d0d31d9dfec596c19
DJ Yılmaz,DJ Yılmaz,63A0AsYespgo3N5AQlxXPU,21557.0,Turkish Folk,rumeli turkuleri,oyun havasi,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb71eaf910cb7d993c2dc9e0ff
Burcu Sapmaz,Burcu Sapmaz,1KVIEzZBIgcrQeDRNTPM57,21479.0,Turkish Pop,deep turkish pop,turkish pop,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebc3afa024a777846847d0de68
K''st,K''st,4x19qDNFXvWQnudUjs0XOE,21410.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb048c614025803c0d5b3e9240
Fredd,Fredd,7mPDqgo2mw51RXWgh7zmPo,21401.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,solo,,Kastamonu,,,,,https://i.scdn.co/image/ab6761610000e5eb6b57d9e9028e7b590afd7fbd
Zins,Zins,57TLnShjD0a6mgZDN6mRiO,21382.0,Turkish Hip Hop & Trap,new school turkce rap,"turkish hip hop, drill",,,,,,,,https://i.scdn.co/image/ab6761610000e5eb2ab631cca6048903b0432103
Dede Efendi,Dede Efendi,5j6A5iWerZZbrl0vMYc9HW,21367.0,Turkish Sanat & Klasik,turkish classical,sufi,solo,,İstanbul,,,,,https://i.scdn.co/image/ab67616d0000b273b8a4967721ae791b8eeec130
Pois,Pois,4L8MaBqZeGyW9ZP7QaH6r8,21348.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebcadb9cee675f3fdc29482b7d
Serenad Bağcan,Serenad Bağcan,6zebrRNZzpUnIQH4irGy82,21294.0,Turkish Sanat & Klasik,turkish classical performance,,solo,kadın,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5ebb1eb3c5a490070550a48f73b
