isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Saadet Sun,Saadet Sun,2CXQ5oIqKhIlwCCtWgiPow,4817.0,Turkish Pop,classic turkish pop,"anatolian rock, turkish pop",,kadın,
Ubeydullah Sezikli,Ubeydullah Sezikli,1xiy8XwCNzhZt5hoBKpD9N,4813.0,Turkish Sanat & Klasik,ilahiler,sufi,,,
Nesrin Kopuz,Nesrin Kopuz,3wg3CtuXlv68voKWOQ0Q5t,4813.0,Turkish Pop,turkce remix,turkish pop,,,
Eskiz,Eskiz,6DIDKAlVCwKpp00Or6NRKf,4809.0,Turkish Rock,turkish alternative rock,anatolian rock,grup,grup,İstanbul
Yasak Helva,Yasak Helva,5Ku0LlBlvSAliBxZvPUJWw,4799.0,Turkish Jazz & Instrumental,turkish jazz,anatolian rock,grup,grup,İzmir
Periler ve Ninniler,Periler ve Ninniler,4YAH1RKajVYTiyIeYmI3y4,4798.0,Tematik & Ozel,cocuk sarkilari,lullaby,,,
Kendi,Kendi,59sYqGGNlpHuTWcenvV9mZ,4774.0,Turkish Pop,deep turkish pop,turkish pop,solo,,İstanbul
Brian Keane,Brian Keane,0YF3htY87UKOd5AOQwEuPh,4763.0,Turkish Jazz & Instrumental,turkish instrumental,sufi,,,
Aylin Şengün Taşçı,Aylin Şengün Taşçı,3qu8mgofdlSObPStNvo2QR,4753.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,,,
Ozan,Ozan,3kaFqWcROsYAgOzSd0voYO,4746.0,Turkish Pop,deep turkish pop,turkish pop,,,
Trio Aksak,Trio Aksak,0zTJYrVTWknRA6ieKniOsG,4740.0,Turkish Jazz & Instrumental,turkish jazz,anatolian rock,,,
Erol Köker,Erol Köker,37aZucOaDmxTcgp5XeeDbr,4727.0,Turkish Folk,rumeli turkuleri,"oyun havasi, arabesk, karadeniz folk",solo,,İstanbul
Moribund Oblivion,Moribund Oblivion,2w4QQZHnsN4AO5ANNhNgKI,4713.0,Turkish Metal & Hardcore,turkish black metal,black metal,grup,grup,İstanbul
Ender Tekin,Ender Tekin,0CAi10wLdJRj6pZ6qEQPIi,4707.0,Turkish Sanat & Klasik,ilahiler,,,,
Mehmet Yetkin,Mehmet Yetkin,7HBML8cPBhqyGtbeAL1RMF,4707.0,Turkish Sanat & Klasik,ilahiler,,,,
Sinan Cem Eroglu,Sinan Cem Eroglu,5bAM9ltcPO19tC7yCLH4vr,4705.0,Turkish Jazz & Instrumental,turkish jazz,,solo,,Ankara
Slowed Türkiye,Slowed Türkiye,6IIkXKPxloSQwO7R6nqfak,4698.0,Turkish Hip Hop & Trap,new school turkce rap,,,,
Bir Adım Geriden,Bir Adım Geriden,5zRycF717DLk6Y9h92FtDJ,4689.0,Turkish Pop,turkce slow sarkilar,,,,
Monality,Monality,2VRxOzt7ZPOchSIGA9hIAE,4674.0,Turkish Electronic,turkish electronic,tribal house,,,
Frapan,Frapan,7ykkGTwXWbWwBVjV3C4Bx4,4673.0,Turkish Rock,turkish alternative rock,,grup,grup,İstanbul
Sevim Tanürek,Sevim Tanürek,6LTDHu3cwG58pUTKIAPC8E,4672.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,solo,,
Ankaralı Mahmut,Ankaralı Mahmut,4KL92m4Gwco4Jr3HUbx7SD,4665.0,Turkish Folk,oyun havasi,oyun havasi,,,
Tpao Batman Orkestrası,Tpao Batman Orkestrası,0ncL8FvlORXjk58ZTi8cAq,4649.0,Turkish Rock,turkish psych,anatolian rock,,,
Çiğdem Gürdal,Çiğdem Gürdal,2Lz6c8fjYMlzspB7atBz4d,4646.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,,,
Aristokares,Aristokares,2oBL33e2BMxMNgSkbjkMof,4640.0,Turkish Hip Hop & Trap,turkce trap metal,"trap metal, turkish hip hop",,,
Dorian,Dorian,2g8FkuePtQ6mFyubppvy4C,4628.0,Turkish Rock,turkish alternative rock,anatolian rock,grup,grup,Istanbul
Onur Yalcın,Onur Yalcın,6sObrcr2SFadOYfAlmEWJL,4616.0,Turkish Folk,oyun havasi,oyun havasi,,,
Dilan Demirel,Dilan Demirel,5Mgha0Ds9HHwUzkEcbTxIS,4602.0,Turkish Rock,turkish singer-songwriter,,,,
Doğukan Medetoğlu,Doğukan Medetoğlu,6AKmTsnXKiWgWmdlCBfW30,4600.0,Turkish Pop,deep turkish pop,turkish pop,,,
Dantefaze,Dantefaze,0AeLkz0ssxE9Ion4Ene5TK,4599.0,Turkish Hip Hop & Trap,turkce trap metal,turkish hip hop,,,
