isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Sezen Aksu,Sezen Aksu,64d1rUxfizSAOE9UbMnUZd,14571379.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,kadın,İstanbul
Müslüm Gürses,Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,9859993.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,erkek,Şanlıurfa
Duman,Duman,6RTC1abMgBC7Krg6qJQHJh,7655264.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop",grup,grup,İstanbul
UZI,UZI,51DevdOxIJin6DB1FXJpD1,7205495.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, drill",solo,,İstanbul
Ezhel,Ezhel,6LnJKrtFnTEGdbWQ2riWCL,7160811.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",solo,erkek,Ankara
BLOK3,BLOK3,1GMwSpFzrLd12jUX15bHB6,6968323.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop",solo,,Kocaeli
Semicenk,Semicenk,1CcZoULzFHa8Uhwo6OlQcp,6384372.0,Turkish Pop,turkish pop,"turkish pop, arabesk, turkish hip hop",solo,erkek,Ordu
Mabel Matiz,Mabel Matiz,1dpqJqIuNqideTvmxBsSku,5530254.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Sagopa Kajmer,Sagopa Kajmer,1KXTegXtnCPKXjRaX1llcD,5495200.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, rap",solo,erkek,İstanbul
Lvbel C5,Lvbel C5,0V2oXYR7DtrZAEFeILRW2r,5361439.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop, drill",solo,,İstanbul
Ceza,Ceza,28Qbi9jTj2eej21P2mImZI,5290315.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,erkek,Üsküdar
Ebru Gündeş,Ebru Gündeş,5AboYJAlMb9FGadTTDKRoN,4431090.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",solo,kadın,İstanbul
Gazapizm,Gazapizm,2boacFGRX1WIo7NFS8B0F2,4233770.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",solo,erkek,Elazığ
Ati242,Ati242,6bGOmNBU1AOgttgOjh0ldf,4176730.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Tarkan,Tarkan,2yMN0IP20GOaN6q0p0zL5k,4127643.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Yıldız Tilbe,Yıldız Tilbe,4525TiJDbBD4mZJ7EZArT0,4068707.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,kadın,İstanbul
Cem Adrian,Cem Adrian,2AWUCT9xtcvkjpFq1ZgpPj,3782304.0,Turkish Rock,turkish singer-songwriter,"arabesk, turkish pop",solo,erkek,Edirne
No.1,No.1,4fR3W8XFXsqHB8f8IqEr1y,3729067.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Neşet Ertaş,Neşet Ertaş,1afML5pJuVr3ye8TGyYcV2,3276360.0,Turkish Folk,bozlak,"arabesk, oyun havasi, karadeniz folk, anatolian rock",solo,,Kırşehir
Emir Can İğrek,Emir Can İğrek,4XP7cGw4t8BqZ8Du5q3bHg,3244635.0,Turkish Rock,turkish alt pop,turkish pop,solo,erkek,İstanbul
Reynmen,Reynmen,1Fg19vpUJpAAPFjnKaVYVW,3218347.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish pop, turkish hip hop",solo,erkek,İstanbul
Dolu Kadehi Ters Tut,Dolu Kadehi Ters Tut,0PhqM7UAxtvWYi5j4MwxSl,3201269.0,Turkish Rock,turkish alt pop,,grup,grup,İstanbul
İbrahim Tatlıses,İbrahim Tatlıses,0gPgE6wLLiPnrakh9WcsdQ,3162898.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi, turkish pop",solo,erkek,Şanlıurfa
cakal,cakal,6CPZWzcKiOKkHn4L2XI4i2,3155901.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, drill",solo,,İstanbul
Barış Manço,Barış Manço,3eVuump9qyK0YCQQo4mKbc,3122963.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop, arabesk",solo,erkek,İstanbul
Sefo,Sefo,1ITjgqpqMDJlqZGAK3mlPQ,3046354.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",solo,erkek,Samsun
Ben Fero,Ben Fero,2kS0jWMkkFBL0mrl0VotD0,3013379.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,solo,,İzmir
Yüzyüzeyken Konuşuruz,Yüzyüzeyken Konuşuruz,7gobcoscOfsY0nOeqqFzvU,2974171.0,Turkish Rock,turkish alternative rock,turkish pop,grup,grup,İstanbul
Şebnem Ferah,Şebnem Ferah,74xBVPWYoSf5pvo5IkePRO,2886873.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",solo,kadın,Yalova
maNga,maNga,7rEIUw67hRTgievwuKQGSj,2757483.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",grup,grup,İstanbul
Yalın,Yalın,46zuW8tHxwahYn7VNMgYTa,2683786.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
mor ve ötesi,mor ve ötesi,5ixQSDvAMa5O758xG8MWXT,2669380.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",grup,grup,İstanbul
Teoman,Teoman,40KlwpvpKEQtZTJgbml8lT,2659961.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",solo,erkek,Beyoğlu
Zeynep Bastık,Zeynep Bastık,1mpOD8ZwHnbsryIuXWq0R1,2509479.0,Turkish Pop,turkish pop,"turkish pop, turkish hip hop",solo,kadın,Izmit
Serdar Ortaç,Serdar Ortaç,7BJjzi0JHyDHAsmVe21dGa,2485518.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Gülşen,Gülşen,1F2v33FQTavJyaD7ZsyhdA,2472935.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul
Murat Boz,Murat Boz,53oeVgECSa18dkHBQ9X6Eh,2427016.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,Zonguldak
Sıla,Sıla,5gFPi3KWXEwA9bLEO47Ow0,2410908.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,Acıpayam
Pinhani,Pinhani,4Bdqzh78prwuqwInMb555P,2406189.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İzmir
Sertab Erener,Sertab Erener,4W31XN2JH8mC54NkHdh04s,2398033.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,kadın,İstanbul
Dedublüman,Dedublüman,5PRW6j58xEEWL4DDVEITKT,2376154.0,Turkish Pop,turkce slow sarkilar,"arabesk, turkish pop",grup,grup,İstanbul
Simge,Simge,4StjyzjcmZ7a9QncHVf0pu,2361133.0,Turkish Pop,deep turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul
Hadise,Hadise,0wCKNMsqYasJBFVagjay49,2331853.0,Turkish Electronic,turkish deep house,"turkish pop, t-pop",,kadın,Mol
EDIS,EDIS,1AM52XHXnWAEqnQwpxTLWm,2258094.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Adamlar,Adamlar,1g4J8P1JWwanNyyXckRX5W,2252823.0,Turkish Rock,turkish rock,anatolian rock,grup,grup,İstanbul
Demet Akalın,Demet Akalın,1U449OOb70EZlElNjLMwCM,2248504.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul
Hande Yener,Hande Yener,08mjMUUjyTchMHCW7evc3R,2197039.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul
Norm Ender,Norm Ender,3S6gaE89XewFAvZqsMuJDJ,2129967.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,erkek,İzmir
Heijan,Heijan,0KOSzgkMlkeowt1tgIg6ca,2110541.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",solo,,İstanbul
Buray,Buray,1qZ684TB9E1BjH58btdtYd,2101740.0,Turkish Electronic,turkish deep house,turkish pop,,erkek,Lefkoşa
Batuflex,Batuflex,15AZJFNrXtIN4Nk8BIOnS2,2050327.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, drill",solo,,İstanbul
Cem Karaca,Cem Karaca,1lIbZfJvMQRqzhtCQsg5EI,2038768.0,Turkish Rock,anadolu rock,"anatolian rock, arabesk, turkish pop",grup,grup,İstanbul
Melike Şahin,Melike Şahin,16GyR4WfCnIT2XST4ZLl2B,1964419.0,Turkish Rock,turkish alt pop,"turkish pop, arabesk",solo,kadın,İstanbul
Tuğçe Kandemir,Tuğçe Kandemir,50z4meqYMvVCXEv2jDneDN,1961825.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,kadın,Mersin
Motive,Motive,6sBSLIunx1Je0Y2T77wpkP,1915258.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İstanbul
Bilal Sonses,Bilal Sonses,6iBdV6h17D1kOnK9lFyWo3,1907887.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,erkek,İstanbul
Bergen,Bergen,0OjAaymO59uGiFmfpJrQpl,1859036.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,,Mersin
Göksel,Göksel,4i4ALRtQQmFxn3BCIB6iC0,1846139.0,Turkish Pop,turkce slow sarkilar,turkish pop,solo,kadın,Balıkesir
Bengü,Bengü,6wxh9aTFgTS4OiyYlnQBq6,1827450.0,Turkish Pop,turkish pop,"turkish pop, arabesk, t-pop",solo,kadın,İzmir
Merve Özbey,Merve Özbey,74IYRdqa9EFKMMXUIjGyxM,1821301.0,Turkish Pop,turkish pop,"turkish pop, arabesk, t-pop",solo,kadın,İstanbul
Model,Model,23xJQJM7peht77DF6YNEoq,1814080.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İzmir
Sibel Can,Sibel Can,2IiSMrjpXiteqhISWXkdUG,1788214.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",solo,kadın,İstanbul
Canbay & Wolker,Canbay & Wolker,1hgaXjbAcED2p80Lj8dzXT,1704065.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",,,
Mavi Gri,Mavi Gri,4otJVkrLLqDF8OxFJOigme,1695246.0,Turkish Rock,turkish alt pop,turkish pop,grup,grup,İstanbul
Yaşlı Amca,Yaşlı Amca,4Vr0nv4nM4aqWfj76zDTTp,1686820.0,Turkish Rock,turkish alternative rock,,grup,grup,Ankara
Oğuzhan Koç,Oğuzhan Koç,1nFJWl30l3PAHei86OxN0i,1682304.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,Erzincan
Gripin,Gripin,3Z814BstLaKbLqKHXsht8O,1666108.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İstanbul
Melek Mosso,Melek Mosso,5IAxUWLiTMsvc1oWPrczNj,1629663.0,Turkish Rock,turkish alt pop,"arabesk, turkish pop, turkish hip hop",solo,kadın,Kayseri
Haluk Levent,Haluk Levent,1UV3ii5FWWXF3jkZVeA2bb,1625900.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop, arabesk",solo,erkek,Adana
Madrigal,Madrigal,2aZlYOswKNlrwqpuTsckKd,1614552.0,Turkish Rock,turkish alt pop,turkish pop,grup,grup,İstanbul
Eypio,Eypio,6h5P3J0j1x2lhiDk9w4deZ,1606630.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop, arabesk",solo,erkek,Konya
Cengiz Kurtoğlu,Cengiz Kurtoğlu,73wqUOsgp2DZd4IAmf48Gn,1584368.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,,Artvin
Derya Uluğ,Derya Uluğ,7A6T0nTpXnPXDUGM1yEjEj,1579971.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul
İrem Derici,İrem Derici,5h2jTdwf4p0dM34aBykPzZ,1578189.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul
Selda Bağcan,Selda Bağcan,2NGRETzxjeN4b9o3OGY6Yn,1576645.0,Turkish Rock,anadolu rock,"anatolian rock, arabesk",solo,kadın,İstanbul
Onur Can Özcan,Onur Can Özcan,2QslFlDyZVpLYwfqyRDkNs,1573539.0,Turkish Pop,turkce slow sarkilar,"turkish pop, arabesk",,erkek,
Gökhan Türkmen,Gökhan Türkmen,4uGB0nZ5d1iCXS3sHR3pzm,1571066.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Şehinşah,Şehinşah,0FUsrstJwmg4WVHQMTYuUA,1536426.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İstanbul
Ziynet Sali,Ziynet Sali,7zVYyYhGZxvPHPuhzReYHP,1532517.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,,
Era7capone,Era7capone,4UW9Hdsrx9kX2HdJ90jRKM,1516672.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,solo,,Muğla
Mustafa Ceceli,Mustafa Ceceli,3cNwyF5SboOs9icz2XyotE,1490587.0,Turkish Pop,karadeniz pop,"turkish pop, karadeniz folk, arabesk",solo,erkek,İstanbul
Seksendört,Seksendört,7IgzsWd4tWIn70uh6dAq8d,1480129.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,Ankara
Azer Bülbül,Azer Bülbül,2E7qpjo4NUBhV8tEUdPVkJ,1472017.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish hip hop, oyun havasi",solo,,Arpaçay
Yüksek Sadakat,Yüksek Sadakat,3SrFQDUN5DXQDZc3kygriW,1442321.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,Istanbul
Ferdi Tayfur,Ferdi Tayfur,6WLkcqDXHgfe80TNMH1C5z,1438504.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,erkek,Adana
Velet,Velet,7bchfd9ZihGesFniE7tM71,1427314.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",solo,,Kahramanmaraş
Tuğkan,Tuğkan,2h1EEQ0lD01lPKDRGisvL4,1424083.0,Turkish Rock,turkish rock,turkish pop,solo,,Sakarya
Burak Bulut,Burak Bulut,2a2YSCx78HHWVOsCuMpeXz,1401395.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,,Berlin
Organize,Organize,5W2dGRPmYetOpUIpErUtD3,1396450.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, drill",solo,,İstanbul
Funda Arar,Funda Arar,6g7GF7BLC41JTHJwgB4wQW,1375220.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,İstanbul
Candan Erçetin,Candan Erçetin,51YBtWvwOP37hIGmnxf4yC,1334203.0,Turkish Pop,turkish pop,"turkish pop, oyun havasi, arabesk",solo,kadın,Kırklareli
Kenan Doğulu,Kenan Doğulu,2RQ8NtUmg5y6tfbvCwX8jI,1321328.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Nilüfer,Nilüfer,3iVIrcJmrV7GawrxVWsBUF,1319895.0,Turkish Pop,turkish pop,"turkish pop, arabesk, anatolian rock",solo,kadın,Beyoğlu
Yener Çevik,Yener Çevik,5rBUMBV7L6zPsEKnlgiOm9,1314898.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, arabesk",solo,erkek,İzmir
Koray Avcı,Koray Avcı,3sV7ijrP5xMHgWRlOnPTCi,1302330.0,Turkish Folk,karadeniz turkuleri,"arabesk, turkish pop, karadeniz folk, oyun havasi",solo,erkek,Ankara
Kalben,Kalben,4sldxVDeyb0J8OMoYApqfV,1258717.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,kadın,İskenderun
İkiye On Kala,İkiye On Kala,1HsQw7SuwmxSH4r2aqF9DB,1257437.0,Turkish Rock,turkish rock,turkish pop,solo,,İzmir
Patron,Patron,2r8iLFeSTuOiZualHmSXxS,1255084.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,erkek,Mersin
Murat Dalkılıç,Murat Dalkılıç,6dDaXbE1caD65TONToYXYx,1237513.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İzmir
Aleyna Tilki,Aleyna Tilki,4ckLjJztj53Ifid7WHweBn,1236102.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,Konya
Zakkum,Zakkum,70Ya7DKJEo20SAkxjirYnu,1232068.0,Turkish Rock,turkish rock,"turkish pop, arabesk, anatolian rock",grup,grup,Ankara
Son Feci Bisiklet,Son Feci Bisiklet,4q2SZIdLq6YTc9cZLCclWc,1228269.0,Turkish Rock,turkish rock,,grup,grup,Ankara
Murda,Murda,2y1VzMKAa5nmfXKtJL9jnj,1219319.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",,,
Contra,Contra,3tJELJoPZ4VTKmL0vppqLj,1209201.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İstanbul
ElMusto,ElMusto,1Tjaa3WWIVU00kfZ8Dvpcl,1207760.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
MFÖ,MFÖ,2jbrqAuwSdvwcMTbtvncND,1183187.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",solo,,
Ebru Yaşar,Ebru Yaşar,0Qbd0AGWuzggX61s306wZN,1182769.0,Turkish Sanat & Klasik,arabesk,"turkish pop, arabesk, oyun havasi",solo,kadın,Ankara
emre aydın,emre aydın,66vIaZFb8okZH0npc4eQ5q,1171539.0,Turkish Rock,turkish singer-songwriter,"turkish pop, anatolian rock",solo,erkek,Isparta
Kâzım Koyuncu,Kâzım Koyuncu,03YhQQYWzaAU3HAQAJzIHG,1169375.0,Turkish Rock,anadolu rock,"karadeniz folk, arabesk, anatolian rock, oyun havasi",solo,erkek,Hopa
Kaan Boşnak,Kaan Boşnak,03cvjFEHz8eGwYHq1L0Pp2,1154091.0,Turkish Rock,turkish alt pop,turkish pop,solo,erkek,İstanbul
Taladro,Taladro,2ShoGcsu8kekluGvbggGKQ,1147231.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, arabesk",solo,,Adana
Mustafa Sandal,Mustafa Sandal,0mkH5jj3goQ51JtPKVodTo,1138051.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
İlyas Yalçıntaş,İlyas Yalçıntaş,2ekGsQEkeMtYFA16Jjes2M,1132071.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,Erzincan
Anıl Piyancı,Anıl Piyancı,2u4xMsh0M2B7R8Wb3pEWae,1121951.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,erkek,İzmir
Athena,Athena,1Hy8tdpH9ygqoohumHZqVl,1118281.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İstanbul
Kahraman Deniz,Kahraman Deniz,3nF0yXDatdq9xV279nEs5X,1117110.0,Turkish Rock,turkish rock,turkish pop,solo,erkek,Istanbul
Şanışer,Şanışer,5LUxu287CsPM7jy3yS3l86,1111242.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Soner Sarıkabadayı,Soner Sarıkabadayı,4T83el9VQDI0zOyU9zcYNq,1100541.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Gülben Ergen,Gülben Ergen,6hypPYDPSsgioRRfBXve38,1095824.0,Turkish Pop,turkish pop,"turkish pop, arabesk, t-pop",solo,kadın,Istanbul
Ece Seçkin,Ece Seçkin,1lfD2lvoDctsMr6grjYOb5,1069478.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul
Nil Karaibrahimgil,Nil Karaibrahimgil,1PpRPZXSS5ka7m5NW2TO7q,1065539.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,kadın,İstanbul
Ajda Pekkan,Ajda Pekkan,27XMnTLvCO7t3qGlQyTMkF,1059204.0,Turkish Rock,turkish psych,turkish pop,solo,kadın,İstanbul
Kolpa,Kolpa,1QZYklqR55tZ6b5mK4LD41,1057114.0,Turkish Rock,turkish rock,turkish pop,,,
Sancak,Sancak,3IiSjfHNSsynS08uC6w9u3,1042003.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish pop, turkish hip hop, arabesk",solo,,İstanbul
Kibariye,Kibariye,1btod3aNfVEYNrEzIQgx90,1036229.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi, turkish pop",solo,kadın,İstanbul
Musa Eroğlu,Musa Eroğlu,295s7rUdwD6adgPiYMRUAM,1025196.0,Turkish Folk,turkish folk,"arabesk, karadeniz folk",solo,,Kıravga
Manuş Baba,Manuş Baba,6p4UYgBKfV1XMDvD9KrtTv,1012670.0,Turkish Rock,turkish rock,"turkish pop, arabesk",solo,erkek,Tarsus
Barış Akarsu,Barış Akarsu,0rHmlPHC63IGBTrtQEdDw6,1009599.0,Turkish Rock,anadolu rock,"anatolian rock, karadeniz folk, turkish pop",solo,erkek,Amasra
Feride Hilal Akın,Feride Hilal Akın,2dLBhX7dIdWL6Fsk9l0n1n,999219.0,Turkish Pop,turkish pop,turkish pop,solo,,İstanbul
Perdenin Ardındakiler,Perdenin Ardındakiler,1lMEWvvUlwzQ5OKB4w1HTn,988129.0,Turkish Rock,turkish alt pop,,grup,grup,Ankara
Güllü,Güllü,533wb2q2kU814aFEWaIlG2,980451.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,kadın,İstanbul
Hakan Altun,Hakan Altun,2AhmWHekrahJri4f5e08Tf,977492.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",solo,,İstanbul
Kurtuluş Kuş,Kurtuluş Kuş,4jF4tHJlYKS5Z9xdEatCfq,944345.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,,Tarsus
Ferhat Göçer,Ferhat Göçer,13jj3uGldU7cSQLaFkf2Zm,939708.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,erkek,İstanbul
KÖFN,KÖFN,3ZKkHPTZTq8z8pokwZiInd,939612.0,Turkish Rock,turkish alt pop,turkish pop,solo,,
Muti,Muti,3NPQ2qMGXAR0g1COJxuZ8r,927341.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop",solo,,İstanbul
Ece Mumay,Ece Mumay,5FK1YzcREfjBuxM8i7UtBe,922592.0,Turkish Pop,turkish pop,"turkish pop, turkish hip hop",solo,kadın,İstanbul
Orhan Gencebay,Orhan Gencebay,52S9QMQQA2k0LjtELttOVQ,920040.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,,İstanbul
Yaşar,Yaşar,50AOA3aPd6tc928KEYaljF,904618.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Gülden Karaböcek,Gülden Karaböcek,2wioAsnSZ6JmA6I7Y7PDkc,894091.0,Turkish Rock,anadolu rock,"arabesk, anatolian rock",solo,kadın,Ankara
Hayko Cepkin,Hayko Cepkin,3hzijSzD6IwOV4SY2SiWQp,885570.0,Turkish Rock,turkish rock,anatolian rock,solo,erkek,İstanbul
Diyar Pala,Diyar Pala,23Q5T7JtqekFJMbC0XKxnh,881133.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",,,
Derya Bedavacı,Derya Bedavacı,6eBKQVpzyvlMoQaR7buvX8,877883.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,,İstanbul
Nazan Öncel,Nazan Öncel,4li4dx5mFgZlMVeHlARBHP,873947.0,Turkish Rock,turkish singer-songwriter,"turkish pop, arabesk",solo,kadın,İstanbul
Sena Şener,Sena Şener,7CW2eGwAuElNq09rVtZYsM,872623.0,Turkish Rock,turkish alt pop,turkish pop,solo,kadın,Gaziantep
Rafet El Roman,Rafet El Roman,5gs9qloTR5m6dM0ScMty3H,871433.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,erkek,Edirne
BEGE,BEGE,6q1sTU51oryTTcWTPTd0VC,869404.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,solo,,İstanbul
Aşkın Nur Yengi,Aşkın Nur Yengi,2fYdUIUPS7aDdWCzb8Aw2k,861320.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,İstanbul
Hidra,Hidra,3yzGegJHrOW1CndMVFoo3m,850660.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,Ankara
Tuğba Yurt,Tuğba Yurt,1063YgLGlWU0JM26pOnrnv,844757.0,Turkish Pop,turkish pop,"turkish pop, t-pop",,kadın,Belçika
Feridun Düzağaç,Feridun Düzağaç,7MZj0XxqxlCZPj6JsMQq0Z,840534.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop",solo,erkek,Bern
Edip Akbayram,Edip Akbayram,0oFiWQjHNvksJlD0aWzBZM,839115.0,Turkish Rock,anadolu rock,"anatolian rock, arabesk, turkish pop, karadeniz folk",solo,erkek,Gaziantep
Zeki Müren,Zeki Müren,0ZZDIo31D35xGrXYTodWrL,832848.0,Turkish Sanat & Klasik,turk sanat muzigi,"arabesk, anatolian rock",solo,erkek,Bursa
Mert Demir,Mert Demir,1Zj4GtouAnxHq4qw7ooLfm,826990.0,Turkish Rock,turkish alt pop,turkish pop,solo,,İstanbul
Reckol,Reckol,5FqTuN42w2zGw4Pzd50yaS,824429.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, drill",solo,,Bursa
Khontkar,Khontkar,1iJrQKRh5aJnp6cG5lpITr,824204.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,erkek,İzmir
Gece Yolcuları,Gece Yolcuları,21ppfKgGToa81HQE0kET5P,822916.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,İstanbul
Erkin Koray,Erkin Koray,4o3Nv2BAyoZkyGaRXv4rT3,821553.0,Turkish Rock,anadolu rock,"anatolian rock, arabesk",solo,erkek,İstanbul
Amo988,Amo988,05c2IUQGegTcqtWeWwuJ06,821222.0,Turkish Pop,turkish trap pop,turkish pop,,,
Yedinci Ev,Yedinci Ev,40ic8Y3x4vmLUGXXpk7bVq,801201.0,Turkish Rock,turkish alternative rock,,grup,grup,İstanbul
Canozan,Canozan,4MUb8ilmrxyePXwSkG31lC,790546.0,Turkish Rock,turkish alt pop,,solo,,İstanbul
Pera,Pera,1bzmtVU7jf2rRZJALkZA3j,788662.0,Turkish Rock,turkish rock,,,,
Burak King,Burak King,18hpynG63scJYxOSDYHUVN,783405.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish pop, turkish hip hop",,,
Tan Taşçı,Tan Taşçı,2rNgr1pkSDfxQTYhqCT45D,778770.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,,
Can Bonomo,Can Bonomo,3vJJGsSAF5zQegZo5sJEh6,777060.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",solo,,İstanbul
Ümit Besen,Ümit Besen,2Cusk8DpjH8r3BDvuN3ufo,760037.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",solo,erkek,Osmaniye
Ufuk Beydemir,Ufuk Beydemir,00C6n2psbFm6XWqyPCXJ5v,751981.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,erkek,İstanbul
Mahmut Orhan,Mahmut Orhan,3t8WiyalpvnB9AObcMufiE,727399.0,Turkish Electronic,turkish deep house,,solo,erkek,Bursa
