Spotify_ID,Sanatçı,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
7fVMq1kHVAQao9iPGHNGyK,resul dindar,427985.0,50.0,"karadeniz folk, oyun havasi, arabesk","karadeniz folk, oyun havasi, arabesk",halk,turkish pop
6RXvZtTyld421VPmJtLqkL,fikret kizilok,427485.0,45.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",rock,
5UqZ7BXoccyvTHyXLk1Pk3,kayra,422953.0,59.0,turkish hip hop,turkish hip hop,,turkish hip hop
2ZXIEujgkSOHFk47ra8Z1m,aysel yakupoğlu,420525.0,47.0,"karadeniz folk, arabesk, turkish pop","karadeniz folk, arabesk, turkish pop",,turkish pop
7ymCV8co6nSwmYFEyGmVvJ,aydın kurtoğlu,417064.0,53.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
5piE2MZ1wGpBjpDud8kTOS,defkhan,413577.0,52.0,turkish hip hop,turkish hip hop,,turkish hip hop
2sjnyyL9NXijL3Fr2eLikf,aspova,412197.0,51.0,turkish hip hop,turkish hip hop,,turkish hip hop
3W0gwNZqdtkleuMYlKElaw,çağan şengül,412155.0,53.0,turkish pop,turkish pop,,
7xD3PtnXEsJeqsPtJ3N3si,bedo,408203.0,55.0,"turkish hip hop, turkish pop",,elektronik,turkish hip hop
3OVWvBHwlq5w8iRJEBoCp2,levent yüksel,400043.0,52.0,turkish pop,turkish pop,,turkish pop
35ngoeYRyOveM0rPvahkot,ekin uzunlar,399445.0,50.0,"karadeniz folk, turkish pop, arabesk","karadeniz folk, turkish pop, arabesk",,turkish pop
71wTGSTWEPSLnfe7tA2wkX,kayahan,398488.0,50.0,"turkish pop, arabesk","turkish pop, arabesk",pop,turkish pop
29TtKR0RUKu66QjYwtycd9,kaan tangöze,394471.0,45.0,anatolian rock,anatolian rock,"alternatif, rock","turkish rock, turkish singer-songwriter"
37PL04N8kBWWW69jdrMMWT,altin gün,394347.0,46.0,"anatolian rock, psychedelic rock, neo-psychedelic","anatolian rock, psychedelic rock, neo-psychedelic",,
6CtMmrX12kYA3O4kINuWjZ,emre altuğ,393766.0,48.0,turkish pop,turkish pop,,
4YLcK0MEyqFkdyyzbPTWrs,can kazaz,393152.0,48.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
7nx9ts8pRmbvMQvnPwqDSS,ahmet aslan,391831.0,50.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",,turkish folk
2CfLhZicaPoTzcxnfHn7Lr,ahmet can,387521.0,31.0,turkish pop,turkish pop,,
5nObFnlOBawrX748LB4ioF,kıvırcık ali,386416.0,58.0,arabesk,arabesk,halk,"arabesk, turkish folk"
5zkh6MICzIQIUoA9NfZpBx,şevval sam,379581.0,48.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",,"turkish pop, turkish rock, turkish folk"
2cJHtXWQuFgxQ0GkpE7dNR,bahadır tatlıöz,372415.0,51.0,"turkish pop, karadeniz folk","turkish pop, karadeniz folk, t-pop",,turkish pop
4m53kPdPFJpnF0qcJqfwNB,rota,367825.0,51.0,turkish hip hop,,,turkish hip hop
