isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Nihil Piraye,"İstanbul, İstanbul, Turkey",,İstanbul,grup,0Ku2blm22kcYKoYoQktaSK,Nihil Piraye,3094.0,6.0,turkish hip hop,,,
selim işık,,,,,2JQRG2gHmsKitm1Mi2oSKZ,Selim Işık,3090.0,5.0,anatolian rock,anatolian rock,rock,turkish metal
Corr,"Antalya, Antalya, Turkey",,Antalya,solo,4SmuH5K4mg1lQypHBT4Lkc,Corr,3090.0,10.0,turkish hip hop,,,
gür akad,,,,,1pPnv8tumdLAipFWWi8a5D,gür akad,3086.0,15.0,anatolian rock,anatolian rock,rock,turkish metal
cümbüş cemaat,,,,,0MLv04L8IGTPfhOjtdo6zq,cümbüş cemaat,3083.0,15.0,anatolian rock,anatolian rock,,
Celil Refik Kaya,"Istanbul, Istanbul, Turkey","Austin, TX, United States",İstanbul,solo,6LMRNEtnVqJYsGaT4xJ6zr,Celil Refik Kaya,3081.0,25.0,,,,
ali kocatepe,,,,,0pc9IOM5tKqyyc3QtpSc9h,ali kocatepe,3080.0,13.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
anıl bayraktar,,,,,71A3jaxNuPcJHfDGyetkhM,Anıl Bayraktar,3075.0,16.0,,,,
tuncay kemertaş,,,,,4T2s1koOYEcUSsiIRSaWbH,Tuncay Kemertaş,3075.0,19.0,oyun havasi,oyun havasi,halk,turkish folk
aysu baçeoğlu,,,,,772pal7dvNQwd7iqW4MCDM,aysu baçeoğlu,3067.0,27.0,turkish pop,turkish pop,,
yıldız kaplan,,,,,67JtU0vekOCv544IBmUBH9,yıldız kaplan,3065.0,3.0,turkish pop,turkish pop,pop,deep turkish pop
Istanbul Oriental Ensemble,"İstanbul, İstanbul, Turkey",,İstanbul,grup,2HhArb2oyijn61SeLuUGX4,Istanbul Oriental Ensemble,3065.0,4.0,oyun havasi,oyun havasi,caz,
farux,,,,,6kw0RkYUOAUy83TRlbN1Px,Farux,3062.0,25.0,,,,
