isim,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres
Hack the Fool,4uFAoqsVMAdGdhnakbFGNZ,Hack The Fool,434.0,0.0,
Hadi Hün,,,,,
Hakan Akkus,6jtibJgWNPyrA4pIQCAZoh,Hakan Akkus,39511.0,32.0,deep house
Hakan Altıner,,,,,
Hakan Balamir,,,,,
Hakan Başar,2xDuyeAYiZPvieTosMSlUW,Hakan Başar,693.0,2.0,
Hakan Bulut,3vNnwNt881UrUUfIKqLGtu,Hakan Bulut,92.0,0.0,
Hakan Eratik,,,,,
Hakan Eser,7a2IlleUDGWfEZEIhMPsr7,Hakan Eser,104.0,0.0,arabesk
Hakan Gürtop,,,,,
Hakan Hüseyin Gül,,,,,
Hakan Karahan,,,,,
Hakan Türkşen,,,,,
Hakan Ural,,,,,
Hakan Utangaç,,,,,
Hakan Yücel,,,,,
Hakkı Kaplan,,,,,
Hakkı Kurtuluş,,,,,
Haldun Taner,,,,,
Hale Soygazi,,,,,
Halit Akçatepe,,,,,
Halit Ergenç,7l92HR26b6YzJK2VaJalJc,Halit Ergenç,698.0,14.0,turkish pop
Halit Özgür Sarı,,,,,
Haluk Kurosman,63XdtzUMPQOm0xqzBhJ1rm,Haluk Kurosman,384.0,19.0,
Hande Erdem,,,,,
Haossaa,7wU2R5p7aOpNS4eNrs9p0o,Haossaa,440.0,0.0,"noise rock, hardcore punk"
Hare Sürel,20hFMavjklXDyBi9EJPOHy,Hare Sürel,6.0,4.0,
Hasan Can Kaya,,,,,
Hasan Ceylan,6zoNVkYIM17FkUxkCQKsKn,Hasan Ceylan,1167.0,4.0,
Hasan Güneşdoğdu,1IcRmxQoiNRMJGDeZd77mR,Hasan Güneşdoğdu,1681.0,15.0,arabesk
Hasan Yalnızoğlu,,,,,
Hatevomit,2cI60JSdp1MWzbumwqk00P,Hatevömit,459.0,0.0,black metal
Hatice Şendil,2isszsqGLNPbuyIYHNO5dc,Hatice,264.0,22.0,turkish pop
Havantepe,3weetANlzOcw3zUhhK8oEQ,Havantepe,2494.0,17.0,"dub techno, minimal techno, dub"
Hayal Köseoğlu,2P628rpKuedYFywSCRsoTe,Hayal Köseoğlu,4838.0,7.0,
Hayati Kafe,3O7vdac8bffumlmbE1ZYRE,Hayati Kafe,601.0,4.0,
Haydar Işık,,,,,
Haydar Karaer,,,,,
Hayko,3hzijSzD6IwOV4SY2SiWQp,Hayko Cepkin,880776.0,58.0,anatolian rock
Hayri Tümer,,,,,
Hazal Şenel,5bk37r4ahFmVfT6JG6x7gx,Hazal,38638.0,25.0,turkish pop
Hazardous,72PISOIn9LLBJqtNAqufEO,Hazardous,454.0,4.0,"thrash metal, speed metal"
Hazım Körmükçü,19d3X2qr9Ga9aa34kw1dBC,Hazım Körmükçü,22.0,0.0,
Heat Sigma,,,,,
Hedonistic Noise,49GZXacm1ImIxt7vCioeX5,Hedonistic Noise,12804.0,19.0,punk
Helin Kandemir,1qnmS1PwB1dcvBqwvRZmmK,Helin,6799.0,30.0,
Help! The Captain Threw Up,0lsreWHAahsKjDDrVSXa3C,Help! The Captain Threw Up,419.0,0.0,post-rock
Henry the Lee,4x4TXUgiR2umliVtYOqRC3,Henry The Lee,21903.0,31.0,
Hiçamahiç,3QBDU0ojVbqlV1smOFvDa8,Hiçamahiç,621.0,2.0,shoegaze
Hole in the Wall,4OadCrMTx7naUHmxKyBdn4,Hole In The Wall,20.0,0.0,
Holistic Tsunami,1xfQ2Xz50S0H5btFc1sXRs,Holistic Tsunami,3364.0,13.0,
Horrocious,2p88G67FbbMlJPGYtMbM6C,Horrocious,729.0,0.0,black metal
Houschyar,19vP4BHobSzlbOJc6kRIpH,Houschyar,222.0,1.0,
Housing Crash,,,,,
Hubert Cornfield,,,,,
Human Scum,1Fiuncr6nJTW3zzPSBkVZQ,human scum,57.0,0.0,"experimental, darkwave"
Humbaba,7DzlzF8DepA5FDl2XvWGVA,Humbaba,661.0,1.0,"stoner metal, stoner rock, sludge metal, drone metal, doom metal"
Huri Zuhal,6iA7tHZlDBMohYTDbGWJxF,Zuhal,4396.0,29.0,"karadeniz folk, arabesk, space music, oyun havasi"
"Hurşid Yenigün Orkestra, Saz ve Vokal Grubu",38KkIScmjgb15GwD045w54,Hurşid Yenigün,1608.0,19.0,"turkish pop, oyun havasi"
Hâfız Burhan,3jYC2grTrQduj8vBOdE0KR,Hafız Burhan,7826.0,9.0,ghazal
Hülya Koçyiğit,,,,,
Hülya Şengül,,,,,
Hüma Utku,6FkocGSMDJrbTxsoJxLrMT,Hüma Utku,2297.0,4.0,"drone, dark ambient, experimental"
Hüseyin Emre Konyalı,,,,,
Hüseyin Karabey,,,,,
Hüseyin Sadeddin Arel,,,,,
Hüseyin Özden,,,,,
I Create Soundscapes,,,,,
I-RO,,,,,
III. Selim,7r275IPKEFBgyTqHn4YPEx,III. Selim,270.0,4.0,
Ibrahim Özgür,6BZBUpw0VypOZh9PngBob1,Ibrahim Özgür,1365.0,6.0,tango
Icon,1Jy0lTKAQDnTklKzF0g2o7,Icon For Hire,360079.0,47.0,christian rock
Ilana Navaro,,,,,
Ilda Simonian,13vJs9iIkV6pr1ldKfHHPA,Ilda Simonian,900.0,4.0,
Ilgaz Kocatürk,,,,,
Ilhan Gumus,4G5ok2nlSG7yWDuPCciBkd,Ilhan Gumus,55.0,0.0,melodic house
Ilkay Sencan,5deLgmgAEgy8UHOfJ9Dj8w,Ilkay Sencan,99365.0,55.0,slap house
Illusions Play,7hYC5xuZIglNbSIo3zpSlN,Illusions Play,5727.0,7.0,"doom metal, drone metal"
Impuration,,,,,
Induction,5mPSuVF1DeqeY3SpIt2f00,Induction,13582.0,33.0,"power metal, symphonic metal, japanese vgm"
Ines Zacconi,,,,,
Ipek Gorgun,7DTSfRWwutl2GOhk3owIlx,Ipek Gorgun,1431.0,2.0,"electroacoustic, experimental, experimental jazz, drone, avant-garde, ambient"
Irmak Karasu,,,,,
Isak Maçoro,,,,,
Isik Kural,11GeSCHSovaw6Y9u4BFvVZ,Isik Kural,1679.0,9.0,"ambient, experimental jazz, experimental"
Istanbul Arabesque Project,,,,,
Istanbul Modern Music Ensemble,2gGsZnrUvdG2Fsu0IdWnwi,Istanbul Modern Music Ensemble,12.0,0.0,neoclassical
Itır Esen,,,,,
Ivana Sert,,,,,
Jacques Natteau,,,,,
Jacques Rémy,7pXCzzrs45pyAdHdRaexim,Jacques Rémy,76.0,0.0,
Jaffer,384su3vIdgFhfwb7HBObvF,Jaffer,528.0,2.0,"melodic house, indie dance, melodic techno"
Jak Esim,09gscq4yDffqvOiQcvXKek,Jak Esim,44.0,0.0,
Jale Arıkan,,,,,
Jale Aylanç,,,,,
Janko Nilovic,44w54ag6mZjclpEET3ROf9,Janko Nilovic,36295.0,34.0,jazz funk
Jean Daskalidès,,,,,
Jef Giansily,2HDDgrPvOYkyoZSL0Ammms,Jef Giansily,165.0,1.0,hard bop
Jefe,1qKIiOyjWNYf1xshikhwQE,Jefe,94521.0,55.0,turkish hip hop
Jehra,2Q8HKTunJROXibsOGQlSJl,Jehra,616.0,9.0,"hard techno, acid techno"
Jerry Murad,6DwFBuiqYVpkiHhtmESwwk,Jerry Murad's Harmonicats,1119.0,7.0,exotica
Jess Molho,3NDmZ3ht3HD6b2u1DnPubo,Jess,19.0,2.0,
Jeyan Mahfi Tözüm,,,,,
Jingle Farm,,,,,
Johnny Montevideo,,,,,
Jtamul,7l5AhyqvVmhqtEwbmL90Uq,Jtamul,625.0,3.0,"experimental, spoken word"
KAAN,03cvjFEHz8eGwYHq1L0Pp2,Kaan Boşnak,1151417.0,54.0,turkish pop
KMK,3vQfiPySfUmNLcQs3XlraJ,KMK,164.0,0.0,
Kaan Akalın,0N9rATP4O0g8VEieiShtIf,Kaan Akalın,11.0,0.0,
Kaan Ertem,,,,,
Kaan Keskin,5QMRhBUp1AwrsTdNCmH1sL,Kaan Keskin,14.0,0.0,
Kaan Koray,0wzlWNyxUUPsH8ZruZBEK4,Kaan Koray,543.0,1.0,"progressive house, breakbeat"
Kaan Oruçoğlu,,,,,
Kaan Sezyum,42oO7CqvSMEWjntjvAqJv3,Kaan Sezyum,209.0,0.0,
Kaan Yılmaz,0GqzUSUorxhJQtU9Et1t0J,Kaan Yılmaz,2.0,0.0,
Kaan Çakır,3jmogM2jDqJ4KvCs3XUCOj,Kaan Çakır,10.0,0.0,
Kaan Ürkmez,,,,,
Kadir Ergin,,,,,
Kadri Yurdatap,,,,,
Kadıköy Ticaret Lisesi,,,,,
Kahraman Kıral,,,,,
Kahraman Sivri,,,,,
Kamuran Süner,,,,,
Kamyar Khanzaei,6Do4m3rsMfpWnMHRgqB1Lq,Kamyar Khanzaei,1.0,0.0,
Kandemir Konduk,,,,,
Kara Hasan,4WzT7eY3k2TRMvFLL0N9VX,Kara Hasan,14766.0,29.0,"arabesk, oyun havasi"
Kassia,3m8qh3adp23dCoZBHZt5IH,Kassia,36726.0,43.0,"classical piano, classical"
Kasvet,,,,,
Katre,4MkeTJJfC8yOshjbfoaxa5,Katre,481.0,1.0,"post-rock, math rock"
Kavun,3cT84fPUohWJpy5FMXaQcY,kavun,1242.0,3.0,turkish hip hop
Kayhan Yıldızoğlu,,,,,
Kayip Kontrol,,,,,
Kayra Şenocak,5UqZ7BXoccyvTHyXLk1Pk3,Kayra,424163.0,58.0,turkish hip hop
Kağan Yıldız,1kZLL8rJB3dqha4phT1YT1,Kağan Yıldız,692.0,18.0,free jazz
Kefen,34FRCHebKHQqdxY6Ug0rxc,KEFEN,29.0,0.0,
Kemal Demirel,2QPzErHwXFV4n0MUQKGjwE,Kemal Demirel,1.0,0.0,
Kemal Dinç,12FuQvEk1IBABzEHDGqxHJ,Kemal Dinç,7070.0,23.0,karadeniz folk
Kemal Kocatürk,,,,,
Kemal Mehmet Girgin,,,,,
Kemal Tahir,0KQxsveZB6Wz9BIApmiEjY,Kemal Tahir Ayaz,7.0,0.0,
Kemal Tanrıöver,,,,,
Kemani Cemal,7jumdICtpS0CuVp8JNbNk6,Kemani Cemal,89.0,0.0,"oyun havasi, traditional music"
Kemani Tatyos Efendi,5zC5D5MnFku3ZxgVKFLTsA,Kemani Tatyos Efendi,4235.0,10.0,sufi
Kenan Artun,,,,,
Kenan Ece,,,,,
Kenan Pars,,,,,
Kenan Teke,2IoHOoXYRvQApFfYkQOsno,Kenan Teke,409.0,7.0,"trance, progressive trance"
Kendi,59sYqGGNlpHuTWcenvV9mZ,Kendi,4735.0,24.0,turkish pop
Kento,31s0BFmN9PfZboVKBOJ9Tf,Kento Yamazaki,1289.0,1.0,
Kerem,3GfMoNg8qvtTuarY4ILTzm,Keremcem,70608.0,33.0,turkish pop
Kerem Akdag,2c5Ul9B9S1UDhrBdhjDUyd,Kerem Akdağ,19.0,0.0,
Kerem Altaylar,,,,,
Kerem Alışık,7JUFAjrcJ8Lk1tj6txSj4r,Kerem Alışık,1003.0,2.0,
Kerem Bürsin,,,,,
Kerem Kekeç,6NmGQce1xZ0Aio2PSuJt9E,Kerem Kekeç,37.0,0.0,
Kerem Sever,6cbda0uGtxXSBG8QpzWtwC,Kerem Sever,25.0,0.0,trance
Kerim Afşar,5I88e6DCxA7e4Fhihn9rYV,Kerim Afşar,239.0,0.0,
Kerime Nadir,,,,,
Ketche,5Bm9HPrrHYmWt4fwiulS3u,Ketchem,918.0,25.0,
Kim Bu Reyhan,1XKuWqG1hGjDXxOfLDc73E,Kim Bu Reyhan,73.0,1.0,arabesk
Kim Kaveller,,,,,
Kinesis,3t7jBiSbIEBEo7K7y4FxrL,Kinesis,102.0,0.0,"progressive rock, math rock"
Klan,6H77vD9YyhyxHBTkRpbMBk,Klangkuenstler,241166.0,52.0,"hard techno, techno, acid techno, tekno"
Knar,6ZQyxfFHoHPiOmYOKA5ArN,Grup Knar,1113.0,8.0,traditional folk
Koala Reggae Band,5N2eI2TNv0KQHSwjwnSFkW,Koala Reggae Band,1486.0,0.0,
Kobra Murat,67lMsfXTLT2BK6R6Z76R3Q,Kobra Murat,12875.0,31.0,oyun havasi
Kolektifistanbul,,,,,
Koma Denge Azadi,16W4V4bMi6ETn8feCml5AQ,Koma Denge Azadi,37508.0,34.0,
Komik Günler,6ardoKBGtdUvsJYlBeoxnn,Komik Günler,6903.0,10.0,
Konatus,2KI4XrdxALxUIsSK7Zt99M,Konatus,369.0,0.0,death metal
Koray Erkök,,,,,
Koray Kadirağa,,,,,
Koray Püskül,,,,,
Koray Yeltekin,,,,,
Koray Çalışkan,,,,,
Koray Şahin,1gjIKR6OLac2SLvvpkvcjQ,İbrahim Koray Şahin,21.0,0.0,
Korhan Abay,,,,,
Korhan Yurtsever,,,,,
Kosta Kortidis,0cfmFYTsVu7lnLrRKYwGsZ,Kosta Kortidis,8.0,0.0,
Kozmik Yıkım,2A0hxAnO5bInvp12bpHsoS,Kozmik Yıkım,6642.0,8.0,punk
Kranthor,,,,,
Kronik Leila,2Z3kn2VMh5L73Ud3bcxKkt,Kronik Leila,1945.0,1.0,art pop
Kubilay Güleçoğlu,,,,,
Kumadam,5CDW9n3X683S5QJT6iLV9o,Kumadam,4146.0,13.0,darkwave
Kupka,6yPuhXPe6CcfyWchr7pJKh,Kupka,42.0,0.0,post-rock
Kutluğ Ataman,,,,,
Kuzey Vargın,,,,,
Köy Kardeşler,6t6vJy3wffd0KRl9RlTYQO,Koy Kardeşler,1045.0,19.0,anatolian rock
Kübra Uzun,3TCmmcrUvFiiVv1ddRSPHr,Kübra Uzun,644.0,1.0,
Kül,153DHS1YhPGqmOaCGWg1NP,Kül,4726.0,15.0,
Kırmızı,16HvQHsJiyfsbfDqHzhkOy,Kırmızı,9.0,0.0,
Kıvanç Kürkcü,4lQNZjgpurREUCtyy1Dm8Y,Kıvanç Kürkcü,458.0,1.0,
LT,5Wfn5sc1w3DhMTpU7oPJZL,LTJ Bukem,145506.0,43.0,"jungle, drum and bass, liquid funk, breakbeat, downtempo, breakcore"
Lal,6CWQ7KWveleaeFagKCz26T,Lalalar,62467.0,31.0,anatolian rock
Lal Tuna,1jAHf8sD5ywWeOZ3QldBNS,Lal Tuna,192.0,1.0,drone metal
Lale Mansur,1GIZH1JipGOInMvB4kNHMF,Lale Mansur,3.0,0.0,
Lalezar Ensemble,3Ra5K8EW8UQ9iLQDANSi6r,Lalezar Ensemble,672.0,2.0,sufi
Laren,6ScQdKv62h1YalS7o7FhsS,Laren,4687.0,41.0,"hard techno, techno, tekno"
Lasertronik,,,,,
Latife Tekin,7d5HZ0HSdEMTjwXmBQn8kP,Latife,2156.0,23.0,arabesk
Lavinya Ünlüer,6vKeNaJCcJ8vQweNn3o7fK,Lavinya Ünlüer,7.0,0.0,
Le Horla,1cf3KrL9e88vEf1WY2tkOw,Le Horla,32.0,0.0,
Leman Akçatepe,,,,,
Leman Çıdamlı,,,,,
Leman Öztürk,,,,,
Lemi Atlı,5xDAKoXi27rTSYgCA8BOca,Halit Lemi Atlı,13.0,0.0,
Lemi Filozof,4nRP3xRqQz0tL09QPm67Cf,Lemi Filozof,102.0,6.0,
Levent Can,099VtDoN0f9E6GQNz8eC2t,Levent Canen,162.0,8.0,
Levent Onan,,,,,
Levent Sülün,3l4XNXAlfULCGlDj3XtPWi,Levent Sülün,9.0,11.0,oyun havasi
Levent Tülek,,,,,
Levent Çetin,,,,,
Levent Ünsal,,,,,
Leyla Feray,,,,,
Leyla Göksun,2zdTUbQH1xdZYmy5VZQRpu,Leyla Goksun,4.0,0.0,
Leyla Sayar,,,,,
Leyla Smyrna Cabas,,,,,
Leyla Toprak,,,,,
Leş,7sD4ByMNKsrb4dDBmZxam1,Lessio,8877.0,57.0,
Lifelock,5k08zDe1I9UoG6WSqTErFP,Lifelock,626.0,0.0,punk
Lilith,797SPxZf82IYq3XCM8c9AM,Lilith Max,144060.0,52.0,
Lodiac,2qk0wkgbCRygI5sRAjZBWk,Lodiac,38.0,0.0,
Lopenstraat,7lI0FcWzNkO9fr08ET9BUy,Lopenstraat,1440.0,0.0,
Loqum,3cmYUNt38PZ8TlXiAG6ViK,Loqum,99.0,1.0,"footwork, jersey club"
Lora,0zeofvbrXSNQqIsW24kAMQ,Loran Muhammed,220.0,1.0,
Loradeniz,3wO7EZF5Cet3MkFX3KisbX,Loradeniz,2264.0,5.0,
Lord Eurynome,,,,,
Lost in Bazaar,,,,,
Lousyd,0QgvYnb96NzllrUVPmnUSu,Lousyd,561.0,2.0,"space rock, stoner rock, southern gothic"
Low Sexual Desire,0wz0jO9anccPzH04N7FLBH,Low,295485.0,44.0,"slowcore, dream pop, post-rock"
Lukhan,4JGOZ9yEpxvFTSd7eyVgjJ,Lukhan,2968.0,11.0,turkish hip hop
Lymphadenectomy,6YB56A7GqwA1tUQLSSVabc,Lymphadenectomy,99.0,0.0,
Lyngbakr,,,,,
Lütfi Akad,,,,,
M. Can Yilmaz,,,,,
M. Murat Şenöy,,,,,
M. Taner Gündöner,2Vk5T8IS4okkJ58II2Umcr,Taner,31593.0,31.0,turkish pop
M. Özçelik,2BlTVMDj9GnFcdL9kGWNOf,M. Özçelik,100.0,2.0,
MTB Lunatic,5WyXHRIN628rhrkADk2kgm,MTB Lunatic,41.0,0.0,
Macit Koper,,,,,
Mafsal,0fYwqccCXrWFO2795VzZ5u,Mafsal,794.0,18.0,turkish hip hop
Magna Pia,,,,,
Magned,3rUClpGWHug4DjyhwltiVc,Magned,122.0,0.0,"speed metal, thrash metal"
Mahir Günşiray,,,,,
Mahir İpek,,,,,
Mahmut Gökgöz,,,,,
Mahmut Kaptan,,,,,
Mahmut Tali Öngören,,,,,
Majnoon,1eeh7aqCuDjuEvPXhQSF1h,Majnoon,12854.0,31.0,"organic house, downtempo"
Makattopsy,3T6iufTpO4vmKAKq1GNR9N,Makattopsy,50.0,0.0,grindcore
Mali Green,3E7p63bZatO9VnLcaCKUvB,Mali Green,2187.0,14.0,turkish hip hop
Mammoths on Giants,08ynJ7b7gQGvYKlCbSm7MU,Mammoths On Giants,110.0,0.0,mathcore
Mara,2JcW80GkUeqlA9HGHNVugP,Maral,28329.0,41.0,"oyun havasi, arabesk"
Marcel Zanini,76NQcJf0PIWsOt5hQoBnaI,Marcel Zanini,696.0,7.0,french jazz
Margo Lion,4oYBen60Llc5BbfFES67rN,Margo Lion,70.0,0.0,
Marie-Joseph Chénier,,,,,
Marika,5DGJC3n9DS0Y9eY5ul9y0O,Marika Hackman,148998.0,41.0,"southern gothic, ambient folk"
Mario Parodi,22PaLHtzevbdwlgvSjDJrV,Mario Parodi,86.0,0.0,
MaroWhite,615xy2DdT2c0pOvT4UhTkA,MaroWhite,2114.0,12.0,turkish hip hop
Maskara,5sYuApOPVDObaxtOuKBuQH,Maskara,424.0,9.0,anatolian rock
Mauna Kea,2EEXilrrM0Txvpvq6Qonmp,Mauna Kea,725.0,0.0,post-rock
Mazhar M,7HSvkLOmmPLptGnipmM51T,Mazhar,35.0,6.0,turkish hip hop
Meczûp,3G9UbrT0lKMm3MmYf6RTF0,Meczup,50.0,8.0,
Medyum Memiş,,,,,
Mehmet Akar,0BDVIdIrRtVloGP5itvTKV,Mehmet Akar,1079.0,6.0,"melodic techno, progressive house, melodic house"
Mehmet Ali Kaptanlar,,,,,
Mehmet Ali Nuroğlu,,,,,
Mehmet Ali Tuncer,,,,,
Mehmet Binay,,,,,
Mehmet Can Mincinozlu,,,,,
Mehmet Cemal Yeşilçay,68YS0OxrIMibVUTDt7L0dv,Mehmet Cemal Yesilcay,759.0,12.0,"medieval, baroque, sufi, early music"
Mehmet Emin Güney,,,,,
Mehmet Evren Hacıoğlu,4zmF76VfAlqenPicF2E2F1,Mehmet Evren Hacıoğlu,1078.0,3.0,traditional music
Mehmet Gün,6ECdVfYN9gDbjRqD0sh0l2,Mehmet Günsur,1107.0,13.0,
Mehmet Günsür,6ECdVfYN9gDbjRqD0sh0l2,Mehmet Günsur,1107.0,13.0,
Mehmet Muhtar,,,,,
Mehmet Pervez,,,,,
Mehmet Ulay,,,,,
Mehmet İmren,,,,,
Mehometh,5EPjr60R1LwaLLyQzxsuZc,Mehometh,190.0,0.0,black metal
Mehtap Ar,,,,,
Mehtap Bayrı,,,,,
Mekan1k,0avokZVExNkUdFD5I7E6DV,Mekan1k,74.0,7.0,
Mel'un,2p40rL1pG0NsLS0MUvaSv0,Mel'un,292.0,0.0,turkish hip hop
Mel7em,2kA5fHfCu63JFihHuda5Oi,Mel7em,2897.0,13.0,"melodic techno, organic house"
Melda Bekcan,,,,,
Melek Baykal,,,,,
Melek Öztürk,6RhlPZPmZZRDgUdpmgVAKF,Melek Öztürk,2.0,0.0,
Melih Cevdet Anday,3jwmXkHlT5s9aDV7L5iMa3,Melih Cevdet Anday,1226.0,4.0,
Melih Duygulu,0oCZpXStjz1px1WLvoLaTz,Melih Duygulu,311.0,16.0,
Melih Düzenli,7v5y2DtJeWGa5dl6y1ntp1,melih,6383.0,44.0,
Melih Ekener,7v5y2DtJeWGa5dl6y1ntp1,melih,6383.0,44.0,
Melih Yıldırım,15jdzW7FaHATlol07UYrVY,Melih Yıldırım,1737.0,18.0,
Melih Çardak,7v5y2DtJeWGa5dl6y1ntp1,melih,6383.0,44.0,
Melike Güner,,,,,
Melike Öcalan,,,,,
Melike İpek Yalova,,,,,
Melis Sezen,7nIVqa4X0BTenkYNi90W5H,Melis Sezen,111.0,0.0,
Melis Tüzüngüç,,,,,
Melis İşiten,,,,,
Melis Şeşen,,,,,
Melisa Berberoğlu,4FBTrvd7VO1ocrCKEenC5C,Melisa,328.0,49.0,
Melisa Döngel,4FBTrvd7VO1ocrCKEenC5C,Melisa,328.0,49.0,
Melisa Sözen,6V5J13s8WUYGwLpfErdc2h,Melisa Sözen,803.0,14.0,
Melisa Yıldırım,4FBTrvd7VO1ocrCKEenC5C,Melisa,328.0,49.0,
Melisa Yıldırımer,4FBTrvd7VO1ocrCKEenC5C,Melisa,328.0,49.0,
Melissa Bilal,,,,,
Melodi Tözüm,,,,,
Meltem Akçöl,,,,,
Meltem Bozoflu,,,,,
Meltem Mete,2xOxhqDwtoY6PAky2rjAJ4,Meltem Mete,5.0,0.0,anatolian rock
Meltem Yılmazkaya,1qqyvNZiwlrt7iWmiiG9WW,Meltem Yılmazkaya,1660.0,15.0,turkish pop
Memduh Ün,,,,,
Men With a Plan,1ls8tCaZ7FVugjGbQI74zW,Men With A Plan,289.0,0.0,
Meral - Zuhal,6iA7tHZlDBMohYTDbGWJxF,Zuhal,4396.0,29.0,"karadeniz folk, arabesk, space music, oyun havasi"
Meral Balık,,,,,
Meral Orhonsay,,,,,
Merlin Ecer,,,,,
Merlyn Solakhan,44rKmAQvosSyJ2MEOjEisf,Merlyn,19712.0,56.0,"medieval, celtic"
Mert Avcı,6hIMkyTJbMLNZCh45FcScF,Mert Avcı,709.0,6.0,anatolian rock
Mert Dikmen,1XLftZiAYuznzLvA4Svgfm,Mert Dikmen,104.0,0.0,
Mert Kiraz,3nOKkkCY7UEBUWrUk5Qnep,Mert Kiraz,156.0,4.0,tribal house
Mert Süngü,2rRrpFpkMWtALDyZNvoZgE,Mert Süngü,80.0,0.0,"opera, chamber music"
Mert Topel,5U9ySjRGwMyNTyoiqerJOg,Mert Topel,285.0,0.0,"avant-garde, experimental"
Mert Yazıcıoğlu,,,,,
Mert Yucel,0Tl2SJZQc0Yuqkw70RgnvN,Mert Yucel,283.0,0.0,
Mert Yıldız,0i5cd4WDABzGLfLplrFmCw,MERT YILDIZ,30.0,0.0,
Mert Öner,0a78GRtrWMo4yvQNJQwqLx,Mert Öner,3.0,0.0,
Mertcan Mertbilek,7D0gRtUDc6k5eqCOwaZRLb,Mertcan Mertbilek,503.0,7.0,
Merve Altınkaya,,,,,
Merve Ateş,,,,,
Merve Boluğur,1scO8hQjG4hF7YnGrb061k,Merve Boluğur,107.0,4.0,
Merve Bozdag,3Uc0d0YjbQHZn4cAnCytlA,Merve Bozdag,40.0,0.0,
Merve Daşdemir,4ws1KrcZlKF4GqR75I4qCT,MERVE,1368.0,8.0,
Merve Sevi,,,,,
Meryem Yavuz,4iZVAJdmIBUBatGSqG2Ei7,Meryem Yavuz,27.0,1.0,
Meshulam Riklis,,,,,
Mesiha Yelda,,,,,
Mesut Cemil,659kzv9N9HbBURud5YWQ6p,Mesut Cemil,4369.0,3.0,
Mesut Yar,6EgDD5wMfJMhYYszfjYasm,Mesut Yar,102.0,1.0,
Mesut Çakarlı,,,,,
Mete Sözer,5Km87RlL4oUIFH6u9rZBuC,Mete Sözer,19.0,6.0,
Mete Yafet,,,,,
Mete Özgencil,3Hl5ICDGjtz1Wn95Lz20Q7,Mete Özgencil,860.0,2.0,
Meteorlar,,,,,
Meth Shop Boyz,,,,,
Metin Akpınar,4D5Oy74O49gZBVhr1kRcyn,Metin Akpınar,367.0,4.0,
Metin Belgin,5ldgOJ9HyOI5Sy6R3yiR8l,Metin Belgin,65.0,0.0,
Metin Eryürek,7vik6DPMlw0P3YFha5ywKh,Metin Eryürek,13.0,0.0,
Metin Keçeci,00s91H5Ug6WP7WNXW5ViT6,Metin Keçeci,1.0,0.0,
Metin Serezli,,,,,
Metin Yıldırım,1eSGK81DNanFgbC1XuQZGj,Metin Yıldırım,3.0,0.0,
Metin Yıldız,3czS658qeomW9vaLrr8Txt,metin yıldız,8.0,0.0,
Metin Zakoğlu,,,,,
Metin Çekmez,,,,,
Michel Ardan,,,,,
Midvil,5D9xqQBfFUInmJ2NXKE3oe,Midvil,483.0,0.0,"stoner rock, space rock, stoner metal, sludge metal"
Mihri Belli,,,,,
Mihriban Er,,,,,
Milk Hunter,,,,,
Mim Kemal Öke,,,,,
Mina Demirtaş,,,,,
Mindsphere,6zrSzHpGQWmuyglPIAhkUA,Mindsphere,4437.0,16.0,psytrance
Mine Mutlu,0ImeDHP0drEPnMgytfwxdj,Mine,2042.0,14.0,turkish pop
Mine Çayıroğlu,5uUjQsP3df2o6EWY4PkWah,Mine Çayıroğlu,980.0,0.0,turkish pop
Miray Daner,,,,,
Mirza Meltem,1JLLYyZZDJAuytg7aVk8u4,Mirza,23.0,0.0,
Mist Efesya,0WCs2AEEETTLudnwYAgz80,Mist Efesya,485.0,1.0,turkish hip hop
Mithat Can Özer,0XLlUhAXhextrZheC0ocHK,Mithat Can Özer,12386.0,35.0,turkish pop
Mithat Fenmen,5PgmZLtnbv9ClH4yU8h6tf,Mithat Fenmen,260.0,1.0,
Modd,3nJwTniwCxDrgoVKeqIWoT,Modd,55703.0,48.0,turkish hip hop
Moledro,2fWmRPJFbde8i1R5PRwcav,Moledro,113.0,0.0,
Mosquito,2Pcs88tZVzTJMoZY7AUpck,Mosquito,363.0,2.0,"deathrock, gothic rock, darkwave, post-punk"
Mouseleum,,,,,
Moustapha S.,,,,,
Mr. Mantis,,,,,
Mr. Ties,,,,,
Muammer Gözalan,,,,,
Mufaya,09L3wZcAyckFp0dpUpDcZp,Mufaya,485.0,16.0,orchestral
Muhammed Zahid Çelik,3YD0zyoCCdzM41wVGoxSX4,Muhammed Zahid Çelik,26.0,0.0,
Muhsin Ertuğrul,,,,,
Murad Küçük,,,,,
Murat Arkın,,,,,
Murat Aslan,4N3roNpyRwP0DH4NcJAMcK,Murat Aslan,168.0,1.0,
Murat Bulut,63OAy5USnLw4juvJLGqBob,Murat Bulut,57.0,8.0,
Murat Düzgünoğlu,,,,,
Murat Eken,4ClPHOQElG5xilKCUovIQg,Murat Eken,11.0,0.0,
Murat Güneş,61F5kPiTYCmmRJprI90WCs,Murat Güneş,1226.0,34.0,turkish pop
Murat Gürvardar,,,,,
Murat Onuk,,,,,
Murat Pirpiri,6P4n6porWhdYk0LEYu1bEg,Murat Pirpiri,8.0,0.0,
Murat Prosçiler,,,,,
Murat Saraçoğlu,,,,,
